gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
1110012L19Rik,4.49,1.1757,4.48,-11.3182
1500011B03Rik,7.26,1.9001,3.33,-11.1188
2310001H17Rik,11.52,3.0165,4.5,-11.4603
2900041M22Rik,8.27,2.1639,9.64,-10.5652
9930111J21Rik2,22.59,5.9133,9.83,-8.5974
A630072M18Rik,7.17,1.8759,2.3,-11.6346
Abca3,16.18,4.2351,3.79,-10.182
Abhd17a,5.05,1.3222,8.19,-9.3584
Acaa2,8.69,2.2753,4.68,-9.9805
Ackr3,21.3,5.576,9.6,-8.4897
Acsf2,6.38,1.6696,3.99,-11.3609
Actn4,16.57,4.3375,2.19,-7.6722
Acyp2,6.76,1.7693,5.34,-10.6853
Adam9,20.43,5.3482,2.72,-10.2227
Adcy4,18.76,4.912,3.27,-8.9476
Adgra3,20.75,5.4317,2.36,-9.6272
Adgrf5,14.75,3.8626,3.09,-8.5595
Adipor2,8.03,2.101,10.52,-8.8146
Adra2a,8.33,2.1812,3.29,-9.4227
Ahnak,16.62,4.3503,7.51,-6.8734
Aif1l,9.02,2.3612,6.14,-11.8425
Aldh3a1,11.27,2.95,2.9,-10.6392
Ankrd40,17.92,4.6912,2.75,-10.0714
Ap2s1,6.26,1.6394,2.08,-9.2817
Ap5s1,9.95,2.6042,3.32,-11.6424
Apeh,11.11,2.9091,3.21,-11.5012
Apold1,18.5,4.8443,5.87,-10.0161
Arfgap1,11.2,2.9325,2.09,-11.2716
Arhgdib,3.75,0.9809,5.79,-8.7731
Arl14ep,6.51,1.705,5.9,-11.5511
Arl2,3.86,1.0095,2.98,-10.1663
Arpc3,5.38,1.4088,5.91,-8.2872
Art4,11.11,2.9082,3.17,-10.0407
Ascc3,19.85,5.1979,3.0,-9.7924
Atp1b1,7.25,1.8987,45.27,-9.6691
Atp2b2,12.53,3.2801,8.37,-9.5711
Atp2b4,15.29,4.0042,4.77,-8.9819
Atp5g1,3.05,0.7989,4.89,-8.468
Atp5g3,4.48,1.1716,6.45,-8.9733
Atp5j,6.46,1.6925,13.25,-7.9403
B230216N24Rik,15.93,4.1705,2.4,-11.4032
Bace2,1.93,0.5051,6.61,-8.8903
Bcam,11.17,2.9247,2.96,-7.7872
Birc6,18.44,4.8268,4.95,-9.3743
Bmyc,3.3,0.8627,5.0,-9.7288
Bzw2,5.06,1.326,3.12,-11.3638
C130074G19Rik,6.78,1.776,10.41,-9.8409
Cavin3,3.06,0.8018,6.74,-8.0585
Cbr1,3.18,0.8336,3.88,-11.0169
Ccdc157,9.93,2.5993,4.86,-11.7956
Ccdc3,12.22,3.1992,3.73,-9.5826
Ccdc85b,7.17,1.8769,7.59,-8.532
Ccn2,17.77,4.6531,7.99,-9.9782
Cd40,6.99,1.8309,3.75,-11.6876
