gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
1700016G22Rik,5.42,1.4188,3.33,-13.5116
1700019D03Rik,9.66,2.5285,2.46,-10.8068
2210408F21Rik,7.99,2.0919,3.24,-11.3922
2410080I02Rik,6.56,1.718,3.1,-11.6195
AI646519,19.91,5.2117,4.2,-11.5974
AI838599,12.07,3.1597,7.34,-11.6032
AW011738,13.73,3.5949,2.69,-12.9502
AW112010,6.81,1.7823,11.04,-11.7848
Abca1,11.1,2.9069,5.08,-9.9108
Abhd8,15.86,4.1512,8.38,-9.9076
Acaa2,8.98,2.35,38.31,-9.3862
Acyp2,4.58,1.198,3.61,-9.6226
Adgrg2,21.33,5.5833,2.21,-11.3201
Adm,3.01,0.787,23.6,-9.5804
Aff2,2.55,0.668,7.44,-10.004
Agtr1a,8.18,2.1421,3.24,-12.9479
Akr1c14,2.11,0.5535,5.86,-11.9889
Aldh1a2,1.25,0.3282,6.24,-11.8591
Aldh3a1,17.44,4.5651,3.74,-10.2934
Angptl1,18.15,4.7512,13.95,-10.1748
Angptl7,17.81,4.6633,52.14,-9.6907
Ankrd37,7.2,1.8853,8.26,-13.0234
Ano1,10.13,2.6524,5.93,-11.4756
Ano4,2.37,0.6197,2.98,-12.3946
Anxa3,1.13,0.2955,40.4,-9.2866
Anxa5,3.78,0.9898,12.22,-7.2847
Anxa8,8.8,2.304,6.3,-12.085
Apba1,17.01,4.4539,3.4,-11.6469
Arhgap18,0.39,0.1013,9.93,-11.699
Arhgap20,0.2,0.0524,20.67,-10.5272
Arntl,23.1,6.0468,33.15,-12.2594
Arsi,2.73,0.7141,2.74,-12.3958
As3mt,3.18,0.8315,2.06,-13.0175
Atp10a,20.67,5.4127,3.44,-11.1793
Atp1b2,2.31,0.6059,3.0,-11.3711
Bex3,5.34,1.3968,5.14,-9.7161
Bhlhe40,11.98,3.1351,4.74,-9.5178
Bhlhe41,10.57,2.7682,74.92,-10.4343
Bicd1,9.02,2.3619,2.27,-10.8487
Car11,15.12,3.9583,7.52,-11.5694
Cc2d2a,10.37,2.7141,4.25,-9.8816
Ccdc85b,9.92,2.5961,6.13,-9.0873
Ccn2,21.64,5.6653,175.98,-7.2434
Ccnb1ip1,5.93,1.5515,33.14,-12.6072
Ccne2,16.85,4.4125,5.2,-13.1278
Ccnl1,12.48,3.2684,2.12,-9.0473
Cd200,2.63,0.688,38.13,-7.7346
Cdc25b,7.03,1.8398,13.13,-11.6404
Cdc42ep3,0.19,0.0485,5.51,-9.3116
Cdca7,9.06,2.3727,3.42,-13.0233
Cdh4,12.27,3.2123,2.22,-12.029
Cdkn1a,1.7,0.4439,17.51,-8.8167
Cebpd,9.77,2.5575,34.37,-7.3439
Celf4,13.53,3.5413,2.48,-11.9758
Chd2,6.14,1.6082,5.85,-10.1721
Ciart,10.47,2.7397,12.46,-12.629
Cirbp,7.67,2.0086,38.51,-10.0351
Ckb,1.33,0.3487,15.4,-8.3479
Cldn10,2.5,0.654,39.24,-10.6966
Clec2d,7.13,1.8662,5.08,-9.6804
Clmp,2.28,0.5974,6.31,-9.9547
Clock,23.59,6.1759,9.86,-10.0409
Cmtm3,6.32,1.6542,3.11,-9.9975
Col27a1,16.22,4.2467,11.97,-10.6386
Col5a3,2.65,0.6943,36.09,-10.8842
Col6a6,7.26,1.9003,2.38,-9.781
Cox4i2,10.6,2.7759,7.0,-11.1011
Cpt1a,8.15,2.1346,5.46,-10.2069
Creld2,21.2,5.5508,15.1,-10.0288
Cry1,17.83,4.6683,32.11,-11.6168
Cry2,14.84,3.8864,3.05,-11.0371
Cstb,4.6,1.2043,3.29,-8.8304
Cyp51,21.39,5.6011,5.43,-10.7415
Cys1,15.8,4.1375,37.65,-9.6898
Dapk1,2.12,0.5561,13.6,-9.9152
Dbf4,12.7,3.3246,2.62,-12.7347
Dbp,9.87,2.5833,605.7,-9.0063
Dchs2,1.03,0.2708,2.33,-12.3426
Deptor,13.7,3.5867,6.34,-10.0611
Derl2,22.45,5.8785,3.2,-9.7911
Dhdh,11.44,2.9939,3.39,-12.2537
Dio2,23.21,6.0755,20.23,-9.0838
Dtx4,0.36,0.0951,3.22,-10.6092
Dync2li1,5.05,1.3216,2.23,-10.6225
E230029C05Rik,4.32,1.1313,2.33,-13.0246
E2f1,15.92,4.1673,2.14,-11.5727
Ece1,2.04,0.5345,7.68,-10.0062
Ech1,5.72,1.4975,24.68,-8.9717
Eci2,9.77,2.5568,2.31,-9.5913
Efhd1,2.88,0.7532,9.69,-11.6651
Efnb2,23.56,6.1687,4.93,-11.0906
Efr3a,17.76,4.6502,3.79,-9.2283
Eif5a2,15.5,4.0569,3.12,-11.8517
Elmo1,16.51,4.3222,5.76,-11.2179
Elmo2,0.78,0.2041,2.41,-10.8951
Eln,0.52,0.1359,156.33,-6.9338
Emb,7.89,2.0663,15.34,-12.8241
Epb41l5,13.03,3.4107,5.13,-12.1461
Ephx1,12.06,3.1574,17.39,-8.8548
Ephx2,7.93,2.0754,6.49,-11.3999
Epyc,10.04,2.6289,6.08,-11.6031
Fabp5,5.69,1.4887,16.32,-10.2724
Fam107a,11.74,3.0745,6.34,-13.1359
Fam13a,11.59,3.035,32.0,-10.7494
Fam217b,22.01,5.7627,2.09,-11.7099
Fam221a,7.14,1.8701,2.49,-13.2333
Fbn1,2.97,0.7781,72.02,-7.9736
Fbxo32,7.47,1.9559,5.11,-10.9927
Fdps,21.78,5.7015,20.05,-10.187
Fdx1,0.87,0.2286,3.04,-9.4782
Fgd4,7.16,1.8751,5.0,-11.0235
Fibin,16.87,4.4168,11.72,-8.7457
Fkbp1b,13.23,3.4633,4.13,-10.6457
Fkbp4,20.45,5.3528,27.86,-9.3747
Fkbp5,10.7,2.8024,45.9,-10.0791
Fmo1,14.37,3.7624,413.68,-8.6127
Fmo2,15.22,3.9846,323.69,-6.4839
Fmo3,14.18,3.7113,91.04,-10.6188
Fmo4,12.83,3.3594,7.18,-12.5447
Fmod,17.08,4.4715,25.19,-8.0176
Foxo3,9.25,2.4206,2.1,-10.4247
Foxs1,22.34,5.8495,22.7,-10.7041
Frmd4b,7.98,2.0894,11.14,-11.0755
G0s2,12.59,3.2952,25.37,-8.0619
G530011O06Rik,16.07,4.2068,14.08,-11.7098
Gabre,13.27,3.4741,9.74,-11.7742
Gas1,15.16,3.969,6.85,-7.6964
Gdf6,23.07,6.0394,4.34,-12.7307
Glul,11.08,2.9012,31.32,-8.6615
Gm12216,10.67,2.7922,3.16,-10.6453
Gm14403,12.97,3.396,2.85,-11.9123
Gm15261,9.57,2.5066,2.74,-12.7545
Gm17167,12.64,3.3091,35.27,-9.5748
Gm17501,18.57,4.8627,2.14,-13.0664
Gm19522,17.25,4.5169,11.49,-12.025
Gm22146,9.8,2.5668,5.51,-12.7527
Gm26549,7.72,2.0212,2.77,-13.3841
Gm26771,12.64,3.3099,24.33,-10.207
Gm46323,14.96,3.9176,2.97,-12.0913
Gm47283,18.16,4.7548,11.91,-9.7242
Gm49708,7.85,2.0542,6.97,-11.5064
Gm49970,2.11,0.5527,2.57,-13.2165
Gpx3,5.76,1.5083,14.13,-9.0998
Grap,3.02,0.7905,3.91,-12.0941
Gria4,14.53,3.8034,4.67,-10.6238
Gsta3,16.66,4.3606,3.2,-11.2311
Gstm7,5.81,1.5206,4.55,-12.7499
Gstt1,14.58,3.8166,3.21,-8.5261
H2-Eb1,8.3,2.1728,4.53,-12.8076
Hand2os1,3.58,0.938,2.45,-11.3063
Hbb-bs,6.51,1.7042,10.61,-12.7394
Hebp2,3.76,0.9856,5.55,-11.4128
Hhipl1,12.77,3.3444,4.43,-11.6316
Hist1h2ap,18.4,4.8183,125.25,-11.1923
Hist4h4,5.64,1.4757,5.65,-11.2705
Hlf,12.43,3.2553,138.19,-9.4605
Hmgb1,7.74,2.0259,2.01,-7.5483
Hmgcs2,9.05,2.369,44.6,-10.4555
Hnmt,9.86,2.5813,2.04,-11.9108
Hnrnpl,4.39,1.1488,5.37,-9.636
Homer2,16.86,4.4131,3.02,-12.1083
Hopx,11.92,3.121,2.54,-11.4672
Hpgd,4.08,1.0683,10.08,-12.0967
