gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
0610009B22Rik,1.72,0.4514,15.43,-10.4637
1190005I06Rik,23.81,6.234,76.06,-8.5023
1200007C13Rik,22.21,5.8149,6.02,-12.8153
1700061G19Rik,6.65,1.7397,34.41,-12.3226
1810058I24Rik,4.67,1.2214,49.38,-8.9996
1810062G17Rik,4.49,1.175,21.93,-12.8583
2210407C18Rik,16.76,4.3869,38.07,-9.4631
2310015D24Rik,2.12,0.5548,121.89,-11.6166
2310022B05Rik,22.42,5.8699,524.94,-9.0081
2610001J05Rik,6.44,1.6866,12.48,-9.8327
2700046G09Rik,6.68,1.7478,2.69,-12.9849
2900089D17Rik,7.13,1.8654,21.2,-11.6344
3425401B19Rik,9.87,2.5847,17.49,-12.8343
4430402I18Rik,15.92,4.1676,5.02,-12.3197
4631405J19Rik,5.75,1.5054,314.89,-11.4969
4833412C05Rik,5.17,1.3546,42.62,-12.2264
4930579P08Rik,0.38,0.1003,39.88,-13.2398
6330403K07Rik,5.99,1.567,9.62,-12.1573
9130008F23Rik,19.39,5.0753,6.14,-11.8245
9230114K14Rik,10.04,2.6282,28.02,-10.9311
9330179D12Rik,5.08,1.3301,12.14,-13.3979
9530018F02Rik,6.94,1.8176,3.1,-13.0961
9530077C05Rik,19.77,5.1763,35.13,-10.9571
9630015K15Rik,5.94,1.5559,101.01,-13.5758
A530013C23Rik,18.28,4.785,8.9,-12.9891
A930004D18Rik,21.22,5.5566,3.32,-12.8017
A930033H14Rik,14.37,3.7612,7.66,-12.0236
AC160336.1,16.05,4.202,3.58,-12.6381
AI646519,2.62,0.6862,16.86,-13.6891
AI839979,22.67,5.9343,2.41,-13.1095
Aaas,14.39,3.7661,6.25,-12.2569
Abitram,18.0,4.7112,4.59,-11.963
Abra,18.8,4.9223,134.12,-10.207
Abtb2,21.67,5.6724,35.66,-10.9396
Acaa2,9.3,2.4335,114.71,-9.9296
Acan,15.59,4.0803,9.28,-10.6208
Acly,16.14,4.2244,34.52,-10.4405
Acot2,6.71,1.7572,17.42,-12.0521
Actn2,20.72,5.4254,11.84,-11.8648
Actr3b,12.18,3.1886,5.55,-12.732
Acy1,11.59,3.0333,8.93,-12.3056
Adam19,0.85,0.222,15.97,-11.5605
Adamts1,13.98,3.6606,806.76,-8.2383
Adamts15,0.88,0.2302,76.7,-11.0098
Adamts6,2.93,0.7675,4.21,-11.2159
Adamts9,16.19,4.2394,50.86,-11.2017
Adamtsl1,23.85,6.244,3.78,-11.8573
Adamtsl5,14.78,3.8697,30.14,-9.5992
Adcy7,15.3,4.0043,10.59,-10.2088
Adora1,7.75,2.0277,9.18,-13.4332
Afap1,20.99,5.4943,18.99,-9.7688
Agfg1,21.17,5.5414,35.04,-9.8662
Agtrap,11.33,2.9662,2.06,-11.0971
Ahctf1,16.94,4.4357,39.9,-10.3528
Ahnak,17.77,4.651,397.43,-7.2611
Ahsa2,20.61,5.3967,170.69,-10.0888
Aifm2,11.45,2.9975,2.28,-11.7443
Aig1,3.71,0.9714,55.64,-9.9266
Aimp2,10.88,2.8487,19.07,-10.1477
Akap5,1.4,0.3663,8.21,-13.0463
Akr1b8,7.83,2.0498,6.98,-11.9659
Akr1c14,0.76,0.2,16.7,-10.9258
Alcam,20.31,5.3171,55.39,-9.1031
Alkbh7,1.14,0.2991,13.11,-10.6367
Alpk1,12.41,3.2491,5.46,-13.0702
Alyref,3.48,0.9117,4.62,-10.0953
Alyref2,5.25,1.3731,6.69,-12.5666
Amdhd2,10.78,2.821,3.9,-11.6085
Amotl2,20.17,5.2804,88.37,-10.0593
Angpt2,5.65,1.48,30.03,-10.2769
Angptl2,16.49,4.3176,281.63,-9.8237
