pathway,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,6,Txn2;Gpx7;Psmd4;Ndufa4;Psmb10;Psmb9,8.0,2,5.141999722177823,2.5302145377160743,5.0
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,7,Rnf4;Zbtb16;Psmd4;Ube2n;Tap2;Psmb10;Psmb9,6.857142857142857,2,6.192767968536428,3.101054434938913,5.0
REACTOME_TRANSLATION,13,Mrps34;Mrpl27;Mrpl34;Ppa2;Rpl10;Mrpl17;Apeh;Sec11c;Mrpl58;Rps7;Mrps16;Mrpl38;Mrpl20,6.461538461538462,1,4.060360467985027,3.0908358243623946,3.0
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,8,Tgfb2;P4ha1;Sdc4;Thbs1;Fbln5;Vcam1;Adam9;Plec,6.0,10,21.634017407599707,4.121133930200291,21.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,6,Rnf4;Zbtb16;Psmd4;Ube2n;Psmb10;Psmb9,6.0,2,6.4208717816203595,3.3632497601306026,5.0
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,6,Adcy4;Ier3;Lamtor1;Psmd4;Psmb10;Psmb9,6.0,2,6.997895350924986,4.654285659527873,5.0
REACTOME_BIOLOGICAL_OXIDATIONS,8,Mgst1;Fmo1;Fmo2;Aldh3a1;Gstm1;Mgst3;Ephx1;Sult1a1,6.0,5,10.748076354937869,2.9302185272064216,11.0
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,6,Dynll1;Itgb3bp;Psmd4;Dync1h1;Psmb10;Psmb9,6.0,2,5.360258853750527,4.829953315728585,5.0
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,6,Polr2j;Lamtor1;Cdk5;Fos;Plk3;Ndufa4,6.0,2,7.617019949116004,4.477498483785194,5.0
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,9,Etfb;Sdhb;Ndufb10;Ndufc2;Uqcrb;Ndufs5;Ndufaf3;Uqcr10;Ndufa4,5.333333333333333,3,5.000638616038478,1.5811995363753706,7.0
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,9,Etfb;Sdhb;Ndufb10;Ndufc2;Uqcrb;Ndufs5;Ndufaf3;Uqcr10;Ndufa4,5.333333333333333,3,5.000638616038478,1.5811995363753706,7.0
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,7,Dynll1;Itgb3bp;Psmd4;Lemd3;Dync1h1;Psmb10;Psmb9,5.142857142857143,2,5.9123785467284575,6.363017958982768,5.0
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,12,Txn2;Oaz1;Lias;Cdo1;Gamt;Pycr2;Rpl10;Dlat;Psmd4;Rps7;Psmb10;Psmb9,5.000000000000001,1,4.305818380402691,3.6931701331809337,3.0
REACTOME_SIGNALING_BY_INTERLEUKINS,17,Cnn2;Ptgs2;Twist1;Lbp;Pdcd4;Psmd4;Vcam1;Cxcl1;Fos;Il20rb;Ube2n;Il3ra;Ppia;Psmb10;Crlf2;Cebpd;Psmb9,4.9411764705882355,2,5.900760954523992,4.546017996973707,5.0
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,10,Etfb;Sdhb;Ndufb10;Dlat;Ndufc2;Uqcrb;Ndufs5;Ndufaf3;Uqcr10;Ndufa4,4.800000000000001,1,4.822534096705137,1.5851873715650195,3.0
REACTOME_MITOCHONDRIAL_TRANSLATION,8,Mrps34;Mrpl27;Mrpl34;Mrpl17;Mrpl58;Mrps16;Mrpl38;Mrpl20,4.5,1,4.249337102210864,3.0171816389868678,3.0
