gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
REACTOME_ATTENUATION_PHASE,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,1.2000000000000002,1.2000000000000002,8.4,0.0
REACTOME_HEME_SIGNALING,8.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
REACTOME_HSF1_ACTIVATION,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,1.3333333333333333,8.0,0.0
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,0.0,1.090909090909091,0.0,0.0,0.0,1.090909090909091,0.0,0.0,1.090909090909091,1.090909090909091,7.636363636363637,0.0
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,6.857142857142857,0.0,0.0,1.7142857142857142
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,5.142857142857143,0.0,0.0
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,6.857142857142857,0.0,0.0,0.0,0.0
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.857142857142857,5.142857142857143,0.0,0.0
REACTOME_DNA_REPAIR,0.0,0.0,0.0,0.0,6.666666666666667,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,1.3333333333333333,1.3333333333333333
REACTOME_CHOLESTEROL_BIOSYNTHESIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.6,0.8,2.4000000000000004,5.6000000000000005,0.0
REACTOME_METABOLISM_OF_STEROIDS,0.0,0.0,1.090909090909091,0.0,1.090909090909091,0.0,0.0,0.0,5.454545454545455,4.363636363636364,0.0,0.0
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.75,2.25,5.25,0.75
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,2.5714285714285716,5.142857142857143,0.8571428571428571
REACTOME_MRNA_SPLICING,0.0,5.142857142857143,3.4285714285714284,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0
REACTOME_PCP_CE_PATHWAY,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,5.142857142857143,0.0,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142
REACTOME_PEPTIDE_HORMONE_METABOLISM,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,5.142857142857143,0.0
REACTOME_ELASTIC_FIBRE_FORMATION,3.4285714285714284,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.0,1.7142857142857142
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,5.142857142857143,0.0,1.7142857142857142,0.0
REACTOME_VISUAL_PHOTOTRANSDUCTION,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,5.142857142857143,1.7142857142857142,0.0,0.0
REACTOME_RHOB_GTPASE_CYCLE,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,3.4285714285714284,5.142857142857143
REACTOME_RAC3_GTPASE_CYCLE,0.0,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142,5.142857142857143,0.0,0.0,0.0,1.7142857142857142
REACTOME_POTASSIUM_CHANNELS,0.0,0.0,5.142857142857143,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,0.0,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,5.142857142857143,1.7142857142857142,0.0,1.7142857142857142,0.0
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0,1.7142857142857142,5.142857142857143
REACTOME_CELL_CYCLE_CHECKPOINTS,0.0,1.5,0.0,0.0,0.0,0.0,4.5,1.5,3.0,0.0,0.0,1.5
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,4.5,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.5,0.0
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,0.0,4.5,3.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,1.5,0.0
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,0.0,0.0,1.090909090909091,4.363636363636364,2.181818181818182,0.0,0.0,0.0,1.090909090909091,0.0,1.090909090909091,2.181818181818182
REACTOME_SENSORY_PERCEPTION,2.181818181818182,0.0,0.0,0.0,1.090909090909091,0.0,0.0,2.181818181818182,4.363636363636364,1.090909090909091,0.0,1.090909090909091
REACTOME_BIOLOGICAL_OXIDATIONS,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,4.2857142857142865,0.0,1.7142857142857142,3.4285714285714284,0.0,0.8571428571428571,0.0
REACTOME_REGULATION_OF_TP53_ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333,0.0,2.6666666666666665,4.0,1.3333333333333333
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0
REACTOME_SELECTIVE_AUTOPHAGY,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4.0,2.0
REACTOME_INTERFERON_SIGNALING,0.0,2.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0
REACTOME_RHOC_GTPASE_CYCLE,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0
REACTOME_L1CAM_INTERACTIONS,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,4.0,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.0
REACTOME_SPHINGOLIPID_METABOLISM,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,1.3333333333333333,0.6666666666666666,0.6666666666666666,4.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
REACTOME_S_PHASE,0.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333,0.0,4.0,0.0,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,0.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0
REACTOME_SIGNALING_BY_MET,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0
REACTOME_PLATELET_HOMEOSTASIS,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,1.3333333333333333,0.0,0.0,2.6666666666666665,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,4.0
REACTOME_ION_CHANNEL_TRANSPORT,1.3333333333333333,2.6666666666666665,0.0,1.3333333333333333,1.3333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333
REACTOME_STIMULI_SENSING_CHANNELS,2.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0
REACTOME_CELLULAR_SENESCENCE,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,2.0
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,2.0
REACTOME_COLLAGEN_FORMATION,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0
REACTOME_SIGNALING_BY_VEGF,0.0,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,0.0,4.0,0.0,1.3333333333333333,2.6666666666666665,1.3333333333333333
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,0.0,0.0,0.9230769230769231,3.6923076923076925,0.9230769230769231,3.6923076923076925,1.8461538461538463,0.9230769230769231,0.0,0.0,0.0,0.0
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,1.0434782608695652,0.5217391304347826,0.5217391304347826,3.6521739130434785,0.5217391304347826,0.5217391304347826,0.0,0.5217391304347826,0.5217391304347826,1.565217391304348,1.0434782608695652,1.565217391304348
REACTOME_MITOTIC_PROMETAPHASE,0.0,0.0,0.0,0.0,0.0,0.0,2.4000000000000004,2.4000000000000004,3.6,1.2000000000000002,2.4000000000000004,0.0
REACTOME_CILIUM_ASSEMBLY,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,3.6,1.2000000000000002,3.6,2.4000000000000004,0.0
REACTOME_MITOTIC_G2_G2_M_PHASES,0.0,1.2000000000000002,0.0,1.2000000000000002,0.0,0.0,2.4000000000000004,3.6,0.0,1.2000000000000002,1.2000000000000002,1.2000000000000002
REACTOME_ESR_MEDIATED_SIGNALING,0.0,1.2000000000000002,1.2000000000000002,2.4000000000000004,3.6,1.2000000000000002,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,1.7142857142857142,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,1.7142857142857142,0.0
REACTOME_OPIOID_SIGNALLING,0.0,1.7142857142857142,0.0,1.7142857142857142,3.4285714285714284,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,0.0,1.7142857142857142
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,0.0,0.0,3.4285714285714284,1.7142857142857142,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,0.0,1.7142857142857142,0.0
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,3.4285714285714284,1.7142857142857142,0.0,0.0,0.0,3.4285714285714284
REACTOME_CELL_JUNCTION_ORGANIZATION,0.0,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,3.4285714285714284,0.0,3.4285714285714284
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,0.0,3.4285714285714284,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,0.0,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,3.4285714285714284,0.0,0.0,3.4285714285714284,0.0
REACTOME_DEATH_RECEPTOR_SIGNALLING,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.7142857142857142,1.7142857142857142,0.0,0.8571428571428571,0.0,3.4285714285714284
REACTOME_ION_HOMEOSTASIS,0.0,3.4285714285714284,0.0,0.0,3.4285714285714284,3.4285714285714284,1.7142857142857142,0.0,0.0,0.0,0.0,0.0
REACTOME_HEDGEHOG_OFF_STATE,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,3.4285714285714284,0.0,1.7142857142857142,1.7142857142857142,1.7142857142857142
REACTOME_SEMAPHORIN_INTERACTIONS,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,3.4285714285714284,1.7142857142857142
REACTOME_PROTEIN_FOLDING,0.0,0.0,0.0,3.4285714285714284,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142,0.0,3.4285714285714284,0.0,0.0
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,3.4285714285714284,3.4285714285714284,0.0,1.7142857142857142,0.0,1.7142857142857142
REACTOME_AUTOPHAGY,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,0.0,3.4285714285714284,3.4285714285714284
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,0.0,0.0,0.0,1.7142857142857142,0.0,3.4285714285714284,0.0,3.4285714285714284,1.7142857142857142,0.0,1.7142857142857142,0.0
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,0.0,0.0,3.4285714285714284,1.7142857142857142,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,0.0,1.7142857142857142,0.0
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,1.7142857142857142,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,3.4285714285714284,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142
