tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
ETV4 (human),19,Lgmn;Ciao1;Mbd1;Slc29a1;Pdcd4;Pfkfb3;Ccdc85b;Tspan4;Ndufb10;Plec;Atp2b2;Gabpb1;Nr2c2ap;Smc4;Cdkn2c;Hmgn2;Myh11;Aldh3a1;Gpsm3,5.684210526315789,3,7.764417552126107,3.507230503062523,7.0
NR1H2 (human),11,Nr1d2;Aif1l;Ehd2;Mrpl27;Yipf2;Flnb;Arpc3;Mcm6;Gch1;Ccdc157;Acyp2,5.454545454545455,4,7.301027976587441,5.477715419165133,9.0
AHR (mouse),10,Il20rb;Dynll1;Rilpl2;Ptgs2;Golm1;Fbxo34;Dstn;Aldh3a1;Pyroxd1;Chchd2,4.800000000000001,3,7.9652076266480645,4.281513237441421,7.0
MYB (human),15,Ptgs2;Golm1;Cyb5a;Commd2;Churc1;Dctn6;Gabpb1;Fmo2;Tap2;Ascc3;Ifitm3;Maged2;Mgst1;Cbr1;Cxcl1,4.800000000000001,3,5.714305695116111,3.766997608609014,7.0
EGR1 (human),8,Nr1d2;Apold1;Nacc1;Ndufa4;Arfgap1;Nudt4;Ctnna1;Plec,4.5,7,14.7622938493076,5.144322819378479,15.0
NR2F1 (mouse),11,Gstm1;Med28;Cdc42ep5;Pfkfb3;Slc25a3;Tspan4;Nhlrc3;Nr2c2ap;Mgst3;Clic4;Ebpl,4.363636363636364,2,5.948606964528378,4.075055042650911,5.0
RORB (mouse),11,Gstm1;Med28;Cdc42ep5;Pfkfb3;Slc25a3;Tspan4;Nhlrc3;Nr2c2ap;Mgst3;Clic4;Ebpl,4.363636363636364,2,5.948606964528378,4.075055042650911,5.0
FOXO3A (mouse),11,Nhlrc3;Tmem158;Tap2;Pdcd4;Flnb;Smarca2;Prpf40b;Tmed10;Mrps16;Ndufb10;Chchd2,4.363636363636364,2,4.994667620096083,3.9608112369224537,5.0
E2F4 (human),6,Mgst3;Cyb5r4;Prpf40a;Apold1;Ubfd1;Mcm6,4.0,2,7.522172487134029,6.468666782532488,5.0
SRY (human),6,Cmklr1;Gstm1;Wdr12;Mall;Gnpda2;Acsf2,4.0,11,3.6842182870905607,5.519896447433043,23.0
NFATC3 (mouse),21,Samd4;Pdcd4;Ndufaf3;Hs3st1;Vcam1;Otud4;Plk3;Snapin;Wdr12;Cebpd;Lmo2;Lmo4;Atp5g1;Haghl;Mrpl17;Ikbip;Lefty1;Tmed10;Bmyc;Ankrd40;Itgb3bp,4.0,3,6.293403012892113,4.759231959083589,7.0
USF1 (mouse),18,Psmb9;Klf15;Ciao1;Uqcrb;Commd4;Cd40;Dnajb11;Plec;Atp2b2;Usf1;Tef;Stmn1;Tap2;Maged2;Krt18;Dtymk;Ctnna1;Tgfb2,4.0,1,4.869224316508351,5.8969382418959055,3.0
ATF2 (human),28,Dll1;Aif1l;Cyb5r4;Scp2;Fos;Snx17;Mfng;Nip7;Arpc3;Cdc42ep5;Commd6;Fam3c;Txn2;Cd9;Nr1d2;Ehd2;Rnh1;Fmo2;Rnf125;Fgd4;Thbd;Cmc1;Tmed4;Sptbn1;Tgfb2;Lmo4;Acyp2;Rbm3,3.8571428571428577,2,4.9276339803056,5.224783724223765,5.0
MYC (human),25,Haghl;Klf15;Med28;Arl2;Ppa2;Commd4;Klk10;Per3;Per1;Stbd1;Fam3c;Cd81;Ndufs5;Plec;Rtp4;Slc50a1;Tef;Nr1d1;Nr1d2;Stmn1;Thbd;Cbr1;Cope;Sgta;Trappc6a,3.8400000000000003,1,6.418633899900066,4.2185193048013225,3.0
SREBF1 (mouse),19,Gstm1;Sufu;Dnajb11;Dennd4a;Nav2;St3gal5;Fgd4;Tcerg1;Maged2;Pycr2;Trappc6a;Atp5g1;Mrpl38;Commd4;Commd6;Per3;Per1;Atp2b4;Rpl10,3.789473684210526,1,6.4613495420863005,5.263243813322026,3.0
IRF2 (mouse),16,Crlf2;Ppa2;Prpf40a;Vcam1;Snapin;Ascc3;Mcm6;Lemd3;Lmo2;Cope;Ptgs2;Ubfd1;Dbnl;Dolk;Ier3;Sgta,3.75,3,7.42158447688768,4.818067737554094,7.0
