tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
NRF1 (human),7,Acot13;Ndufb11;Smc4;Rbbp7;Sin3b;Cmc1;Tppp3,6.857142857142857,4,9.83282365842683,3.238939047345591,9.0
PITX2 (human),7,Hmbs;Fkbp5;Smu1;Ulk2;Sbno2;Mid1;Sin3b,6.857142857142857,5,13.832613785855756,3.0226162979506475,11.0
STAT1 (human),9,Hmbs;Smc4;Fkbp5;Dbp;Thra;Hax1;Stmn1;Rbbp7;Cmc1,6.666666666666667,4,10.594464205456285,1.3550959257765915,9.0
TCF4 (human),9,Etv3;Tmsb10;Slc7a8;Tmbim1;Zeb2;Gpr65;Hax1;Ccl7;Mid1,6.666666666666667,9,17.116209875784655,5.988799368126908,19.0
RELA (mouse),6,Cd9;Plk2;Zeb2;Zfp800;Ulk2;Stmn1,6.0,3,8.738656392050506,5.614392083038774,7.0
CPEB1 (mouse),6,Pdgfc;Zeb2;Retnla;Ccr5;Mid1;Basp1,6.0,9,19.22116440346957,3.5766436124262233,19.0
SREBF1 (human),6,Hmbs;Nr1d2;Fkbp5;Smu1;Tspan4;Hmgb2,6.0,5,11.647579474761063,1.6265381893540711,11.0
THRB (human),10,Ndufb11;Smc4;Smu1;Ddit4;Hax1;Ulk2;Hmgb2;Stmn1;Sin3b;Anp32e,6.0,4,10.295188834876157,2.54354370489889,9.0
KLF4 (human),6,Tspan4;Sbno2;Nr1d2;Cd300a;Dbp;Thra,6.0,6,12.126262329345392,3.457261442085176,13.0
Stat3 (mouse),6,Phf3;Aldh9a1;Gpr65;Hax1;Ulk2;Socs3,6.0,5,12.068247018345787,3.5942954340136826,11.0
SRF (mouse),6,Api5;Smu1;Hax1;Mid1;Sf3a3;Arid5b,6.0,5,12.086831478261622,3.7155021279340374,11.0
MYC (mouse),6,Siglech;Fkbp5;Gpr65;Sbno2;Stmn1;Sin3b,6.0,5,11.029654303157132,3.8675277334650486,11.0
KLF11 (human),6,Tspan4;Sbno2;Nr1d2;Cd300a;Dbp;Thra,6.0,6,12.126262329345392,3.457261442085176,13.0
NFYB (mouse),6,Pdgfc;Zeb2;Retnla;Ccr5;Mid1;Basp1,6.0,9,19.22116440346957,3.5766436124262233,19.0
TEAD2 (mouse),11,Acot13;Ndufb11;Etv3;Nr1d2;Dbp;Ddit4;Socs3;Mmp9;Stmn1;Basp1;Arid5b,5.454545454545455,6,11.162825309278082,4.166210579823286,13.0
MTF1 (human),9,Tspan4;Man1c1;Tmsb10;Cmc1;Tppp3;Basp1;Arid5b;Dbp;Thra,5.333333333333333,6,11.249764329605522,4.399764705069164,13.0
PPARG (human),9,Api5;Hmbs;Fkbp5;Aldh9a1;Rbbp7;Hax1;Tspan4;Anp32e;Mpeg1,5.333333333333333,5,10.332536394381908,2.5719820480209337,11.0
POU2F2 (human),9,Slc7a8;Tagln;Etv3;Man1c1;Zeb2;Fkbp5;Ccl7;Mid1;Mpeg1,5.333333333333333,9,23.27376969447878,8.997223539366903,19.0
ETS1 (human),9,Acot13;Thra;Ulk2;Sbno2;Rbbp7;Arid5b;Zeb2;Mid1;Cmc1,5.333333333333333,4,13.379212416597342,4.4316987719162615,9.0
E2F6 (human),7,Tspan4;Socs3;Hmgb2;Man1c1;Nr1d2;Stmn1;Ddit4,5.142857142857143,4,10.486849052842535,3.5785083076073034,9.0
HMGA1 (mouse),7,Pdgfc;Man1c1;Ccr5;Mid1;Rbbp7;Anp32e;Cmc1,5.142857142857143,4,12.011864390180058,8.682628360716336,9.0
ESR1 (human),7,Tspan4;Hmbs;Nr1d2;Smc4;Fkbp5;Smu1;Ddit4,5.142857142857143,5,11.453670669351705,1.496676620024871,11.0
USF2 (human),7,Fkbp5;Dbp;Thra;Hmgb2;Nr1d2;Hspa1a;Stmn1,5.142857142857143,4,10.383927053222799,3.5375227118260897,9.0
RXRA (human),7,Tagln;Hmbs;Nr1d2;Smc4;Fkbp5;Aldh9a1;Smu1,5.142857142857143,5,10.102873340994538,2.57852364623002,11.0
FOXJ1 (human),7,Pdgfc;Tmbim1;Hax1;Ulk2;Sbno2;Mid1;Sf3a3,5.142857142857143,9,17.102696887517553,4.223537629974585,19.0
SP1 (mouse),10,Nr1d2;Zfp800;Ddit4;Thra;Socs3;Stmn1;Rbbp7;Tmsb10;Tppp3;Basp1,4.800000000000001,4,10.538747227605597,3.1948412589717954,9.0
PCBP1 (human),8,Pdgfc;Tspan4;Hmgb2;Man1c1;Nr1d2;Stmn1;Rbbp7;Dbp,4.5,4,11.30912480864896,4.257232205394713,9.0
BCL6 (human),8,Slc7a8;Acot13;Hax1;Ccl7;Socs3;Mid1;Hmbs;Zeb2,4.5,9,13.989278350621401,5.080879050061894,19.0
SP1 (human),8,Pdgfc;Tspan4;Hmgb2;Man1c1;Nr1d2;Stmn1;Rbbp7;Dbp,4.5,4,11.30912480864896,4.257232205394713,9.0
E2F1 (human),14,Smc4;Dbp;Socs3;Sbno2;Hmgb2;Rbbp7;Tppp3;Arid5b;Man1c1;Nr1d2;Mid1;Stmn1;Anp32e;Basp1,4.2857142857142865,4,12.20092322391223,3.952304016488659,9.0
MYOG (mouse),6,Pdgfc;Siglech;Hmbs;Zfp800;Sbno2;Tmsb10,4.0,3,9.95843679583204,6.376893352873035,7.0
E2F1 (mouse),6,Slc7a8;Etv3;Plk2;Fkbp5;Tmsb10;Basp1,4.0,3,8.395788574747975,4.988124515049249,7.0
SMARCA2 (human),6,Slc7a8;Tspan4;Sbno2;Ndufb11;Hmgb2;Stmn1,4.0,4,9.641745642363936,4.10392745297159,9.0
NFKB1 (human),9,Etv3;Fkbp5;Thra;Sbno2;Hmgb2;Pdgfc;Ccl7;Tspan4;Mpeg1,4.0,9,13.874586795407357,5.203715459218156,19.0
NFYA (mouse),6,Pdgfc;Zeb2;Retnla;Ccr5;Hmgb2;Basp1,4.0,9,19.009932210800688,5.721454465028571,19.0
TP63 (human),6,Tspan4;Socs3;Hmbs;Smc4;Fkbp5;Tmsb10,4.0,5,11.42083300967436,2.3407184671744625,11.0
STAT3 (human),6,Hmbs;Ccl7;Tspan4;Mid1;Rbbp7;Mpeg1,4.0,9,13.198405704754403,4.706954018462357,19.0
REPIN1 (human),6,Pdgfc;Man1c1;Tmsb10;Smu1;Arid5b;Dbp,4.0,6,11.738110228690147,5.280191545752974,13.0
RBPJ (human),6,Ccl7;Mid1;Mmp9;Cd9;Fkbp5;Nmi,4.0,3,6.226356568359246,8.04224693004852,7.0
ATF2 (human),6,Mid1;Man1c1;Cd9;Nr1d2;Cmc1;Thra,4.0,4,8.679075403432371,4.9682940703383744,9.0
HOXA5 (human),6,Slc7a8;Etv3;Nr1d2;Mid1;Tmsb10;Mpeg1,4.0,3,7.966587075757895,7.238822932800264,7.0
HOXD9 (human),6,Slc7a8;Phf3;Hax1;Mid1;Sf3a3;Anp32e,4.0,2,9.593229989827512,4.674296543077903,5.0
FOXA1 (mouse),6,Fkbp5;Smu1;Ulk2;Sbno2;Sf3a3;Anp32e,4.0,5,12.025840342019738,4.075317253249881,11.0
TEAD4 (human),9,Pdgfc;Tspan4;Hmgb2;Hspa1a;Nr1d2;Stmn1;Rbbp7;Tmsb10;Dbp,4.0,4,10.997729814309718,4.5823952976715425,9.0
TEAD2 (human),9,Tspan4;Sbno2;Hmgb2;Cd9;Hspa1a;Tmsb10;Nmi;Tppp3;Thra,4.0,3,8.832790073306938,5.722599300758112,7.0
MIR138 (human),6,Tmbim1;Tspan4;Sbno2;Mmp9;Sf3a3;Basp1,4.0,6,14.501340719077499,6.69918356082991,13.0
MZF1 (human),6,Slc7a8;Tagln;Nr1d2;Smc4;Cmc1;Basp1,4.0,4,9.213504220701923,2.9228025286366828,9.0
HIF1A (human),6,Slc7a8;Hmbs;Fkbp5;Ulk2;Mmp9;Sf3a3,4.0,2,7.8347957595672275,5.7661703760775875,5.0
GATA2 (human),21,Thra;Ulk2;Rbbp7;Tmsb10;Pdgfc;Slc7a8;Tmbim1;Tagln;Tspan4;Mid1;Hspa1a;Cmc1;Basp1;Smc4;Smu1;Hmgb2;Nmi;Stmn1;Sf3a3;Anp32e;Mpeg1,4.0,4,9.256045924195266,4.89442444445903,9.0
IRF8 (human),6,Tagln;Nr1d2;Tspan4;Mid1;Sf3a3;Nmi,4.0,3,9.718340363618719,5.175897929033343,7.0
