gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
Nobox (mouse),1.7142857142857142,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,5.142857142857143,0.0
GABPA (human),0.0,0.0,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0,5.142857142857143,0.0,1.7142857142857142
Arnt::Ahr (mouse),0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,5.142857142857143,0.0
SMAD3 (human),1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,5.142857142857143,0.0,0.0
NKX2-8 (human),0.0,0.0,0.8,0.8,2.4000000000000004,4.800000000000001,0.0,0.0,0.0,0.8,0.0,2.4000000000000004
RXRA (mouse),0.75,0.75,0.75,0.75,0.75,1.5,0.75,0.75,0.0,0.0,4.5,0.75
SOX10 (mouse),0.0,4.5,0.0,3.0,0.0,1.5,0.0,0.0,0.0,1.5,1.5,0.0
MIR210 (human),0.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0
CEBPE (human),0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0
Arnt (mouse),0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
E2F4 (human),0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,4.0,1.3333333333333333,2.6666666666666665,1.3333333333333333,0.0
NKX3-1 (human),0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,0.0,2.6666666666666665,4.0,1.3333333333333333,1.3333333333333333,0.0
FEV (human),0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0
AP1 (mouse),0.0,0.0,1.2000000000000002,1.2000000000000002,2.4000000000000004,3.6,0.0,0.0,2.4000000000000004,0.0,1.2000000000000002,0.0
Sox2 (mouse),0.6486486486486487,0.32432432432432434,0.32432432432432434,0.972972972972973,0.972972972972973,1.2972972972972974,0.32432432432432434,2.2702702702702706,0.972972972972973,3.567567567567568,0.32432432432432434,0.0
MYOD1 (human),1.7142857142857142,0.0,0.0,3.4285714285714284,1.7142857142857142,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142
Klf4 (mouse),0.0,0.0,0.0,3.4285714285714284,3.4285714285714284,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142
THRA (human),1.7142857142857142,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.7142857142857142,0.8571428571428571,0.0,0.0,3.4285714285714284,0.8571428571428571,0.8571428571428571,0.0
Sox5 (mouse),0.0,0.9600000000000001,0.9600000000000001,0.48000000000000004,1.44,1.9200000000000002,0.0,0.0,3.3600000000000003,1.44,0.48000000000000004,0.9600000000000001
ATF1 (human),1.090909090909091,0.0,0.0,2.181818181818182,1.090909090909091,1.090909090909091,3.2727272727272725,2.181818181818182,1.090909090909091,0.0,0.0,0.0
ZNF148 (human),0.7692307692307692,1.2307692307692308,0.46153846153846156,1.3846153846153848,3.230769230769231,1.3846153846153848,0.6153846153846154,0.9230769230769231,0.46153846153846156,0.6153846153846154,0.46153846153846156,0.46153846153846156
Nkx2-5 (mouse),1.6,0.0,0.8,0.8,0.0,0.0,0.0,1.6,2.4000000000000004,1.6,3.2,0.0
Nr2e3 (mouse),3.0,1.5,1.5,3.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0
POU3F1 (human),0.0,0.0,0.0,1.5,0.0,1.5,1.5,0.0,1.5,3.0,1.5,1.5
FOXA3 (human),1.5,0.0,0.0,1.5,3.0,3.0,0.0,0.0,1.5,0.0,1.5,0.0
EIF4EBP1 (human),1.5,3.0,0.0,0.0,0.0,1.5,3.0,1.5,0.0,0.0,1.5,0.0
HNF4A (mouse),2.857142857142857,0.0,0.0,0.0,0.0,1.1428571428571428,0.5714285714285714,1.1428571428571428,2.2857142857142856,1.1428571428571428,1.1428571428571428,1.7142857142857142
KLF11 (human),0.45,0.9,0.45,1.8,2.85,1.6500000000000001,0.6000000000000001,1.05,0.6000000000000001,0.75,0.6000000000000001,0.30000000000000004
AHR (mouse),0.9230769230769231,0.0,0.9230769230769231,0.0,0.0,0.9230769230769231,1.8461538461538463,1.8461538461538463,2.7692307692307696,0.0,1.8461538461538463,0.9230769230769231
