gene,acrophase_rad,acrophase_hour
1190005I06Rik,6.234046003773556,23.81
2310022B05Rik,5.869868125829058,22.42
Asb2,0.3766253993151167,1.44
C1qtnf2,1.7067938804891023,6.52
Ccdc107,1.309095749044305,5.0
Ccdc42,0.8225904031518514,3.14
Chchd10,2.295964692446785,8.77
Cped1,4.403895573507153,16.82
Dst,5.1930247267935545,19.84
E030013I19Rik,5.318914779321627,20.32
Enah,4.867454657097044,18.59
Fbxl22,1.4521490604909442,5.55
Fbxo32,1.7631237029046585,6.73
Fermt2,6.144518449990116,23.47
Fibin,3.563762386027444,13.61
Gm13889,1.2348915755535952,4.72
Hspb6,2.380377848588351,9.09
Limch1,0.2961441399459721,1.13
Lmcd1,6.240948870680867,23.84
Map1b,4.869673119477169,18.6
Mylk4,4.666487623184607,17.82
Myom1,5.833287095273397,22.28
Nexn,5.5915386410636,21.36
Nox4,4.416980931790507,16.87
Nr4a1,4.040706141593136,15.43
Ntf3,0.0133731490825832,0.05
Ogn,5.906915696682548,22.56
Optc,1.851421759511788,7.07
Pdlim4,1.0637811588785766,4.06
Pfn1,1.794117821913363,6.85
Ptprz1,5.815156848530561,22.21
Rab3a,2.117841551753118,8.09
Rcan2,5.256742361699317,20.08
Rgs7bp,3.773400884826911,14.41
Rock1,5.277685159966291,20.16
Rrad,5.950219160691747,22.73
Scube3,5.977015094461867,22.83
Slmap,4.959819690660186,18.95
Smim5,2.2639269244936138,8.65
Sost,6.276245813745048,23.97
Spint2,1.3661117737799726,5.22
Tcap,2.3930724177961165,9.14
Thra,0.8474375941135408,3.24
Ubc,5.91684549701429,22.6
Vldlr,0.4716108871023774,1.8
Zyx,5.180676709896403,19.79
