gene,acrophase_rad,acrophase_hour
Anxa5,1.5976201479813597,6.1
Aqp1,3.495348841847782,13.35
Arf5,1.0523872874505908,4.02
Atp1b1,2.327633490795367,8.89
Capg,1.8087201306463827,6.91
Cx3cl1,1.7363023401329052,6.63
Cxcl12,2.615077280661004,9.99
Fkbp10,2.3461520875651503,8.96
Frzb,2.7038774731561106,10.33
Fxyd5,2.796246566242587,10.68
H3f3b,2.265861260580701,8.65
Hsp90b1,0.3609344743233871,1.38
Ifitm3,2.4791494289747686,9.47
Kdelr3,1.9769569839600305,7.55
Lnx1,2.158112210022788,8.24
Lox,6.0932561520237005,23.27
Mgp,3.614366289858244,13.81
Mt1,2.822773061923489,10.78
Mt2,2.64513440028655,10.1
Myl12a,5.992613050251397,22.89
Pdia6,6.166338396649254,23.55
Steap3,3.365479518388946,12.86
Sulf1,4.600171618982961,17.57
Thbs1,0.3676711828417858,1.4
Tm4sf1,0.7091851799801798,2.71
Tnfrsf1a,2.178973073434208,8.32
Tspan4,3.3800068581984632,12.91
Tspo,1.544896412814027,5.9
Vcam1,1.627640350447308,6.22
