gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
1110019D14Rik,21.12,5.5289,5.15,-12.1984
1200007C13Rik,1.03,0.2693,7.14,-13.0657
1700037C18Rik,8.39,2.197,8.26,-12.8669
1700061G19Rik,7.71,2.0182,14.56,-12.275
1700120C14Rik,16.33,4.2762,29.58,-10.67
1810026B05Rik,12.24,3.2038,52.01,-9.9201
1810062G17Rik,5.59,1.463,2.16,-12.9401
2210407C18Rik,15.53,4.065,1010.53,-9.4407
2310015A16Rik,16.59,4.3431,22.37,-12.1505
2310015D24Rik,2.05,0.537,36.03,-11.5391
2310022B05Rik,0.13,0.0339,224.56,-8.8505
2900089D17Rik,8.58,2.2457,15.01,-11.6365
3425401B19Rik,10.46,2.7379,14.67,-12.6065
4430402I18Rik,15.73,4.1182,6.56,-12.3602
4631405J19Rik,3.73,0.9755,139.61,-11.4305
4833412C05Rik,6.21,1.6268,9.19,-12.3093
4833420G17Rik,13.02,3.4085,10.66,-10.6921
4930532G15Rik,5.24,1.3716,2.35,-13.1505
4930579P08Rik,1.36,0.3568,63.37,-13.5525
4932422M17Rik,7.76,2.0329,2.13,-13.1725
9530018F02Rik,9.16,2.399,6.4,-13.2659
9630015K15Rik,6.85,1.7943,104.48,-13.57
A230059L01Rik,14.07,3.6838,8.16,-13.7654
A4galt,12.31,3.2234,5.06,-11.0793
A530016L24Rik,22.45,5.8786,8.81,-13.5395
A730063M14Rik,10.71,2.804,3.47,-12.7164
A930033H14Rik,14.22,3.7227,11.79,-12.0179
AU020206,11.85,3.1015,26.92,-12.0781
Abcb1b,17.65,4.6196,22.05,-11.7171
Abcg2,12.67,3.3165,4.05,-11.9881
Abhd11,12.53,3.28,51.23,-10.9761
Ablim1,9.5,2.4881,121.81,-10.3083
Acaa2,11.04,2.8914,23.64,-10.035
Acad12,15.8,4.1372,3.01,-12.8844
Acan,16.8,4.3987,70.73,-10.4936
Actn2,23.01,6.0241,2.71,-11.5017
Actr10,12.21,3.1955,15.95,-9.2879
Actr3b,12.37,3.2384,32.87,-12.7006
Acvrl1,15.12,3.9575,20.83,-10.3581
Adam19,1.18,0.31,99.52,-11.3276
Adam33,18.09,4.735,13.01,-9.748
Adamts1,13.63,3.5673,297.05,-8.0283
Adamts10,14.89,3.8972,71.38,-10.0386
Adamts12,1.15,0.3005,14.73,-13.0923
Adamts8,17.2,4.5035,85.99,-10.7477
Adamts9,17.35,4.5435,39.28,-11.1703
Adamtsl5,15.68,4.1038,139.7,-9.5677
Adcy7,14.45,3.7822,94.93,-10.0942
Adgrd1,9.05,2.3685,4.78,-13.3775
Adnp2,0.65,0.1697,4.43,-11.1126
Adrb1,11.68,3.058,3.57,-13.542
Adssl1,11.17,2.9255,4.22,-10.9161
Aff2,23.93,6.2637,4.63,-11.6824
Agpat4,10.17,2.6623,11.1,-10.9164
Ahnak,19.53,5.1142,532.16,-7.0955
Ahsa1,19.65,5.1436,33.1,-9.3544
Aimp2,10.55,2.7624,26.59,-10.2886
Ak4,13.21,3.4588,6.01,-13.0697
Akap5,1.18,0.3086,25.77,-12.8463
Akr1b8,8.68,2.2721,3.41,-12.0744
Akr1c14,12.7,3.3243,2.7,-11.3561
Aldoa,13.23,3.4638,180.43,-7.6485
Alkbh7,0.95,0.2488,19.77,-10.7093
Amfr,12.75,3.3391,2.12,-9.9494
Ang,12.77,3.3434,7.57,-12.0519
Angpt2,6.94,1.8165,3.76,-10.3765
Angpt4,16.44,4.3045,23.1,-12.1259
Angptl2,17.03,4.4575,316.76,-9.6577
Ankrd1,22.62,5.9214,121.06,-10.3783
Ankrd23,0.75,0.1963,56.56,-12.1934
Anln,23.5,6.1514,110.85,-9.8975
Ano1,9.27,2.4271,41.08,-10.3122
Antxr1,1.28,0.3363,89.2,-9.623
Apcdd1,15.65,4.0979,61.77,-12.0754
Apobec2,6.23,1.6321,2.48,-12.769
Arfrp1,16.0,4.1886,14.49,-10.2418
Arhgef19,18.31,4.7948,15.23,-11.9655
Arid5b,18.72,4.9019,411.46,-7.6504
Arl6ip5,12.38,3.2402,231.82,-8.713
Armc2,5.53,1.4467,6.98,-12.6119
Arntl,0.6,0.1584,676.01,-12.0158
Arrdc2,12.12,3.1719,143.53,-12.1237
Arrdc3,13.12,3.434,441.02,-9.8119
Arrdc4,8.87,2.323,10.32,-12.2033
Arsg,9.62,2.5173,7.1,-13.0107
Art3,16.55,4.3338,174.85,-9.9978
Arxes2,15.29,4.0017,3.43,-13.6994
Asap2,4.36,1.1403,93.55,-9.0143
Asb10,11.38,2.9784,32.72,-13.6655
Asb2,0.43,0.1131,150.44,-9.6435
Asb5,1.79,0.4686,4.75,-11.7918
Asph,2.86,0.7498,3.87,-8.6837
Atf3,2.25,0.5897,1073.39,-8.0255
Atp1b1,9.92,2.5964,111.99,-11.2913
Atp1b2,10.07,2.6368,4.13,-9.8378
Atp6v0c,12.46,3.2613,12.11,-8.214
Axl,14.6,3.8219,10.88,-8.9829
B3galnt1,11.79,3.0869,4.9,-11.9475
BC067074,7.8,2.0431,4.82,-13.4457
Baiap2,12.93,3.3842,3.65,-12.4295
Banp,20.76,5.4353,19.92,-10.9494
Baz1b,19.56,5.1217,2.26,-9.5514
Bbs5,12.19,3.1912,24.43,-11.7085
Bcl6,4.46,1.1676,30.06,-10.6403
Bcl7c,9.41,2.4638,13.07,-9.543
Bhlhe40,10.03,2.6255,110.19,-12.0062
Bhlhe41,11.81,3.0916,990.38,-10.8562
Bik,1.02,0.2679,22.12,-10.284
Bmf,2.28,0.5975,5.17,-12.3681
Bmp3,15.8,4.1375,711.89,-10.4157
Bok,7.87,2.0607,4.85,-12.7684
Brd7,17.45,4.5686,50.76,-9.2428
Brip1os,16.87,4.416,4.15,-10.7753
Btc,19.78,5.178,13.79,-10.2693
Btg1,21.89,5.7319,313.59,-8.0973
Bves,17.78,4.6547,6.05,-11.0409
C130036L24Rik,10.09,2.6411,4.39,-12.9045
C1galt1c1,15.58,4.0789,10.99,-10.5973
C630043F03Rik,12.64,3.3102,38.0,-13.2408
Cabcoco1,8.05,2.1087,16.36,-13.4413
Cacnb2,0.88,0.2303,6.76,-10.4142
Camk1d,16.98,4.4451,8.83,-12.6821
Camk2b,3.94,1.0317,163.31,-11.8467
Capg,8.16,2.1366,2.43,-10.7175
Caprin2,3.48,0.9121,13.32,-12.2221
Capsl,12.2,3.194,14.65,-13.3696
Capzb,10.53,2.757,14.81,-8.2193
Car11,16.14,4.225,8.59,-10.7859
Casq1,9.4,2.4604,3.86,-10.12
Cbfa2t3,2.2,0.5754,6.34,-11.6242
Ccdc107,4.29,1.1223,321.69,-8.6677
Ccdc112,0.83,0.2166,139.83,-10.9101
Ccdc42os,1.25,0.3263,24.12,-12.4432
Ccdc60,2.9,0.7603,19.0,-12.8227
Ccdc69,1.02,0.268,26.12,-10.8485
Ccdc71l,12.91,3.3793,257.08,-10.9026
Ccdc80,14.27,3.7347,66.53,-8.5154
Cck,4.81,1.2582,30.93,-12.5701
Ccn2,21.69,5.6786,1902.8,-6.1935
Ccn5,18.69,4.8937,376.43,-8.9261
Ccnb1ip1,3.69,0.9668,66.91,-13.2036
Cct7,19.1,5.0016,11.6,-8.668
Cd14,14.79,3.871,12.7,-13.4671
Cd200,10.13,2.653,81.65,-7.2148
Cd74,7.73,2.0226,33.02,-12.8492
Cd9,7.72,2.0202,642.92,-6.9909
Cdc14a,10.44,2.7344,38.1,-11.0337
Cdc25b,9.29,2.433,38.08,-12.079
Cdc42ep4,12.35,3.2319,11.32,-11.0235
Cdh18,3.23,0.8465,2.41,-12.7605
Cdh2,17.14,4.4868,3.94,-12.6225
Cdh3,1.56,0.4091,2.43,-12.2852
Cdk14,18.99,4.9717,26.0,-11.7528
Cdk2,11.25,2.9458,3.76,-12.2105
Cdk2ap1,13.1,3.4296,69.94,-10.5861
Cdkl5,17.86,4.6754,72.89,-9.2733
Cdkn1a,1.28,0.3349,334.37,-9.7567
Cdkn2b,22.98,6.015,46.96,-12.0743
Cdkn2c,13.38,3.5019,30.21,-11.6991
Cdo1,13.15,3.4418,40.58,-9.289
Cebpb,12.49,3.2695,786.74,-9.32
Cebpd,12.52,3.2768,389.65,-9.3117
Cers6,20.93,5.4794,5.83,-13.0853
Cetn3,12.94,3.3867,162.49,-8.8792
Cfap45,3.86,1.0093,11.03,-13.7103
Cgnl1,18.06,4.7277,31.04,-10.8329
Chchd10,10.31,2.6993,51.53,-10.914
Chchd6,5.19,1.3596,21.62,-10.6764
Chid1,20.28,5.3093,6.94,-11.3804
Chmp4c,17.95,4.7,12.41,-9.5925
Chst2,18.27,4.7833,3.66,-11.5947
Ciart,11.41,2.9881,472.99,-13.0819
Cilp2,12.19,3.1916,17.32,-12.3528
Cirbp,9.19,2.4063,362.22,-9.4898
Cited4,23.84,6.2424,28.72,-12.7313
Ckb,5.42,1.4194,32.74,-8.0215
Clec2d,13.37,3.5005,281.01,-10.9639
Clock,0.55,0.1431,283.22,-9.8712
Cmtm6,0.8,0.2084,7.99,-10.8893
Cmtm8,9.28,2.4304,9.25,-12.6487
Cnn1,23.84,6.24,26.02,-6.4579
Cnn3,13.69,3.5842,55.45,-7.9822
Col14a1,8.08,2.1154,74.8,-9.4975
Col15a1,9.74,2.5507,69.93,-8.6207
