pathway,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,12,Idi1;Srebf1;Fdft1;Sqle;Sc5d;Hmgcs1;Hmgcr;Fdps;Pmvk;Mvd;Fasn;Insig1,9.0,10,20.333683194175997,1.0954138973135503,21.0
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,11,Idi1;Srebf1;Fdft1;Sqle;Sc5d;Hmgcs1;Hmgcr;Fdps;Pmvk;Mvd;Fasn,8.727272727272728,10,20.252635981640204,1.1111677228475116,21.0
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,6,Nfkbia;Psmd9;Itpr2;Nfatc1;Pik3r1;Ubc,8.0,5,10.850255369733134,5.218569266395498,11.0
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,6,Nfkbia;Psmd9;Itpr2;Nfatc1;Pik3r1;Ubc,8.0,5,10.850255369733134,5.218569266395498,11.0
REACTOME_M_PHASE,8,Dync1i2;Psmd9;Fbxo5;Tuba1b;Smc2;Ubc;Chmp4c;Sfi1,7.5,8,16.431352056314633,3.826889167369811,17.0
REACTOME_TRANSLATION,8,Lars2;Mrpl43;Aimp2;Mrpl27;Mrps26;Eif4a1;Rps21;Mrps6,7.5,5,10.365903633478531,5.736680368319385,11.0
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,7,Agpat4;Dgat2;Pitpnm2;Gpcpd1;Lpcat4;Pnpla2;Pcyt2,6.857142857142857,5,11.563712504161243,3.2439718291949777,11.0
REACTOME_METABOLISM_OF_STEROIDS,20,Msmo1;Idi1;Osbpl3;Srebf1;Fdft1;Sqle;Sc5d;Hmgcs1;Hmgcr;Dhcr24;Stard3;Hsd17b7;Cyp39a1;Ebp;Fdps;Pmvk;Stard4;Mvd;Fasn;Insig1,6.6000000000000005,10,20.099982971460424,2.8436576584848243,21.0
REACTOME_CHOLESTEROL_BIOSYNTHESIS,13,Msmo1;Idi1;Fdft1;Sqle;Sc5d;Hmgcs1;Hmgcr;Dhcr24;Hsd17b7;Ebp;Fdps;Pmvk;Mvd,6.461538461538462,10,19.902733296395027,1.7582759078955021,21.0
REACTOME_NEUTROPHIL_DEGRANULATION,16,Enpp4;Hebp2;Cmtm6;Magt1;Crispld2;Manba;Stbd1;Actr10;Tlr2;Sdcbp;Aldoa;Pdxk;Cd14;Lrg1;Pgam1;Atp6v0c,6.0,6,12.513294585202901,3.574916017653659,13.0
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION,6,Adrb1;Pthlh;Crhr2;Adcy7;Tshr;Gng10,6.0,5,12.805217837415357,2.0265225616738363,11.0
REACTOME_RAC3_GTPASE_CYCLE,6,Fermt2;Wasf1;Stbd1;Dock10;Pik3r1;Baiap2,6.0,6,14.647232080122535,4.617141098961264,13.0
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,6,Dync1i2;Psmd9;Fbxo5;Tuba1b;Ubc;Chmp4c,6.0,8,16.060222168408306,4.603693369407731,17.0
REACTOME_CILIUM_ASSEMBLY,6,Pkd1;Dync1i2;Tuba1b;Bbs5;Sfi1;Cys1,6.0,8,15.934275218247137,1.8416257019117512,17.0
REACTOME_SYNTHESIS_OF_DNA,6,Mcm5;Rpa3;Psmd9;Cdk2;Rpa1;Ubc,6.0,5,12.484891178754044,4.081250778573934,11.0
REACTOME_APOPTOSIS,9,Fas;Dapk2;Bmf;Psmd9;Stk26;Nmt1;Ubc;Cd14;Dapk1,5.333333333333333,0,22.165697283281133,5.870026204128435,1.0
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,9,Dbp;Nampt;Serpine1;Bhlhe41;Arntl;Bhlhe40;Clock;Klf15;Npas2,5.333333333333333,5,8.540113936703944,5.55740596857164,11.0
REACTOME_OPIOID_SIGNALLING,7,Camk2b;Adcy7;Itpr2;Ppp1r1b;Plcb1;Pde4b;Gng10,5.142857142857143,5,10.441244467566905,5.601401487534693,11.0
REACTOME_CA2_PATHWAY,7,Wnt5a;Itpr2;Nfatc1;Myc;Fzd4;Plcb1;Gng10,5.142857142857143,5,12.095653853942684,4.351199922811235,11.0
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,7,Nrp1;Pfn1;Psmd9;Ubc;Rps21;Akap5;Srgap3,5.142857142857143,0,0.20776928888432356,6.448801547927518,1.0
REACTOME_STIMULI_SENSING_CHANNELS,7,Mcoln1;Sgk1;Ano1;Casq1;Ubc;Tsc22d3;Asph,5.142857142857143,4,9.636491197467135,5.739543805683342,9.0
REACTOME_DNA_REPLICATION_PRE_INITIATION,7,Mcm5;Rpa3;Psmd9;Gmnn;Cdk2;Rpa1;Ubc,5.142857142857143,5,12.834130917993036,3.746476000005033,11.0
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,7,Baz1b;Rpa3;Cdk2;Rpa1;Mdc1;Ubc;Ubxn1,5.142857142857143,5,15.153713458712744,6.205389090457661,11.0
REACTOME_DNA_REPLICATION,7,Mcm5;Rpa3;Psmd9;Gmnn;Cdk2;Rpa1;Ubc,5.142857142857143,5,12.834130917993036,3.746476000005033,11.0
REACTOME_DNA_REPAIR,7,Baz1b;Rpa3;Cdk2;Rpa1;Mdc1;Ubc;Ubxn1,5.142857142857143,5,15.153713458712744,6.205389090457661,11.0
REACTOME_NEDDYLATION,12,Asb2;Zbtb16;Psmd9;Fbxo30;Socs2;Fem1c;Asb10;Ubc;Asb5;Commd8;Spsb1;Fbxl22,5.000000000000001,0,7.175920297440591,6.742379979885664,1.0
REACTOME_SIGNALING_BY_NTRKS,10,Gab1;Mapkapk3;Id3;F3;Sgk1;Id1;Ntrk3;Pik3r1;Rrad;Mapk12,4.800000000000001,5,11.531928696584245,4.833327710496634,11.0
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,13,Eln;Col23a1;Timp1;Mmp15;Adamts8;Scube3;Adamts1;Mmp14;Acan;Adamts9;Col14a1;Col15a1;Col6a6,4.615384615384616,8,14.32666008329958,8.023131956030062,17.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,13,Asb2;Zbtb16;Psmd9;Fbxo30;Ube2g1;Herc6;Asb10;Ubc;Lonrf1;Sh3rf1;Asb5;Spsb1;Fbxl22,4.615384615384616,5,9.566095758125375,6.667582190100704,11.0
REACTOME_DEUBIQUITINATION,8,Nfkbia;Smad7;Tgfb1;Psmd9;Myc;Il33;Ubc;Tgfbr2,4.5,5,10.096244446698073,4.40678579691187,11.0
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,8,Adrb1;Pthlh;Crhr2;Adcy7;Tshr;Pde3a;Grk5;Gng10,4.5,5,12.108553476259829,4.674311451477217,11.0
