tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
SPIB (human),8,Hoxb5;Pax1;Col4a3;Smtnl2;Ckb;Zbtb16;Lrrn1;Acsf3,6.0,6,7.200392103239188,8.65377121717573,13.0
Pdx1 (mouse),8,Lypd1;Gstm7;Bgn;Rnaseh2b;Ech1;Prg4;Arrdc3;Myh11,6.0,3,10.414057089215357,6.134474260813212,7.0
HNF4A (mouse),9,Nr1d2;Zfp185;Crlf1;Eln;Tmem229b;Cdc42ep3;Lingo1;Scd2;Aldh3b1,5.333333333333333,5,10.081582031166242,8.358505732035415,11.0
PCBP1 (human),32,Crlf1;Bhlhe40;Bhlhe41;Tmem52;Sh3bp2;Lepr;Lingo1;Egr3;Foxf1;Eci2;Tspan4;Per3;Camkk2;Ern1;Wnt4;Add2;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Prdx6;Rheb;Ankrd12;Krba1;Glul;Atp1b1;Dbp;Wee1;Pkd1;Usp13;Nt5dc2,5.25,5,11.521873812402335,2.7590691404785117,11.0
NR1I2 (human),21,Srsf3;Fam13a;Ech1;Fndc5;Spon2;Icam2;Socs2;Rere;Spata24;Tef;Cyp1b1;Nr1d1;Ldhd;Igfbp7;Selenbp1;Cebpd;Pdk4;Magt1;Fam180a;Wif1;Idi1,5.142857142857143,6,11.179380926843367,4.746529090568322,13.0
SOX10 (mouse),7,Ethe1;Gjb5;Tmem52;Slc25a47;Lingo1;Hist3h2a;Gap43,5.142857142857143,6,11.62589917694355,4.261481408735561,13.0
GFI1 (human),15,Ethe1;Scp2;Sdf2l1;Mia;Camkk2;A4galt;Fkbp5;Fam107a;Smpdl3b;Vgll3;Sipa1l1;Hspa5;Hspb1;Plaur;Nt5dc2,4.800000000000001,6,13.8334337831947,5.063274909923242,13.0
SP3 (human),31,Asphd2;Crlf1;Bhlhe40;Bhlhe41;Tmem52;Sh3bp2;Lepr;Lingo1;Fndc5;Foxf1;Eci2;Tspan4;Per3;Wnt4;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Prdx6;Tmem158;Rheb;Ankrd12;Krba1;Fbxl13;Glul;Atp1b1;Rasd2;Wee1;Pkd1;Nt5dc2,4.645161290322581,5,11.797063889715716,2.5382267755154686,11.0
AHR (mouse),8,Serpine1;Cyp1b1;Ptgs2;Pabpc1l;Glul;Aldh3a1;Pkd1;Tmem191c,4.5,6,14.036775451036727,3.582558487919404,13.0
KLF5 (human),22,Rbpj;Zbtb16;Cdc25b;Trim67;Ece1;Egr3;Socs2;Sox12;Tef;St3gal4;Fkbp4;Cys1;Erf;Ankrd12;Cdc14a;Cpt1a;Fbxl13;Smpdl3b;Atp1b1;Aldh3b1;Hspa8;Nt5dc2,4.363636363636364,6,12.46319015155074,4.159934374024529,13.0
MTF1 (human),28,Prex1;Bhlhe41;Fabp3;Smtnl2;Tmem52;Zbtb16;Kcnd3;Lingo1;Foxf1;Tspan4;Per3;Mknk2;Wnt2;Wnt4;Cyp1b1;St3gal4;Rpl31;Erp29;Igfbp3;Pgf;Cacnb4;Tmsb10;Fbxl13;Hist3h2a;Svil;Rasd2;Aldh3a1;Dbp,4.2857142857142865,6,10.87959014181276,4.250494659416347,13.0
MYC (human),34,Larp6;Bhlhe40;Bhlhe41;Dgat2;Fabp3;Sh3bp2;Plekha6;Icam2;Per3;Per1;Tcap;Cd55;Ern1;Fam174b;Tef;Serpine1;Nr1d1;Nr1d2;Cyb561;G0s2;Fmo4;Tmem229b;Angptl2;Fkbp5;Sbsn;Ankrd12;Cpt1a;Selenbp1;Sema3e;Tnnt2;Pde8a;Aldh3b1;Aox1;Wee1,4.23529411764706,5,10.985421075760842,2.8794345553985092,11.0
CBEPA (human),32,Bhlhe40;Bhlhe41;Mbd1;Fabp3;Ptgs1;Npas2;Sh3bp2;Has1;Lepr;Pim3;Gria4;Lingo1;Ece1;Ccl2;Ephb2;Spon2;Slc10a6;Per2;Cytl1;Wnt10b;Nr1d2;Rpn1;Fmo1;Fmo3;Fmo4;Serpini1;Sema3c;Aqp1;Mgst1;Lmo2;Rgs17;Dbp,4.125,5,10.420158384590227,4.446546831670315,11.0
SP1 (human),35,Crlf1;Bhlhe40;Bhlhe41;Tmem52;Sh3bp2;Lepr;Lingo1;Lcn8;Fndc5;Egr3;Foxf1;Eci2;Tspan4;Nfil3;Per3;Marveld1;Wnt4;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Prdx6;Rheb;Ankrd12;Krba1;Fbxl13;Tnnt2;Glul;Atp1b1;Rasd2;Dbp;Wee1;Pkd1;Nt5dc2,4.114285714285715,5,11.7296080598987,3.186969149870519,11.0
REL (human),12,Cadm1;Arntl;Nr1d1;Prg4;Cyb561;S100a4;Loxl2;Pde4b;Lonrf3;Add2;Adamts4;Ccl7,4.0,3,6.261010782017627,4.55724382036808,7.0
NR1H2 (human),12,Nr1d2;Rpn1;Ldhd;Srsf3;Erp29;Sord;Pdk4;Socs2;A4galt;Plaur;Pik3ip1;Spata24,4.0,6,10.81892639152052,4.326798998182421,13.0
Sox17 (mouse),6,Scp2;Pim3;Gria4;Slc4a10;Pdk4;Gap43,4.0,5,10.508984761004477,6.011630135360326,11.0
TCFAP2A (human),34,Prex1;Rbpj;Crlf1;Bhlhe40;Bhlhe41;Slco3a1;Sh3bp2;Kcnd3;Lingo1;Lysmd2;Egr3;Foxf1;Tspan4;Nfil3;Per3;Per2;Dpy19l3;Camkk2;Acaa2;Pitpnc1;Grk5;Wnt4;Rere;Cntfr;Nr1d2;Prdx6;Ankrd12;Krba1;Map4k4;Atp1b1;Rasd2;Pde8a;Wee1;Nt5dc2,3.882352941176471,5,11.122314143704529,4.5059735877351415,11.0
