tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
SMAD3 (mouse),8,Cck;Cdk2ap1;Fibin;Cited4;Hebp2;Smarcd2;Lsp1;Tgm2,4.5,6,10.253155442907087,6.452649946330396,13.0
HIVEP1 (human),8,Cbfa2t3;Nox4;Mapre2;Mid1;Gstt1;Mknk2;Phactr3;Nrgn,4.5,7,15.19323136208635,4.131155667700115,15.0
PRDM1 (mouse),9,Myc;Vgll3;Mrpl27;Id3;Fmo2;Ablim1;Osbpl3;Zmat1;Vstm2b,4.0,11,23.775322562559836,7.194421401351953,23.0
FOXF1 (mouse),12,Gbp5;Ndfip1;Cbfa2t3;Slc22a4;Pdgfc;Prdm16;Rpa3;Tmem38b;Sc5d;A4galt;Cpt1a;Itgb3,4.0,6,10.33947494429801,8.172528412040464,13.0
MIR210 (human),6,Axl;Nrn1;Mknk2;Hes1;Fem1c;Nrgn,4.0,7,12.951819860609643,4.856982014628832,15.0
THRA (human),12,Slc50a1;Psmd9;Antxr1;Nipal4;Hhip;Ankrd1;Mpp6;Atp1b2;Npas2;Jam2;Dbp;Cebpb,4.0,5,10.10742485846896,7.118860303735813,11.0
FOXI1 (human),9,Slc6a7;Vgll4;Gnl1;Dpy19l3;Ubxn2b;Myh10;Map3k6;Wee1;Sin3b,4.0,6,10.655596305250887,5.354625281395324,13.0
NKX3-1 (human),6,Sv2a;Gnl1;Mapre2;Nav2;Dhcr24;Palld,4.0,10,16.222218857862494,6.47329396221609,21.0
POU3F1 (human),6,Antxr1;Gpm6a;Tsc22d3;Dhcr24;Dst;Gfod1,4.0,11,20.53444713638191,4.548840912707603,23.0
FOXO3 (human),6,Lrch1;Gnl1;Hebp2;Ythdf2;Mamdc2;Acan,4.0,7,12.532492937143196,4.918403745934782,15.0
Pax6 (human),12,Hat1;Hfe;C1galt1c1;Baz1b;Pkig;Gcdh;Lxn;Sult1a1;Banp;Gnl1;Tfap4;Smpdl3b,4.0,7,14.555415361316363,2.905190768283297,15.0
PURA (human),30,Myc;Fam135a;Adnp2;Kcnb1;Shd;Mecom;Rspo3;Plxnd1;Ablim1;Slc9a3r1;Cacnb2;Gstt1;Angpt4;Itpr2;Ntrk3;Tub;Tm4sf1;Rin3;Hivep3;Mlf1;Tppp3;Aldoa;Trip10;Nav2;Mast4;Dbi;Lasp1;Dapk1;Spry1;Acan,4.0,0,2.0684212984897217,7.497641176101156,1.0
SPIB (human),28,B3galnt1;St3gal5;Pknox1;Gnl1;Nfatc1;Kcnc4;Pgam1;Tmem140;Ckb;Plcl1;Zbtb16;Dgkh;Csf1;Ablim1;Frzb;Dlx5;Dusp18;Klf4;Tpd52l1;Cd200;Fam78b;Acvrl1;Nrn1;Thsd7a;Slc1a4;Smad7;Dnah8;Aff2,3.8571428571428577,5,10.352100490694335,4.753006958068513,11.0
IRF2 (mouse),44,Nmt1;Mmp15;Exd2;Dlx6;C1galt1c1;Nrn1;Ubxn2b;Gabra3;Phactr3;Adamts8;Vgll4;Mlf1;Ubxn1;Nt5c;Lrrtm3;Ptgs2;Sat1;Mylk4;Capsl;Snx7;Rpa1;A4galt;Ddx17;Scarb2;Nptn;Asb5;Myc;Fmo3;Ankrd23;Cdh2;Cacnb2;Dhcr24;Rpgrip1;Wasf1;Smpdl3b;Hist1h4h;Hist1h4d;Strbp;Tsc22d3;Umps;Fibin;Mapre2;Myoz2;Pde4b,3.8181818181818183,7,15.234597812852513,5.017248313844564,15.0
NKX2-8 (human),13,Ech1;Rsad1;Rfx2;Glrx;Scn2b;Pusl1;Prss12;Id3;Ect2l;Hmgcs2;Lancl3;Pdlim4;Phactr3,3.6923076923076925,4,8.866128548620335,4.855774248163375,9.0
MZF1 5-13 (human),10,Parl;Adssl1;Gnl1;Ptprf;Gas7;Mrpl43;Snx7;Cdc25b;Kremen1;Dapk1,3.6,5,12.264612659242026,5.295081594672938,11.0
IRF2 (human),49,Mecom;Spsb1;Slc16a1;Rnaseh2b;Slc16a9;Cdc42ep4;Myo10;Slc25a17;Slc25a14;Pik3r1;Gcdh;Hhip;Ube2g1;Creld2;Ptprm;Bbs5;Fdps;Arhgef19;Etv1;Sfpq;Pdlim4;Coq10b;Vps26a;Smc2;Ier5;Gnl1;Tmem165;Tead1;Fmo3;Hcls1;Tmem38b;Cys1;Ak4;Klf9;Smpdl3b;Smarcd2;Syne1;Glrx;Akap5;Gpm6a;Dpf1;Glul;Nqo1;Mapre2;Ttpal;Tgfb2;Dock8;Tshr;Palld,3.4285714285714284,6,14.693522554389173,4.8709827819551315,13.0
GTF2I (human),14,Rhebl1;Adnp2;Gnl1;Ube2g1;Mrpl43;Cdkn1a;Sertad4;Enpp4;Leo1;Plat;Ebp;Synpo2l;Wasf1;Lnx2,3.4285714285714284,5,12.482219298043312,6.065262320806145,11.0
SMAD3 (human),7,Foxf1;Ndrg4;Serpine1;Eln;Npas4;Pip4k2a;Ankrd1,3.4285714285714284,3,2.2334758900442506,5.62616299335268,7.0
Klf4 (mouse),7,Myh10;Plk2;Pik3r1;Sgk1;Neu2;Irx3;Pik3ip1,3.4285714285714284,0,2.0082611486300785,8.698000721512745,1.0
NFATC3 (human),7,Gstz1;Col6a6;Pdk4;Ncald;Lrrc17;Gramd4;Sertad4,3.4285714285714284,3,7.223870444834718,5.010482079234235,7.0
FOXA3 (human),7,Glul;Ppp1r10;Gas7;Vwa3b;Gsta4;Etv5;Hmgcr,3.4285714285714284,6,13.971241532976368,6.007968215974497,13.0
Nr2e3 (mouse),7,Ppfia4;Caprin2;Sphk1;Dpp9;Marcksl1;Gpr146;Zdhhc23,3.4285714285714284,4,7.1149811022917895,4.517294372788282,9.0
FOXD1 (human),7,Lrch1;Tef;Gnl1;Hebp2;Ythdf2;Mamdc2;Acan,3.4285714285714284,6,12.515943963036353,4.387732684563412,13.0
PPARA (human),11,Slc50a1;Baz1b;Rara;Timp1;Rarres1;Pf4;Ndufv3;Hmgcs2;Mast4;Palld;Asph,3.2727272727272725,7,18.77443246010542,6.866238950616409,15.0
FEV (human),11,Cd74;Slc16a1;Rfx2;Papss2;Hes6;Ccnb1ip1;Cacnb2;Bmf;Gnl1;Serinc1;Spty2d1,3.2727272727272725,6,6.952666700613477,5.485016661902498,13.0
