gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
GFI1 (human),0.0,0.0,0.0,1.7142857142857142,0.0,6.857142857142857,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0,0.0
HMGA1 (mouse),0.0,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,6.857142857142857,1.7142857142857142,0.0,0.0,0.0,0.0
Pax2 (mouse),0.0,0.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0
MYC (mouse),0.0,0.0,0.0,1.8461538461538463,1.8461538461538463,5.538461538461539,0.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0
NR1H3 (human),0.0,0.0,0.0,1.7142857142857142,3.4285714285714284,5.142857142857143,1.7142857142857142,0.0,0.0,0.0,0.0,0.0
FOXF2 (human),0.0,0.0,0.0,0.0,5.142857142857143,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142
USF1 (human),0.0,0.0,0.0,0.8,3.2,4.800000000000001,2.4000000000000004,0.8,0.0,0.0,0.0,0.0
NRF1 (human),0.0,0.0,0.0,0.0,1.2000000000000002,3.6,4.800000000000001,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0
KLF5 (human),0.0,0.0,0.0,0.9230769230769231,0.0,4.615384615384616,2.7692307692307696,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0
HNF1A (human),0.9230769230769231,0.0,0.0,0.0,0.0,0.0,1.8461538461538463,0.9230769230769231,4.615384615384616,1.8461538461538463,0.9230769230769231,0.9230769230769231
CREB1 (human),0.0,0.0,0.0,0.0,0.9230769230769231,3.230769230769231,4.615384615384616,0.9230769230769231,1.3846153846153848,0.0,0.46153846153846156,0.46153846153846156
CEBPB (human),0.0,0.0,0.0,1.5,1.5,4.5,3.0,1.5,0.0,0.0,0.0,0.0
POU2F1 (human),0.0,0.0,0.0,1.5,0.0,3.0,1.5,0.0,1.5,0.0,4.5,0.0
TCFAP2A (human),0.0,0.0,0.0,0.0,1.894736842105263,4.421052631578948,2.526315789473684,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
MEF2A (human),0.0,0.0,0.0,0.631578947368421,0.631578947368421,4.421052631578948,3.1578947368421053,0.631578947368421,0.0,0.631578947368421,1.263157894736842,0.631578947368421
RELB (human),0.0,0.0,0.0,0.0,0.0,2.181818181818182,4.363636363636364,2.181818181818182,0.0,2.181818181818182,1.090909090909091,0.0
HIF1A (human),0.0,0.0,0.0,0.0,1.090909090909091,2.181818181818182,1.090909090909091,4.363636363636364,0.0,0.0,1.090909090909091,2.181818181818182
CBEPA (mouse),0.0,0.0,1.090909090909091,0.0,1.090909090909091,4.363636363636364,2.181818181818182,1.090909090909091,1.090909090909091,0.0,1.090909090909091,0.0
LTF (human),0.0,0.0,0.0,0.0,3.2727272727272725,0.0,1.090909090909091,4.363636363636364,0.0,2.181818181818182,1.090909090909091,0.0
NRF1 (mouse),0.0,0.0,0.0,2.181818181818182,1.090909090909091,4.363636363636364,3.2727272727272725,0.0,1.090909090909091,0.0,0.0,0.0
TFAP2D (human),0.0,0.0,0.0,3.2727272727272725,1.090909090909091,0.0,4.363636363636364,0.0,1.090909090909091,1.090909090909091,0.0,1.090909090909091
PCBP1 (human),0.48000000000000004,0.0,0.0,0.48000000000000004,1.44,4.32,2.88,0.9600000000000001,0.0,0.48000000000000004,0.0,0.9600000000000001
E2F6 (human),0.0,0.0,0.0,0.0,1.7142857142857142,4.2857142857142865,1.7142857142857142,0.8571428571428571,0.8571428571428571,1.7142857142857142,0.8571428571428571,0.0
ZBTB16 (human),0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,4.2857142857142865,1.7142857142857142,0.0,2.5714285714285716,0.0,0.8571428571428571,0.8571428571428571
SNAI1 (human),0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0
ELK1 (human),1.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0
ATF4 (human),0.0,0.0,0.0,0.8,1.6,2.4000000000000004,4.0,1.6,0.8,0.8,0.0,0.0
TFAP2C (human),0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,1.0,1.0,0.0
RUNX2 (human),0.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
NR5A1 (human),1.3333333333333333,0.0,0.0,2.6666666666666665,0.0,4.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0
TBP (mouse),1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,4.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0
TCF3 (human),0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0
STAT5B (mouse),0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0
Gata1 (mouse),0.0,0.0,1.3333333333333333,4.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0
NR3C1 (human),0.0,0.0,0.5714285714285714,0.0,0.0,1.1428571428571428,4.0,3.4285714285714284,1.1428571428571428,0.0,1.7142857142857142,0.0
ZBTB7A (human),0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,4.0,3.3333333333333335,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666
SNAI2 (human),0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0
SP1 (human),0.5,0.0,0.0,0.5,1.5,4.0,2.5000000000000004,1.0,0.0,1.0,0.5,0.5
SMAD4 (mouse),0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,4.0,1.3333333333333333,2.0,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333
WT1 (human),0.5,0.0,0.0,0.5,1.5,3.5000000000000004,4.0,0.5,0.0,0.5,0.5,0.5
USF1 (mouse),0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,1.0
HIF1A (mouse),0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0
SREBF1 (mouse),0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,4.0,2.6666666666666665,0.0,2.6666666666666665,0.0,0.0,0.0
KLF11 (human),1.3333333333333333,0.0,0.0,0.6666666666666666,4.0,1.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0
SP3 (human),0.5454545454545455,0.0,0.0,0.5454545454545455,1.090909090909091,3.8181818181818183,3.2727272727272725,0.0,0.0,0.5454545454545455,1.090909090909091,1.090909090909091
KLF4 (human),1.263157894736842,0.0,0.0,0.631578947368421,3.789473684210526,1.263157894736842,2.526315789473684,1.263157894736842,0.631578947368421,0.631578947368421,0.0,0.0
GLI2 (human),0.0,0.0,0.631578947368421,0.0,2.526315789473684,3.789473684210526,1.894736842105263,1.263157894736842,1.263157894736842,0.0,0.631578947368421,0.0
SPI1 (human),0.0,0.0,0.631578947368421,0.631578947368421,1.894736842105263,3.789473684210526,0.631578947368421,1.894736842105263,0.631578947368421,0.0,1.894736842105263,0.0
FOXJ1 (human),0.0,0.0,0.0,2.25,0.75,3.75,1.5,0.75,1.5,0.75,0.75,0.0
MYOG (mouse),0.0,0.0,0.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.8461538461538463,0.9230769230769231,0.9230769230769231,1.8461538461538463,3.6923076923076925,0.0
PGR (human),0.0,0.0,0.9230769230769231,0.0,1.8461538461538463,1.8461538461538463,3.6923076923076925,0.0,1.8461538461538463,0.0,1.8461538461538463,0.0
REPIN1 (human),0.9230769230769231,0.0,0.0,0.0,1.8461538461538463,1.8461538461538463,3.6923076923076925,0.0,0.0,0.9230769230769231,1.8461538461538463,0.9230769230769231
NR2F1 (human),0.0,0.0,0.0,0.9230769230769231,3.6923076923076925,2.7692307692307696,1.8461538461538463,0.0,0.9230769230769231,0.0,0.9230769230769231,0.9230769230769231
Myb (mouse),0.0,0.0,0.9230769230769231,0.0,2.7692307692307696,3.6923076923076925,1.8461538461538463,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0
POU1F1 (human),0.0,0.0,0.0,3.6923076923076925,0.0,0.9230769230769231,2.7692307692307696,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
JUN (human),0.0,0.0,0.0,0.5217391304347826,2.608695652173913,3.6521739130434785,2.0869565217391304,2.0869565217391304,0.0,0.0,0.5217391304347826,0.5217391304347826
FOXA2 (mouse),1.2000000000000002,0.0,0.0,3.6,0.0,1.2000000000000002,2.4000000000000004,0.0,0.0,1.2000000000000002,1.2000000000000002,1.2000000000000002
CBEPA (human),0.0,0.0,0.0,0.0,3.6,1.8,1.8,2.4000000000000004,0.6000000000000001,0.0,1.2000000000000002,0.6000000000000001
UBTF (human),0.0,0.0,0.0,1.2000000000000002,0.0,3.6,2.4000000000000004,1.2000000000000002,2.4000000000000004,1.2000000000000002,0.0,0.0
NR1I2 (human),0.0,0.0,0.0,1.2000000000000002,2.4000000000000004,3.6,2.4000000000000004,0.0,1.2000000000000002,0.0,0.0,1.2000000000000002
AHR (human),0.0,0.0,0.0,0.0,2.4000000000000004,3.6,1.2000000000000002,1.2000000000000002,1.2000000000000002,2.4000000000000004,0.0,0.0
THRB (human),0.0,0.0,0.0,0.0,0.6000000000000001,3.0,3.6,0.6000000000000001,1.2000000000000002,1.2000000000000002,0.6000000000000001,1.2000000000000002
POU2F1 (mouse),3.6,0.0,0.0,1.2000000000000002,0.0,2.4000000000000004,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.0,0.0
