gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
SMAD3 (mouse),0.0,0.0,1.5,1.5,1.5,0.0,4.5,0.0,0.0,0.0,1.5,1.5
HIVEP1 (human),0.0,1.5,0.0,0.0,1.5,0.0,1.5,4.5,1.5,1.5,0.0,0.0
PRDM1 (mouse),1.3333333333333333,1.3333333333333333,0.0,0.0,1.3333333333333333,2.6666666666666665,0.0,0.0,1.3333333333333333,0.0,0.0,4.0
FOXF1 (mouse),2.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0
MIR210 (human),2.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
THRA (human),2.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0
FOXI1 (human),1.3333333333333333,2.6666666666666665,0.0,0.0,1.3333333333333333,1.3333333333333333,4.0,1.3333333333333333,0.0,0.0,0.0,0.0
NKX3-1 (human),0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0
POU3F1 (human),2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0
FOXO3 (human),0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0
Pax6 (human),0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,1.0,1.0,0.0
PURA (human),4.0,1.6,0.4,0.0,1.2000000000000002,0.8,1.6,0.4,1.2000000000000002,0.8,0.0,0.0
SPIB (human),0.42857142857142855,0.8571428571428571,1.2857142857142858,0.42857142857142855,1.2857142857142858,3.8571428571428577,1.7142857142857142,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.8571428571428571
IRF2 (mouse),1.090909090909091,1.090909090909091,0.0,0.0,0.27272727272727276,1.090909090909091,1.9090909090909092,3.8181818181818183,1.6363636363636362,0.0,0.8181818181818181,0.27272727272727276
NKX2-8 (human),0.9230769230769231,0.0,0.9230769230769231,1.8461538461538463,3.6923076923076925,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.0,0.0,0.9230769230769231
MZF1 5-13 (human),2.4000000000000004,0.0,0.0,0.0,1.2000000000000002,3.6,2.4000000000000004,1.2000000000000002,0.0,0.0,1.2000000000000002,0.0
IRF2 (human),0.9795918367346939,0.4897959183673469,0.0,0.0,0.7346938775510204,1.2244897959183674,3.4285714285714284,1.7142857142857142,0.9795918367346939,1.2244897959183674,0.9795918367346939,0.24489795918367346
GTF2I (human),2.5714285714285716,0.0,0.0,0.0,0.0,3.4285714285714284,3.4285714285714284,0.8571428571428571,0.0,0.0,0.8571428571428571,0.8571428571428571
SMAD3 (human),1.7142857142857142,0.0,0.0,3.4285714285714284,0.0,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,0.0,3.4285714285714284
Klf4 (mouse),3.4285714285714284,0.0,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0
NFATC3 (human),1.7142857142857142,0.0,0.0,3.4285714285714284,3.4285714285714284,1.7142857142857142,0.0,0.0,0.0,0.0,1.7142857142857142,0.0
FOXA3 (human),1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,3.4285714285714284,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0
