gene,acrophase_rad,acrophase_hour
Atp1b1,2.596435233757844,9.92
Capg,2.1365766184258224,8.16
Ccdc80,3.734694636943748,14.27
Cebpd,3.27682071043026,12.52
Col14a1,2.1153675174992284,8.08
Frzb,3.3000919957261714,12.61
Hsp90b1,6.134943338361386,23.43
Ifitm3,3.4384739855087503,13.13
Lox,6.203213941573687,23.69
Lxn,3.8247350714578063,14.61
Mdk,1.9133817544506648,7.31
Mgp,4.1045582498973285,15.68
Mt1,2.9951032053344058,11.44
Mt2,2.6452558024960497,10.1
Pdia6,5.597798950324837,21.38
Rarres1,3.994595998584936,15.26
Sncg,3.4587421653953547,13.21
Steap3,3.696304219998005,14.12
Sulf1,4.322961442056124,16.51
Tgfb1,2.61438796660144,9.99
Timp1,4.393371770664406,16.78
Timp3,5.261433953785859,20.1
Tm4sf1,0.228458898473276,0.87
Tmsb10,0.6680685538592854,2.55
Tspan4,3.499655321730387,13.37
