go_term,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
GOBP_ORGANIC_HYDROXY_COMPOUND_BIOSYNTHETIC_PROCESS,6,Acaa2;Fdps;Hmgcs2;Scp2;Per2;Nr1d1,8.0,4,10.382732451514975,4.138802065912534,9.0
GOBP_STEROID_BIOSYNTHETIC_PROCESS,6,Acaa2;Adm;Fdps;Hmgcs2;Scp2;Nr1d1,8.0,4,7.9513416371414305,4.5605668786155285,9.0
GOBP_STEROID_HORMONE_MEDIATED_SIGNALING_PATHWAY,6,Fkbp4;Arntl;Per1;Lbh;Nr1d1;Clock,6.0,11,22.91408691813321,6.048581367396984,23.0
GOBP_BONE_DEVELOPMENT,6,Epyc;Fbn1;Lox;Mmp14;Zbtb16;Col27a1,6.0,1,6.812404428763722,5.956804385799878,3.0
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY,7,Fkbp4;Arntl;Per1;Lbh;Nr1d1;Clock;Nr1d2,5.142857142857143,11,22.788046677462766,8.163558660777927,23.0
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,7,Fkbp4;Arntl;Per1;Lbh;Nr1d1;Clock;Nr1d2,5.142857142857143,11,22.788046677462766,8.163558660777927,23.0
GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION,10,Ciart;Arntl;Npas2;Per1;Bhlhe41;Bhlhe40;Per3;Per2;Nr1d1;Clock,4.800000000000001,5,10.740963162975211,5.396920341705423,11.0
GOBP_CIRCADIAN_RHYTHM,13,Ciart;Dbp;Arntl;Nfil3;Npas2;Per1;Bhlhe41;Bhlhe40;Per3;Per2;Nr1d1;Clock;Nr1d2,4.615384615384616,5,10.642374706740938,5.471349846159116,11.0
GOBP_REGULATION_OF_CIRCADIAN_RHYTHM,8,Arntl;Per1;Bhlhe40;Per3;Per2;Nr1d1;Clock;Nr1d2,4.5,5,11.533541825461752,4.934229380667292,11.0
GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS,6,Aldh3a1;Fmo1;Fmo2;Fmo4;Gsta3;Hspa5,4.0,7,16.11906515979649,2.741882888504679,15.0
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT,6,Epyc;Hmgcs2;Lox;Pkd1;Zbtb16;Col27a1,4.0,5,12.178781349559529,4.726355790926574,11.0
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,6,Lpl;Pdk4;Ptgs2;Scp2;Per2;Nr1d1,4.0,4,10.72776299593575,3.762285122915465,9.0
GOBP_REGULATION_OF_INSULIN_SECRETION,6,Cpt1a;Glul;Arntl;Per2;Nr1d1;Clock,4.0,11,8.980573661706188,6.597467937970732,23.0
GOBP_REGULATION_OF_PROTEIN_SECRETION,6,Cpt1a;Glul;Arntl;Per2;Nr1d1;Clock,4.0,11,8.980573661706188,6.597467937970732,23.0
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT,6,Cpt1a;Glul;Arntl;Per2;Nr1d1;Clock,4.0,11,8.980573661706188,6.597467937970732,23.0
GOBP_AMIDE_TRANSPORT,6,Cpt1a;Glul;Arntl;Per2;Nr1d1;Clock,4.0,11,8.980573661706188,6.597467937970732,23.0
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS,9,Fam107a;Fkbp4;Hmgcs2;Hspa8;Arntl;Per1;Lbh;Nr1d1;Clock,4.0,11,19.17176874284104,8.244612880165302,23.0
GOBP_TEMPERATURE_HOMEOSTASIS,6,Dio2;Arntl;G0s2;Ptgs2;Per2;Nr1d1,4.0,7,14.718792127846918,6.041907327539917,15.0
GOBP_LIPID_OXIDATION,6,Acaa2;Eci2;Cpt1a;Ech1;Pdk4;Scp2,4.0,3,8.994445301293627,1.5536458955168233,7.0
GOBP_INSULIN_SECRETION,6,Cpt1a;Glul;Arntl;Per2;Nr1d1;Clock,4.0,11,8.980573661706188,6.597467937970732,23.0
