go_term,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
GOBP_STEROL_BIOSYNTHETIC_PROCESS,7,Acaa2;Pmvk;Hmgcs1;Idi1;Mvd;Msmo1;Sqle,10.285714285714286,9,18.55518277792606,2.8174088759116205,19.0
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,7,Acaa2;Pmvk;Hmgcs1;Idi1;Mvd;Msmo1;Sphk1,8.571428571428573,9,18.12834012704286,4.571873891479791,19.0
GOBP_SECONDARY_ALCOHOL_METABOLIC_PROCESS,10,Acaa2;Pmvk;Stard3;Hmgcs1;Idi1;Ldlr;Mvd;Msmo1;Sqle;Dgat2,8.4,9,17.561369854979866,4.275055522141501,19.0
GOBP_MULTICELLULAR_ORGANISM_GROWTH,6,Foxs1;Stil;Zfp36l1;Arid5b;Stc2;Pkdcc,8.0,11,22.00130221876904,4.212663478566389,23.0
GOBP_LIPID_MODIFICATION,6,Acaa2;Fabp3;Etfbkmt;Dgat2;Sphk1;Samd1,8.0,5,11.043027236966838,3.2268955347439787,11.0
GOBP_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,6,Spry1;Cdkn2b;Frzb;Nkx6-1;Zfp36l1;Btg1,8.0,11,22.56662311907416,3.5598198114080777,23.0
GOBP_STEROID_BIOSYNTHETIC_PROCESS,9,Acaa2;Pmvk;Stard3;Hmgcs1;Idi1;Mvd;Msmo1;Sqle;Nr1d1,8.0,9,17.379766174537384,4.920372413307133,19.0
GOBP_ISOPRENOID_METABOLIC_PROCESS,6,Pmvk;Cyp1b1;Hmgcs1;Idi1;Mvd;Dgat2,8.0,9,18.89749184138788,3.188415385582,19.0
GOBP_STEROL_METABOLIC_PROCESS,11,Acaa2;Pmvk;Stard3;Cyp1b1;Hmgcs1;Idi1;Ldlr;Mvd;Msmo1;Sqle;Dgat2,7.636363636363637,9,18.13126691014077,4.26740373943914,19.0
GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS,10,Pmvk;Fabp3;Hmgcs1;Htr2a;Idi1;Mvd;Pdgfb;Pip4k2a;Pitpnm2;Pcyt2,7.2,9,18.63051370760496,4.377789362813989,19.0
GOBP_CELL_AGING,7,Cdkn1a;Cdkn2b;Pdcd4;Arntl;Nox4;Pawr;Wnt16,6.857142857142857,0,0.6298902132173172,4.2449441086133275,1.0
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,7,Fam107a;Rasd2;Hspa5;Peli1;Aimp2;Sphk1;Arrdc4,6.857142857142857,5,10.063557191590968,3.647217892086415,11.0
