gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
GOBP_ORGANIC_HYDROXY_COMPOUND_BIOSYNTHETIC_PROCESS,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
GOBP_STEROID_BIOSYNTHETIC_PROCESS,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
GOBP_STEROID_HORMONE_MEDIATED_SIGNALING_PATHWAY,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0
GOBP_BONE_DEVELOPMENT,0.0,6.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY,0.0,0.0,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0,1.7142857142857142,0.0,5.142857142857143
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY,0.0,0.0,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0,1.7142857142857142,0.0,5.142857142857143
GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION,1.2000000000000002,0.0,0.0,0.0,1.2000000000000002,4.800000000000001,1.2000000000000002,1.2000000000000002,0.0,0.0,0.0,2.4000000000000004
GOBP_CIRCADIAN_RHYTHM,0.9230769230769231,0.0,0.0,0.0,1.8461538461538463,4.615384615384616,0.9230769230769231,0.9230769230769231,0.0,0.0,0.0,2.7692307692307696
GOBP_REGULATION_OF_CIRCADIAN_RHYTHM,0.0,0.0,0.0,0.0,1.5,4.5,1.5,1.5,0.0,0.0,0.0,3.0
GOBP_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,2.0,0.0
GOBP_CONNECTIVE_TISSUE_DEVELOPMENT,0.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,0.0,2.0,0.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
GOBP_REGULATION_OF_INSULIN_SECRETION,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0
GOBP_REGULATION_OF_PROTEIN_SECRETION,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0
GOBP_AMIDE_TRANSPORT,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS,0.0,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.0,0.0,2.6666666666666665,0.0,4.0
GOBP_TEMPERATURE_HOMEOSTASIS,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0
GOBP_LIPID_OXIDATION,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
GOBP_INSULIN_SECRETION,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0
GOBP_RESPONSE_TO_CORTICOSTEROID,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
GOBP_CELL_MATRIX_ADHESION,2.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
GOBP_PEPTIDE_TRANSPORT,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
GOBP_PROTEIN_FOLDING,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,4.0,2.0
GOBP_LIPID_MODIFICATION,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
GOBP_RHYTHMIC_PROCESS,0.75,0.0,0.0,0.0,1.5,3.75,2.25,0.75,0.0,0.0,0.75,2.25
GOBP_RESPONSE_TO_STARVATION,1.7142857142857142,1.7142857142857142,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0
GOBP_REGULATION_OF_HORMONE_SECRETION,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.0,3.4285714285714284,0.0,0.0,0.0,3.4285714285714284
GOBP_FAT_CELL_DIFFERENTIATION,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,3.4285714285714284,0.0,0.0,0.0,3.4285714285714284
GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0,3.4285714285714284,1.7142857142857142,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0
GOBP_HORMONE_TRANSPORT,0.0,1.5,0.0,1.5,1.5,1.5,0.0,3.0,0.0,0.0,0.0,3.0
GOBP_CELLULAR_LIPID_CATABOLIC_PROCESS,0.0,1.5,0.0,3.0,3.0,3.0,0.0,0.0,1.5,0.0,0.0,0.0
