gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
GOBP_STEROL_BIOSYNTHETIC_PROCESS,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,10.285714285714286,0.0,0.0
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,0.0,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,0.0,8.571428571428573,0.0,0.0
GOBP_SECONDARY_ALCOHOL_METABOLIC_PROCESS,0.0,0.0,0.0,0.0,1.2000000000000002,2.4000000000000004,0.0,0.0,0.0,8.4,0.0,0.0
GOBP_MULTICELLULAR_ORGANISM_GROWTH,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0
GOBP_LIPID_MODIFICATION,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0
GOBP_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,8.0
GOBP_STEROID_BIOSYNTHETIC_PROCESS,0.0,0.0,0.0,0.0,2.6666666666666665,1.3333333333333333,0.0,0.0,0.0,8.0,0.0,0.0
GOBP_ISOPRENOID_METABOLIC_PROCESS,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,2.0,0.0
GOBP_STEROL_METABOLIC_PROCESS,0.0,0.0,0.0,0.0,1.090909090909091,2.181818181818182,0.0,0.0,0.0,7.636363636363637,1.090909090909091,0.0
GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS,0.0,0.0,0.0,1.2000000000000002,0.0,1.2000000000000002,0.0,1.2000000000000002,0.0,7.2,0.0,1.2000000000000002
GOBP_CELL_AGING,6.857142857142857,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,0.0,0.0,0.0,3.4285714285714284,0.0,6.857142857142857,0.0,0.0,0.0,0.0,0.0,1.7142857142857142
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,1.7142857142857142,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,0.0,6.857142857142857
GOBP_REGULATION_OF_GLIOGENESIS,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0
GOBP_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,6.0,0.0,1.2000000000000002,0.0,1.2000000000000002,2.4000000000000004,0.0,0.0,0.0,0.0,1.2000000000000002,0.0
GOBP_ORGANIC_HYDROXY_COMPOUND_BIOSYNTHETIC_PROCESS,0.8571428571428571,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.7142857142857142,0.0,6.0,0.0,0.0
GOBP_RESPONSE_TO_ALCOHOL,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,6.0,0.0
GOBP_ANION_TRANSMEMBRANE_TRANSPORT,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0
GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING,0.0,0.0,2.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
GOBP_MUSCLE_CELL_MIGRATION,0.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0
GOBP_LIPID_HOMEOSTASIS,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0
GOBP_CELLULAR_KETONE_METABOLIC_PROCESS,0.0,0.0,0.0,0.0,3.0,6.0,1.5,0.0,1.5,0.0,0.0,0.0
GOBP_NEURON_APOPTOTIC_PROCESS,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0
GOBP_REGULATION_OF_HAIR_CYCLE,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION,1.5,3.0,0.0,0.0,0.0,0.0,1.5,0.0,6.0,0.0,0.0,0.0
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION,1.2000000000000002,2.4000000000000004,0.0,1.2000000000000002,0.0,0.0,1.2000000000000002,0.0,6.0,0.0,0.0,0.0
GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS,6.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
GOBP_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,1.8461538461538463,0.0,1.8461538461538463,0.9230769230769231,0.9230769230769231,5.538461538461539
GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION,1.3333333333333333,0.0,0.0,5.333333333333333,1.3333333333333333,2.6666666666666665,0.0,0.0,0.0,1.3333333333333333,0.0,0.0
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,0.0,0.0,0.0,2.6666666666666665,0.0,5.333333333333333,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,1.3333333333333333
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION,0.0,0.0,0.0,3.4285714285714284,0.0,1.7142857142857142,5.142857142857143,0.0,1.7142857142857142,0.0,0.0,0.0
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,1.7142857142857142,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,5.142857142857143
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS,0.0,0.0,0.0,1.7142857142857142,0.0,5.142857142857143,1.7142857142857142,0.0,0.0,0.0,0.0,3.4285714285714284
GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,0.0,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,5.142857142857143,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142
GOBP_FEMALE_SEX_DIFFERENTIATION,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,5.142857142857143,0.0,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142
GOBP_CARDIAC_MUSCLE_CONTRACTION,1.7142857142857142,0.0,1.7142857142857142,0.0,5.142857142857143,1.7142857142857142,0.0,0.0,0.0,0.0,1.7142857142857142,0.0
GOBP_RESPONSE_TO_INSULIN,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.0,0.0,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142
GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,5.142857142857143,0.0,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142
GOBP_NEUROMUSCULAR_PROCESS,0.0,0.0,0.0,0.0,3.4285714285714284,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,5.142857142857143
GOBP_STRESS_FIBER_ASSEMBLY,5.142857142857143,0.0,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0,0.0,1.7142857142857142,0.0
GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,5.000000000000001
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS,2.4000000000000004,0.0,0.0,0.0,1.2000000000000002,4.800000000000001,0.0,0.0,0.0,0.0,1.2000000000000002,2.4000000000000004
GOBP_GLIAL_CELL_DIFFERENTIATION,0.0,0.0,0.0,0.0,1.5,4.5,1.5,0.0,0.0,1.5,0.0,3.0
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,0.0,0.0,0.0,1.5,1.5,1.5,1.5,0.0,0.0,1.5,0.0,4.5
GOBP_REGULATION_OF_B_CELL_ACTIVATION,3.0,1.5,0.0,1.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,1.5
