gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
NF-kappa B signaling pathway,3,Cxcl2;Ptgs2;Ccl19,1.743066,-1.195737,-1.935982,-0.456582,-0.325507,-0.914725,0.270959,0.547329,-0.046111,1.124491,0.367326,-0.255774,1.018757
ECM-receptor interaction,4,Comp;Spp1;Lama4;Thbs1,1.43367,-0.335602,-0.739929,0.154444,-0.132398,-0.535584,0.303613,-0.771916,-1.188836,-0.334149,0.661755,0.12145,1.080719
TNF signaling pathway,6,Edn1;Mmp3;Mmp14;Cxcl2;Ptgs2;Ccl2,1.104945,-0.637689,-1.11887,-0.213919,-0.469826,-0.887597,-0.048926,0.467255,-0.140627,0.86794,0.130939,-0.263654,0.62331
p53 signaling pathway,5,Serpine1;Igfbp3;Ccne2;Cdkn1a;Thbs1,0.959308,0.180125,-0.425697,0.857638,-0.166383,-0.614095,0.447313,-0.190276,-0.677876,0.34061,0.769032,0.288012,1.401573
IL-17 signaling pathway,8,Mmp3;Cxcl2;Cxcl5;Fosb;Ccl11;Ptgs2;Ccl7;Ccl2,0.935675,-0.540852,-0.921069,-0.135811,-0.489116,-0.891452,-0.175496,0.182055,-0.21217,0.620696,0.394823,0.034345,0.791142
Endocytosis,4,Ldlr;Agap2;Pld1;Wipf3,0.890579,0.088932,-0.616828,0.767833,-0.128408,-0.71717,0.467895,-0.28708,-0.855263,0.342497,-0.801646,-1.381614,-0.190846
Focal adhesion,6,Comp;Spp1;Hgf;Pgf;Lama4;Thbs1,0.874248,-0.196697,-0.650127,0.394064,-0.036833,-0.442787,0.271741,-0.718252,-1.10432,-0.299162,0.155996,-0.359202,0.542812
Alcoholism,10,Hist1h4i;Gng11;Hist2h2aa1;Gngt2;Fosb;Camkk2;Hist1h2ae;Hist2h2bb;Hist1h2ap;Hist4h4,0.706112,0.070018,-0.324999,0.496642,-0.033525,-0.333808,0.327505,0.060988,-0.312442,0.485311,0.672587,0.383185,0.974818
Ovarian steroidogenesis,4,Cyp1b1;Ldlr;Pla2g4a;Ptgs2,0.685915,-0.659537,-1.150135,-0.093603,-0.584316,-1.009465,-0.052308,-0.160643,-0.573741,0.256435,0.026378,-0.319862,0.368883
Chemokine signaling pathway,11,Prex1;Gng11;Gngt2;Ccl11;Ccl19;Elmo1;Cxcl2;Cxcl5;Pik3r6;Ccl7;Ccl2,0.438491,0.00785,-0.420823,0.426654,-0.012584,-0.392617,0.273814,0.075316,-0.276891,0.497459,0.425907,0.1367,0.686103
Complement and coagulation cascades,7,Serpine1;C4b;Plaur;F13a1;Plat;C7;Cd55,0.413015,-0.152021,-0.546571,0.285677,-0.531765,-0.922123,-0.189877,-0.185274,-0.546004,0.21137,-0.11875,-0.562566,0.282346
