gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
ABC transporters,4,Abca8a;Abcc1;Abcb6;Abcb1b,0.510081,-0.559858,-0.961943,-0.208888,-0.049777,-0.528662,0.421666,-0.163126,-0.582773,0.141874,-0.084061,-0.426962,0.205783
Antigen processing and presentation,8,Cd74;Hsp90aa1;Hspa5;Hspa1l;Hspa8;Hspa1a;Hspa1b;Ifi30,0.435076,-0.226843,-0.466691,0.009439,-0.462779,-0.699505,-0.269989,-0.526669,-0.773689,-0.184675,-0.091593,-0.262943,0.107784
Aldosterone synthesis and secretion,13,Atp1b1;Adcy5;Adcy7;Creb3l1;Ldlr;Nr4a2;Cacna1d;Nr4a1;Agtr1a;Kcnk3;Camk1d;Plcb1;Camk2b,0.376806,-0.090757,-0.283301,0.130385,-0.250192,-0.439085,-0.082147,0.126614,-0.053953,0.291754,-0.127616,-0.37017,0.093655
Spliceosome,8,Hspa1l;Hnrnpm;Hspa1a;Hspa1b;Hspa8;Rbm8a;Bcas2;Hnrnpa1,0.376669,-0.141421,-0.33042,0.070012,-0.379252,-0.555239,-0.176198,-0.4536,-0.668579,-0.191583,-0.07693,-0.275251,0.083183
Cortisol synthesis and secretion,10,Agtr1a;Kcnk3;Adcy5;Adcy7;Creb3l1;Ldlr;Nceh1;Plcb1;Cacna1d;Nr4a1,0.363752,-0.193209,-0.426952,0.101224,-0.322999,-0.566892,-0.138322,0.040753,-0.203785,0.246638,-0.192937,-0.457752,0.064008
Endocytosis,13,Hspa1l;Hspa1a;Hspa1b;Ehd4;Ap2a1;Asap2;Ldlr;Fgfr2;Sh3kbp1;Hspa8;Pld1;Agap1;Grk5,0.359251,-0.134793,-0.285551,0.012063,-0.445495,-0.640211,-0.259352,-0.201386,-0.394747,0.011855,-0.086244,-0.288059,0.069359
IL-17 signaling pathway,10,Jun;Hsp90aa1;Mmp3;Nfkbia;Mapk12;Hsp90b1;Fos;Fosb;Cebpb;Ptgs2,0.350498,-0.309858,-0.546352,-0.14463,-0.106689,-0.330153,0.062764,-0.049824,-0.225618,0.118887,0.04064,-0.140782,0.192286
Hedgehog signaling pathway,5,Hhip;Ihh;Gli1;Ccnd1;Kif3a,0.342265,-0.125878,-0.567326,0.335697,-0.341266,-0.67644,0.051459,-0.468143,-0.843223,-0.057274,-0.230476,-0.550741,0.132111
Complement and coagulation cascades,9,Serpine1;C4b;Vwf;Plaur;F3;Plau;C2;C3;Cd59b,0.337868,-0.357274,-0.71879,-0.039682,-0.042081,-0.327771,0.193416,-0.245847,-0.535528,0.071166,-0.019406,-0.309357,0.274168
Phagosome,12,Dync2h1;Comp;C3;Cd14;Tlr2;Dync1i2;Tubb4a;Colec11;Itgb3;Thbs1;Tuba1a;Tuba1c,0.263497,-0.221483,-0.470181,0.004642,-0.124789,-0.283961,0.083694,-0.380287,-0.610765,-0.107616,-0.11679,-0.2704,0.046492
C-type lectin receptor signaling pathway,9,Mapk12;Egr2;Prkcd;Plk3;Jun;Nfkbia;Pik3r3;Ptgs2;Malt1,0.255022,-0.148323,-0.35563,0.046797,-0.27762,-0.537167,-0.100966,-0.081625,-0.282299,0.105047,-0.022597,-0.251955,0.244977
Serotonergic synapse,9,Adcy5;Gng2;Cacna1d;Gng10;Dusp1;Htr1b;Htr2a;Plcb1;Ptgs2,0.235714,-0.017014,-0.249496,0.190156,-0.252728,-0.439157,-0.043181,-0.128758,-0.323072,0.100871,-0.128847,-0.338819,0.059866
