gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
HNF1B (human),4,Lix1;Hmcn1;Spp1;Lypd1,1.21796,-0.162121,-1.009198,0.667696,0.475609,0.030331,0.976273,0.122527,-0.41962,0.792035,1.055839,0.250968,1.794362
SOX10 (mouse),12,Fxyd4;Pygl;Tmem52;Slc25a47;Insig1;Mbp;Lingo1;Cpne7;Hist1h2ae;Arhgap22;Scin;Hist1h2ap,0.660764,0.153036,-0.298599,0.604949,0.186793,-0.192193,0.538665,0.019575,-0.334668,0.467596,0.680339,0.280296,1.033789
SPIB (human),10,Il20rb;Pax1;Smtnl2;Zbtb16;Osgin1;Daglb;Dbf4;Cd200;Prdm8;Comp,0.643815,-0.524193,-0.95081,-0.138502,-0.004996,-0.374787,0.349334,-0.093728,-0.449479,0.246749,0.119621,-0.193326,0.47941
Sox17 (mouse),9,Vim;Cenpm;Ccl19;Mbp;Gria4;Slc4a10;Pdk4;Enpp5;Aox3,0.574727,-0.092436,-0.520117,0.34263,0.276093,-0.045841,0.612663,0.228124,-0.081802,0.562628,0.482291,0.033235,0.929468
REL (human),11,Cadm1;Arntl;Nr1d1;Prg4;Ifit1;Cyb561;S100a4;Add2;Ogfrl1;Adamts4;Ccl7,0.510794,-0.072191,-0.523295,0.273842,-0.37451,-0.62315,-0.083063,-0.169997,-0.496095,0.187558,0.136284,-0.176117,0.488817
PURA (human),16,Lrrc27;G0s2;Rspo3;Slc25a47;Esrrg;Slc9a3r1;Cmbl;Slc10a6;Gdpd3;Enpp6;Csf2ra;Dbi;Pik3r6;Lasp1;Dapk1;Lama4,0.365464,0.07108,-0.308265,0.414435,0.282393,0.047918,0.529295,-0.078332,-0.380758,0.226631,-0.083072,-0.369644,0.190044
MAPK14 (human),33,Mrvi1;Rapgef5;Lrrc3;Tcp11l2;Osgin1;Ccl2;Ttc39b;St5;Tmem86a;Hhip;Per2;Ccnb1ip1;Sytl5;Enpep;Tspyl5;Hspa4l;Prdx6;Cyb561;Ahsg;G0s2;Pygl;Bcl6;Limch1;Slc46a3;Sp100;Vgll3;Stc1;Npy1r;Ephx1;Arhgap18;Scin;Mlana;Rbm3,0.320427,0.051519,-0.17319,0.291392,0.196289,0.024641,0.415377,0.020885,-0.216332,0.194452,-0.124137,-0.311851,0.103308
POU1F1 (human),35,Lum;Fabp4;Spp1;Fam13a;Mbp;Pla2g4a;Snx8;Mid1;Ccnb1ip1;Nav3;Sytl2;Rad51ap2;Fmo2;Dio2;Epyc;Esrrg;Calcrl;Rfc3;Slc4a10;Tnmd;Aspa;Sema3e;Arrdc3;Ptgfr;Gng11;Cldn10;Fibin;Scg3;Postn;Diaph3;Lpl;Nfkbiz;Plaur;Palld;Aldh1a2,0.306591,0.070034,-0.135241,0.267877,0.276185,0.119373,0.458917,-0.030405,-0.228027,0.140461,0.252193,0.091739,0.410271
FOS (mouse),45,Larp6;Mthfd2;Aif1l;Gstm7;Adamts14;Slc36a2;Cirbp;St5;Coq10b;Sqle;Slco2b1;Angpt2;Pi15;Svil;Sorbs1;Gdpd3;Lmo2;Fam167a;Thbs1;Sncg;Sirt5;Fabp4;Rnaseh2b;Sh3bp2;Slc38a1;Lepr;Ccl7;Pcsk6;Utp14b;A4galt;Mmp3;Mt2;Cpxm1;Vim;Mthfs;Cacnb4;Fam107a;Npy1r;Nr4a3;Abcc4;Hspa5;Agap2;Cxcl5;Aox3;Nt5dc2,0.302428,-0.064716,-0.264858,0.104804,-0.079814,-0.272635,0.081934,-0.304123,-0.440693,-0.137998,-0.001695,-0.142078,0.149111
MZF1 1-4 (human),66,Larp6;Aif1l;Mmp15;Mbd1;Cdc25b;Kcnd3;Trim67;Adamts14;Egr3;Il34;Tcap;Enpp6;Rarres1;Ccnb1ip1;Dapk1;Gfod2;Ptx3;Gja4;G0s2;Dhrs9;Tmem229b;Angptl1;Adamtsl2;Fkbp5;Ldlr;Bcl6;Adamts4;Aqp1;Mthfd1l;Edn1;Pdpn;Lox;Slc40a1;Clock;Hlf;Lum;Klf11;Psmb8;Sh3bp2;Slc25a47;Fam13a;Ephb2;Plekha6;Fndc5;Mia;Gngt2;Cd55;Cntfr;Anxa3;Adm;Gpr146;Alms1;Esrrg;Fam107a;Gpx3;Inmt;Itpr3;Limch1;Nmb;Tsc22d3;Aldh3a1;Csf2ra;Aldh3b1;Agap2;Hebp2;Palld,0.26557,0.098444,-0.05497,0.267175,-0.039285,-0.181074,0.109842,-0.167126,-0.313388,-0.038982,-0.056371,-0.213136,0.100698
