gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
SMAD3 (human),8,Tgfb3;Spen;Foxf1;Serpine1;Eln;Npas4;Pip4k2a;Ankrd1,0.442425,-0.260489,-0.449656,-0.059277,-0.544532,-0.826931,-0.293857,-0.102106,-0.369178,0.155757,-0.171389,-0.370437,-0.000854
Nkx2-5 (mouse),25,Asb4;Prex2;Hsph1;Fgfbp3;Foxp1;Ly6e;Stox2;Sema6a;Hsp90aa1;Ip6k2;Apcdd1;Ntn4;Akr1c14;Net1;Hhip;Lgals9;Apobec2;Ptprd;Ctsk;Cd34;Cacybp;Filip1l;Gabrq;Sh3kbp1;Negr1,0.248845,-0.047683,-0.220939,0.136682,-0.12019,-0.240414,-0.005192,-0.224042,-0.38178,-0.054111,0.024803,-0.092658,0.161957
E2F4 (human),16,Pdxk;Dpysl2;Vps13a;Nmt1;Mybpc2;Sphk1;Tesc;Gprasp1;Cgnl1;Tle1;Enkur;Slx1b;Myocd;Mcm6;Rbm44;Dip2c,0.240845,-0.180823,-0.348331,-0.02139,-0.267145,-0.45948,-0.044934,-0.0263,-0.203125,0.152748,-0.040819,-0.210076,0.130474
Sox5 (mouse),33,Rbp4;Cntfr;Prex2;Pip4k2a;Gbp5;Ehd4;Prr13;Pawr;Peli1;Rspo3;Snrpn;Csf1;Sema6a;Ppef1;Pgr;Hsp90aa1;Pmvk;Plekhg3;Mylk4;Cd59b;Rhebl1;Rin3;Kdelr2;Apcdd1;Tmem50b;Capsl;Cd74;Klhl29;Pde7a;Rai14;Hba-a1;Hba-a2;Camk1d,0.207142,-0.014757,-0.141486,0.110487,0.070861,-0.071259,0.194881,-0.060656,-0.18683,0.049852,-0.136281,-0.236385,-0.045737
MZF1 5-13 (human),13,Hspe1;Parl;Lats2;Smtn;Rcor2;Mybpc2;Gnl1;Cited2;Cdc25b;Odc1;Tnr;Ppp1r14c;Thbs1,0.193412,-0.122145,-0.330314,0.098885,-0.114421,-0.314501,0.10379,-0.128533,-0.346887,0.076519,-0.307833,-0.496686,-0.149632
SMAD4 (mouse),131,Mthfd2;Prkaa2;Scx;Vps13a;Pdgfc;Jun;Kcnb1;Sphk1;Mbd2;Nudt10;Map3k1;Pdcd4;Map3k5;Fbxo30;Ahsa2;Syt12;Hnrnpa0;Zhx3;Arhgef3;Nfil3;Ttc7;Cachd1;Otud1;Crtc3;Auts2;Pkdcc;Cacna1d;Setbp1;Trib1;Dip2c;Homer2;Rev1;Adcy5;Rnf7;Zmiz1;Plk2;Gnl1;Prdm16;Tead1;Cdkn2c;Col23a1;Rarg;Phf2;Tle1;Nfix;Frmd4a;Ipo5;Dnajc1;Dnajb4;Col27a1;Cebpb;Cbfa2t3;Twist2;Ifit3;Gse1;Zcchc24;Sorbs1;Spcs3;Ppp2cb;Wnt5b;Cdk2ap1;Scube3;Axin2;Lonrf1;Hspe1;Lin9;Ppp4r1;Prex1;Hes1;Zbtb7a;Zfp292;Kcnma1;Upf1;Pth1r;Foxs1;Leo1;Kpna1;Stk24;Osbp;Pim3;Hsp90aa1;Lrrk1;Foxk2;Mboat1;Bend4;Ereg;Kdelr2;Lrp3;Enah;Errfi1;Cd81;Inhbb;Gpcpd1;Mast4;Wnt4;Cdk14;Asb2;Cntfr;Hspa4l;Tmem200b;Brd1;Rybp;Gpr146;Rspo3;Dgkd;Vtcn1;Itpripl2;Irs2;Ankrd12;Klf4;Stac;Nuak1;Stag1;Banp;Tsc22d1;Rpusd4;Podn;Map4k4;Ryk;Pde7a;Zfp36l2;Smad7;Nr4a2;Usp42;Dock5;Sel1l3;Meis2;Agap1;Camk1d;Spen;Negr1,0.192047,-0.015435,-0.082217,0.036563,-0.207482,-0.267365,-0.150715,-0.030016,-0.089904,0.027389,-0.085289,-0.142604,-0.034515
PPARA (human),13,Rara;Ada;Timp1;Psmb8;Pf4;Comp;Pfkfb3;Hmgcs2;Mast4;Gal3st3;Palld;Asph;Ldb3,0.190349,-0.196011,-0.411708,0.043649,-0.066897,-0.295683,0.142502,-0.123384,-0.315431,0.059548,-0.257245,-0.457825,-0.066136
CREM (human),38,Rev1;Mthfd2;Slc6a6;Jun;Dusp1;Btg1;Tead1;Fosb;Lyst;Slc8a3;Nampt;Gk;Odc1;Ipo5;Nfe2l2;Pmvk;Ccdc85b;Apcdd1;Chac1;Myl12a;Rgl1;Tfap4;Slc35f5;Sec14l1;Zfr;Cacybp;Hip1;Tgfb3;Rasd2;Nr4a3;Nr4a1;Rgs2;Tiparp;Cbx4;Nav2;Ddx17;Lnx1;Dip2c,0.173462,-0.043289,-0.179779,0.072941,-0.174567,-0.26999,-0.044382,-0.001105,-0.080812,0.107788,-0.062851,-0.14459,0.035014
SPIB (human),36,Rbp4;Asb4;St3gal5;Gnl1;Kcnc4;Pth1r;Tmem140;Ckb;Plcl1;Zbtb16;Kank4;Csf1;Tceal1;Ablim1;Frzb;Igfbp2;C1qtnf2;Osgin1;Dlx5;Dusp18;Adamts15;Klf4;Egr2;Fam78b;Arhgef3;Acvrl1;Kif1a;Thsd7a;Pde6h;Slc1a4;Comp;Smad7;Rbm24;Abcb6;Tnfaip6;Dcn,0.173408,0.034084,-0.086096,0.163784,-0.105561,-0.213725,-0.01421,-0.139324,-0.266184,-0.030047,-0.07291,-0.195618,0.031835
AHR (mouse),18,Serpine1;Cyp1b1;Mthfr;Ecsit;Ptgs2;Ccl19;Npas4;Pitpnm2;Itga1;Synpo2l;Nfe2l2;Glul;Dynlt1b;Creg2;Zfp36l1;Ddit4;Pkd1;Chchd2,0.168221,-0.207059,-0.416162,-0.044118,-0.162404,-0.332827,0.02671,-0.058994,-0.233537,0.059218,-0.038838,-0.174945,0.078157
