gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,3,Gdf6;Tbx20;Thbs1,2.228258,0.96365,0.174796,1.762116,-0.526615,-1.202741,0.1087,-1.264608,-1.95683,-0.560649,0.266041,-0.336271,0.831381
GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,3,Spon2;Nr4a3;Cd74,1.72894,-0.9566,-1.676649,-0.23248,0.088531,-0.389503,0.609291,0.542756,-0.134102,1.162613,0.77234,0.140377,1.459026
GOBP_CARDIAC_VENTRICLE_MORPHOGENESIS,3,Foxf1;Tbx20;Tnnt2,1.6603,0.708925,-8.5e-05,1.536494,-0.129181,-0.812842,0.482377,-0.951375,-1.68115,-0.414993,-0.030947,-0.625488,0.443484
GOBP_CARDIAC_VENTRICLE_DEVELOPMENT,3,Foxf1;Tbx20;Tnnt2,1.6603,0.708925,-8.5e-05,1.536494,-0.129181,-0.812842,0.482377,-0.951375,-1.68115,-0.414993,-0.030947,-0.625488,0.443484
GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,3,Hgf;Myoc;Tek,1.634218,0.113724,-0.879467,1.040513,0.437976,-0.224462,1.038233,-1.196242,-1.888436,-0.480873,0.364396,-0.398893,1.12925
GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION,4,Spon2;Bcl6;Nr4a3;Cd74,1.492834,-0.864456,-1.465946,-0.293628,0.126094,-0.307638,0.593195,0.399509,-0.157443,0.936754,0.628378,0.111502,1.2072
GOBP_REGULATION_OF_FATTY_ACID_TRANSPORT,3,Edn1;Pla2g4a;Thbs1,1.460234,-0.110163,-0.793428,0.647695,0.060206,-0.483795,0.640015,-0.776794,-1.383571,-0.203581,0.68344,0.137474,1.146602
GOBP_POSITIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,3,Hspb1;Ptgs2;Thbs1,1.389007,-0.412196,-1.048973,0.242861,-0.467087,-1.018792,0.136676,-0.846807,-1.24831,-0.208121,0.5422,0.038771,1.052401
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING,5,Edn1;Serpine1;Plat;Spp1;Thbs1,1.376123,0.163489,-0.39672,0.812168,0.035214,-0.258478,0.373551,-0.648749,-1.054082,-0.203746,0.727374,0.28573,1.191458
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS,3,Fgf1;Hspb1;Thbs1,1.373104,-0.225488,-0.944408,0.41414,0.104905,-0.348422,0.565,-0.705775,-1.24505,0.012068,0.66733,0.164472,1.122961
