gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
GOBP_RESPONSE_TO_NITRIC_OXIDE,3,Dpep1;Mmp3;Ccl19,2.02133,-1.953889,-2.48905,-1.308467,0.067441,-0.519517,0.570852,-0.517097,-0.917059,-0.092386,-0.256576,-0.756467,0.187412
GOBP_CELLULAR_RESPONSE_TO_REACTIVE_NITROGEN_SPECIES,3,Dpep1;Map3k5;Mmp3,1.587185,-1.745407,-2.1769,-1.214525,-0.158222,-0.683538,0.326353,-0.453627,-0.871199,-0.052272,-0.281275,-0.646057,0.112612
GOBP_RESPONSE_TO_UV_A,3,Mmp3;Ccnd1;Timp1,1.421348,-0.858144,-1.434978,-0.275611,0.563205,0.049348,1.008465,-0.076538,-0.615003,0.500922,-0.262443,-0.698444,0.106529
GOBP_RESPONSE_TO_CORTICOTROPIN_RELEASING_HORMONE,3,Nr4a1;Nr4a2;Nr4a3,1.243214,-0.667105,-1.050287,-0.116275,-0.621504,-1.04708,-0.110917,0.306967,0.017216,0.631454,0.576109,0.112303,0.947183
GOBP_CHONDROITIN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS,3,Dcn;Ext1;Cytl1,1.126391,0.261057,-0.184429,0.694089,-0.102197,-0.446419,0.222481,-0.865334,-1.229919,-0.557941,0.256958,-0.056498,0.505599
GOBP_NEGATIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,3,Cryab;Hk2;Mmp3,1.070771,-0.899857,-1.280566,-0.497947,0.041776,-0.333254,0.426188,0.01842,-0.389702,0.356297,0.170913,-0.165658,0.543231
GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS,6,Ext1;Igf1;Cytl1;Tcf7l2;Gal3st3;Ndst3,1.016648,0.540779,0.265282,0.793537,-0.061483,-0.336878,0.240839,-0.475869,-0.743419,-0.147073,0.151168,-0.058734,0.327445
GOBP_POSITIVE_REGULATION_OF_BEHAVIOR,3,Npas2;Penk;Nr4a3,0.990229,-0.786969,-1.429241,-0.228486,-0.788944,-1.160306,-0.418839,-0.082953,-0.573436,0.367774,0.201285,-0.352389,0.771559
GOBP_FOREBRAIN_CELL_MIGRATION,3,Drd1;Zmiz1;Tnr,0.919915,-0.223251,-0.889374,0.40861,-0.526604,-1.067172,0.065542,-0.460873,-0.968667,0.086571,-1.143165,-1.605053,-0.530217
GOBP_LIPID_TRANSLOCATION,3,Ano4;Abcc1;Prkcd,0.918922,0.959763,0.408287,1.407673,0.685646,0.339335,1.041709,0.040841,-0.400479,0.477391,0.586464,0.232138,0.95489
GOBP_REGULATION_OF_MEMBRANE_LIPID_DISTRIBUTION,3,Ano4;Abcc1;Prkcd,0.918922,0.959763,0.408287,1.407673,0.685646,0.339335,1.041709,0.040841,-0.400479,0.477391,0.586464,0.232138,0.95489
GOBP_COLLAGEN_CATABOLIC_PROCESS,4,Ctsk;Mmp3;Mmp14;Adamts3,0.875687,-0.672654,-1.125695,-0.209781,0.203033,-0.212826,0.539694,0.045045,-0.36344,0.492353,0.15201,-0.232489,0.565313
GOBP_MICROTUBULE_NUCLEATION,3,Tpx2;Hspa1a;Hspa1b,0.805821,-0.244271,-0.664586,0.154599,-0.860671,-1.377948,-0.394699,-0.683584,-1.128087,-0.179541,-0.05485,-0.383024,0.233831
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE_SLEEP,4,Adora1;Adrb1;Kcna2;Per3,0.7727,-0.106229,-0.638825,0.367595,0.17002,-0.279341,0.61196,-0.09029,-0.54948,0.353047,-0.60268,-1.036453,-0.133848
GOBP_CELLULAR_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS,3,Dpep1;Chac1;Ggact,0.75516,-1.031602,-1.561933,-0.411084,-0.276442,-0.87526,0.328211,-0.640914,-1.125644,-0.130344,-0.63884,-1.106314,-0.200312
GOBP_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_SIGNALING_PATHWAY,3,Hspa1a;Hspa1b;Nfkbia,0.753982,-0.214304,-0.575449,0.175445,-0.602958,-0.935495,-0.161413,-0.78816,-1.265071,-0.283455,-0.034178,-0.321726,0.31188
GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY,3,Hspa1a;Hspa1b;Nfkbia,0.753982,-0.214304,-0.575449,0.175445,-0.602958,-0.935495,-0.161413,-0.78816,-1.265071,-0.283455,-0.034178,-0.321726,0.31188
GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION,3,Csf1;Lpl;Pf4,0.738976,-0.318719,-0.854617,0.324396,0.179401,-0.436914,0.702603,-0.471341,-0.972938,-0.123199,-0.559575,-0.91235,-0.186007
