gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,4,Colec11;C3;C2;C4b,0.963833,-0.733567,-1.197246,-0.132189,-0.054038,-0.503976,0.363522,-0.879991,-1.466239,-0.25448,0.083842,-0.425891,0.48648
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,4,Timp1;Ctsk;Mmp3;Mmp14,0.799381,-0.512168,-0.852373,-0.184498,0.287213,-0.116546,0.585531,-0.025241,-0.429672,0.37856,-0.105197,-0.491925,0.22247
REACTOME_COMPLEMENT_CASCADE,5,Cd81;Colec11;C3;C2;C4b,0.755749,-0.573257,-0.977071,-0.126799,-0.005398,-0.349778,0.317583,-0.703069,-1.19771,-0.186837,0.052681,-0.335043,0.389947
REACTOME_SIGNALING_BY_BMP,4,Smad7;Smad6;Acvrl1;Grem2,0.611462,0.455828,0.141569,0.764573,0.16658,-0.143318,0.491075,-0.155633,-0.433397,0.23228,-0.099487,-0.446665,0.238656
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY,4,Smad7;Serpine1;Ubc;Uba52,0.540076,-0.074358,-0.344904,0.193514,-0.556209,-0.825913,-0.231521,-0.016133,-0.237498,0.256782,-0.065452,-0.315457,0.181176
REACTOME_INTERFERON_GAMMA_SIGNALING,8,Camk2b;Mid1;Gbp3;Gbp5;Vcam1;Prkcd;Irf7;Ifi30,0.527774,0.096857,-0.222855,0.412002,0.297224,0.048793,0.568457,0.027683,-0.246631,0.2586,-0.23055,-0.482995,0.04385
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,4,Smad7;Mtmr4;Ubc;Uba52,0.525622,0.015385,-0.295996,0.294821,-0.510238,-0.835885,-0.088451,-0.013808,-0.196774,0.228498,-0.12427,-0.400418,0.146888
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,4,Smad7;Mtmr4;Ubc;Uba52,0.525622,0.015385,-0.295996,0.294821,-0.510238,-0.835885,-0.088451,-0.013808,-0.196774,0.228498,-0.12427,-0.400418,0.146888
REACTOME_RET_SIGNALING,3,Pik3r3;Nrtn;Irs2,0.516386,-0.495249,-0.822646,-0.148474,-0.322185,-0.735577,0.113416,0.021136,-0.26435,0.299837,-0.255396,-0.576345,0.135796
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING,4,Hsp90aa1;Ereg;Ubc;Uba52,0.477384,-0.189176,-0.424843,0.091844,-0.531116,-0.871233,-0.13385,-0.053733,-0.375793,0.289326,-0.077326,-0.331708,0.219011
