gene,acrophase_aligned_h,acrophase_misaligned_h
Aldh3a1,15.866259170758525,21.753137945671757
Angptl7,16.579166401305848,20.370769186537977
Arhgap20,0.6040497170690007,2.44163583019634
Arntl,0.3459665113656361,3.8742275652689333
Arrdc4,9.480653808509118,5.267480413818077
Bhlhe40,10.841756907040123,13.418970939747098
Ccn2,16.83623161535304,17.09789989694721
Cebpd,12.948448204353602,15.162389187039352
Ciart,10.987810132346995,13.033470593294924
Cirbp,10.31865945756867,5.482034776166127
Col5a3,3.6768951864903032,7.743286499771839
Cpt1a,7.37426632040328,4.546265268489749
Cys1,16.182896143110856,18.867996187618957
Dbp,9.900432893230127,13.081919434421483
Dio2,22.70927810032468,2.2291421214465785
Dtx4,23.413579249713187,5.30947602125153
Ech1,6.611727085182292,4.8566117357343614
Eln,1.3750677042786632,6.667735717580807
Fam13a,14.811327742905252,14.258628536615394
Fbn1,4.149348983866132,6.947366145466825
Fibin,17.658275186828217,19.20812156634107
Fmo1,15.723006683980156,18.06151716281745
Fmo2,16.71257334315604,18.83852610288785
Fmo3,15.648852910468149,17.830305358122942
Foxs1,22.723931792524347,1.451094233818735
Fst,22.168610593596075,1.772701288523721
G0s2,13.416452083300905,16.468028059570997
G530011O06Rik,16.28006535696195,23.903116650351585
Gsta3,15.885574002824471,20.15909377791234
Hlf,12.248452914684009,15.767085331536679
Hspb7,11.67889454621665,10.888744566609546
Igfbp3,11.224058265026637,10.867732007539853
Klhl13,1.2181532226555922,4.773087192875899
Lcn8,1.4223400908249342,5.525824950357483
Lox,2.127736966430387,8.371964682684457
Lpl,3.9807417600889314,7.738082605195483
Mbd1,12.822135466449833,16.546042583615055
Mettl7a1,15.508519619353155,18.721019340772628
Mmp14,2.101430263354851,5.6359682803164795
Mmp3,0.6625430918154321,2.455212128380108
Npas2,1.652419053604911,4.343986158562562
Nr1d1,8.886891338295198,10.361117998039072
Nr1d2,11.398726107480824,14.282179639590211
Pde8a,6.32702198103771,7.304696955796597
Per1,11.345025145758564,13.24790860698716
Per2,14.962184440895507,17.531296606023197
Per3,12.489946941083325,15.744625844514974
Plscr2,9.20152771797834,15.412376035060689
Prg4,6.365601038264646,6.769770473624156
Ptgs2,13.395583220336867,10.29523991509384
Rab6b,17.171278249990817,19.00757628657555
Rgcc,11.86907363948853,15.426747064191296
S100a4,7.679581676258504,8.294438670933879
Sash1,1.0725971558435412,4.379682976147322
Selenbp1,12.164314637072518,17.583621540320138
Smpdl3b,16.719213863066376,18.6226371099411
Tcap,9.954207770043345,11.202957815372315
Tef,12.25870803840748,15.0202168782566
Tns2,9.806635353507845,12.412397533036462
Tsc22d3,13.385081457282922,16.611684223521618
Tspan4,14.040998983207412,17.769653974386785
Zbtb16,12.036307953265577,14.146162351025513
