gene,acrophase_aligned_h,acrophase_misaligned_h
Adgra3,20.747677416463773,23.640514241019574
Atp1b1,7.252622553039817,6.940308522187137
Atp2b2,12.52917546406923,15.825178128331128
Bace2,1.9292023985776967,10.569511080707482
Cemip2,10.997152156859404,12.216109695987438
Dbp,9.045711324356951,12.217687604906324
Edn1,19.943671955343863,1.3018560245873814
Fmo2,14.447085419580436,17.699208220812004
Fosb,13.744533553687475,19.93827884600266
Mt1,8.888230668553454,13.421073937648863
Nr1d1,8.260719333848064,9.494394382102751
Nr1d2,8.54933608656387,11.622605645317929
Oard1,6.582368791439196,7.479206111491415
Pdcd4,7.5052157780029205,11.231003367339039
Per1,9.56624730125342,12.18236582118211
Rbm3,5.840696014455196,11.021467226710367
Scx,22.4447301435982,0.30247190682451086
Sult1a1,11.548083026975831,14.635865190518158
Tagln,21.210628964197923,3.955672433733879
Thbs1,20.743057244748023,1.791041239279676
Tspan4,10.17362604917917,13.160026577495586
Twist1,22.179896002686576,2.44929889825704
