gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
ECM-receptor interaction,3,Comp;Spp1;Thbs1,1.915222,0.226229,-0.453923,0.8799,1.053898,0.316132,1.787014,-0.861324,-1.323838,-0.306061,0.09532,-0.600383,0.845916
Phagosome,3,Comp;Tlr4;Thbs1,1.545087,0.298229,-0.41024,0.917977,0.808859,0.225553,1.373868,-0.736229,-1.269741,-0.243445,-0.298485,-0.966387,0.366011
Arachidonic acid metabolism,3,Pla2g2e;Cyp2b10;Cyp2e1,1.49448,0.870665,0.101053,1.682895,-0.358608,-1.09125,0.484203,1.135872,0.367772,1.844816,0.714138,-0.111647,1.537311
Cholesterol metabolism,3,Apoc1;Angptl4;Lpl,1.449892,0.544478,-0.065631,1.189316,0.259158,-0.312407,0.976137,1.292661,0.546246,2.000152,-0.157231,-0.793394,0.674796
Ether lipid metabolism,4,Pla2g2e;Pld1;Enpp2;Enpp6,1.332117,0.960833,0.407268,1.583693,-0.371284,-1.073508,0.239394,0.224696,-0.327484,0.740618,-0.073606,-0.806493,0.563771
Steroid hormone biosynthesis,4,Hsd11b2;Cyp2b10;Cyp1b1;Cyp2e1,1.221865,0.93978,0.37035,1.521459,-0.282085,-0.808982,0.33275,0.571273,-0.061699,1.253225,0.574409,-0.162062,1.267229
Focal adhesion,5,Comp;Spp1;Pgf;Pik3r3;Thbs1,1.163078,0.301081,-0.313913,0.862333,0.699426,0.195956,1.219619,-0.463652,-0.82349,-0.069299,-0.190277,-0.719001,0.533939
Cardiac muscle contraction,5,Atp1b1;Cox4i2;Cox6b2;Cacnb4;Tnnt2,0.949333,0.705646,0.175155,1.182759,0.203637,-0.283008,0.718274,-0.243687,-0.633894,0.278704,-0.065152,-0.461895,0.528053
TNF signaling pathway,7,Creb3l1;Mmp3;Il6;Mmp14;Pik3r3;Cxcl2;Ccl2,0.927009,-0.731233,-1.08732,-0.291518,0.195775,-0.154421,0.548793,0.052901,-0.476348,0.508262,-0.056998,-0.484264,0.439751
NF-kappa B signaling pathway,3,Cxcl12;Tlr4;Cxcl2,0.655221,-0.648305,-1.189442,-0.148796,0.006916,-0.532642,0.609987,-0.365708,-1.015957,0.349113,-0.164176,-0.725576,0.432101
Metabolism of xenobiotics by cytochrome P450,8,Gsta4;Gsta3;Gstm7;Cyp1b1;Aldh3a1;Cyp2e1;Adh1;Aldh3b1,0.636764,0.567738,0.163632,1.019163,-0.069026,-0.494124,0.263882,0.040895,-0.39778,0.542142,0.141264,-0.229624,0.629791
Drug metabolism,13,Gsta4;Gsta3;Hprt;Aldh3a1;Adh1;Aldh3b1;Nme3;Gstm7;Fmo1;Fmo2;Fmo3;Fmo4;Cyp2e1,0.623549,0.548146,0.234745,0.880156,-0.010393,-0.333035,0.369129,-0.075403,-0.406601,0.342452,0.14156,-0.161083,0.47744
