gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,3,Idi1;Sqle;Fdps,1.814342,-1.514767,-2.119504,-0.783133,0.269342,-0.323656,0.872943,0.168064,-0.652604,0.96001,0.299575,-0.19491,0.806728
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,3,Idi1;Sqle;Fdps,1.814342,-1.514767,-2.119504,-0.783133,0.269342,-0.323656,0.872943,0.168064,-0.652604,0.96001,0.299575,-0.19491,0.806728
REACTOME_CHOLESTEROL_BIOSYNTHESIS,4,Idi1;Sqle;Dhcr24;Fdps,1.681673,-1.271185,-1.950139,-0.610853,0.410488,-0.086758,0.962757,0.177597,-0.710699,0.986979,0.287756,-0.149472,0.705941
REACTOME_INTERLEUKIN_10_SIGNALING,3,Cxcl2;Ccl2;Il6,1.664413,-1.326395,-2.021248,-0.656507,0.037481,-0.595517,0.706136,-0.24327,-1.165813,0.450839,0.338018,-0.411721,1.105512
REACTOME_HEME_SIGNALING,5,Nr1d1;Arntl;Clock;Tlr4;Npas2,1.117491,-0.820925,-1.268049,-0.333156,0.296566,-0.211808,0.802404,0.188916,-0.366255,0.686404,-0.296783,-0.721321,0.154545
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,5,Ifit3;Bst2;Ifit1;Isg15;Psmb8,1.096397,1.084034,0.598356,1.517372,-0.001422,-0.468653,0.452659,0.514028,0.111804,0.978194,-0.012363,-0.507952,0.388509
REACTOME_ELASTIC_FIBRE_FORMATION,4,Eln;Lox;Bmp4;Fbn1,0.990426,-0.522539,-0.855635,-0.118257,0.037871,-0.369257,0.458818,0.467887,-0.005069,0.771158,-0.267726,-0.781471,0.276692
REACTOME_PROTEIN_LOCALIZATION,3,Ech1;Uba52;Chchd10,0.950668,0.653578,-0.134056,1.281476,0.108652,-0.380512,0.787787,1.053819,0.448343,1.593264,0.103152,-0.392105,0.700145
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,7,Dbp;Serpine1;Bhlhe41;Arntl;Clock;Klf15;Npas2,0.861928,-0.591636,-0.939695,-0.236827,-0.249358,-0.708091,0.189819,0.270292,-0.090692,0.567851,-0.002915,-0.350309,0.435823
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,7,Wif1;Wnt4;Leo1;Sost;Rspo1;Psmb8;Uba52,0.773226,-0.266249,-0.649049,0.161255,0.506977,0.111139,0.874419,-0.086885,-0.630426,0.498993,0.265073,-0.119732,0.669054
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,7,Col5a3;Comp;Spp1;Thbs1;Lum;Jam2;Fbn1,0.755632,-0.038668,-0.486022,0.44983,0.487209,0.067204,0.864525,-0.268424,-0.62626,0.095049,-0.06401,-0.521257,0.488944
REACTOME_PHOSPHOLIPID_METABOLISM,8,Dgat2;Pld1;Pik3r3;Plekha6;Enpp6;Pnpla2;Cpne7;Pla2g2e,0.754286,0.621986,0.164808,1.134977,-0.107642,-0.520179,0.296407,0.251414,-0.116813,0.600587,-0.1323,-0.658113,0.427833
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,3,Ifit1;Isg15;Uba52,0.712572,1.006608,0.370372,1.620147,0.294036,-0.197006,0.738283,0.951127,0.342123,1.599988,0.335334,-0.211024,0.892051
REACTOME_NEUTROPHIL_DEGRANULATION,16,Aldh3b1;Plaur;Pld1;Hsp90aa1;Magt1;Hspa8;Prdx6;Stbd1;Bst2;Lgals3;Ahsg;Plac8;Ptx3;Cd55;Hspa1b;Hp,0.673794,0.58539,0.339072,0.858175,-0.088404,-0.271905,0.158975,0.014012,-0.240799,0.312432,0.302676,-0.033829,0.529915
REACTOME_INTERFERON_SIGNALING,8,Camk2b;Ifit3;Bst2;Ncam1;Ifit1;Isg15;Psmb8;Uba52,0.644339,0.646887,0.26459,1.029897,0.123428,-0.192324,0.439912,0.420955,0.206704,0.812486,0.002548,-0.414296,0.395894
