gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Pax6 (human),3,Ezr;Ptx3;Smpdl3b,1.324423,-0.223562,-0.81341,0.39272,0.813632,0.218042,1.487444,-0.51079,-1.154743,0.252452,0.134373,-0.41894,0.679381
NFIA (human),30,Hsph1;Cyp2e1;Hp;Sh3bp2;Slc25a47;Osgin1;Tmem86a;Ppp1r1b;Herpud1;Enpp2;Rarres1;Chchd10;Cytl1;Tnfaip2;Marveld1;Gfod2;Tef;Cntfr;Cyb561;Ahsg;Angptl7;Fkbp5;Notch4;Kcnj15;Sema3e;Tnnt2;Cst6;Usp54;Cabp1;Aldh3b1,0.986773,0.639767,0.398444,0.895578,-0.347006,-0.55691,-0.08331,0.144775,-0.051468,0.342391,-0.055514,-0.294065,0.172449
FOXO3A (mouse),9,Cacnb4;Sord;Socs2;Magt1;Taf1c;Chchd10;Isg15;Lox;Gfod2,0.747962,0.465109,0.084642,0.835537,-0.282853,-0.654301,0.078686,0.189892,-0.130504,0.490315,-0.189584,-0.489842,0.0857
IKZF1 (human),17,Cox4i2;Pnpla2;Vmo1;Rarres1;Spata24;Fam107a;Rhobtb1;Klf2;Smpdl3b;Adamts4;Ifit3;Cst6;Cabp1;Aldh3b1;Agap2;Hspb1;Pik3ip1,0.72629,0.522004,0.20292,0.844318,-0.204287,-0.445834,0.157659,-0.09501,-0.34219,0.219214,-0.198255,-0.552874,0.163571
Nkx2-5 (mouse),7,Tspyl5;Hsph1;Ccl11;Hsp90aa1;Ctsk;Arap2;Trdmt1,0.720445,0.272481,-0.134014,0.75453,-0.012042,-0.45899,0.416731,-0.447964,-0.815999,-0.06801,0.101574,-0.287256,0.451688
KLF5 (human),37,Klf11;Rapgef5;Hsd11b2;Zbtb16;Cdc25b;Cxcl12;Trim67;Tnfrsf25;Cox4i2;Nova1;Ece1;Cpne7;Egr3;Ppp1r1b;Adcyap1r1;Socs2;Vmo1;Taf1c;Rasgef1b;Cbs;Sox12;Tef;St3gal4;Angptl4;Fkbp4;Cys1;Erf;Ankrd12;Cdc14a;Itpr3;Cpt1a;Smpdl3b;Ezr;Atp1b1;Aldh3b1;Hspa8;Nt5dc2,0.715182,0.511269,0.289053,0.757019,-0.203914,-0.390288,0.004592,-0.098626,-0.29543,0.123004,-0.043941,-0.240274,0.179253
MYC (human),45,Larp6;Klf11;Klf15;Cilp;Bhlhe41;Myoc;Dgat2;Tmem51;Slc27a1;Sh3bp2;Me3;Plekha6;Ppp1r1b;Per3;Per1;Tcap;Herpud1;Stbd1;Cd55;Fam174b;Rgs7;Trdmt1;Cbs;Tef;Serpine1;Nr1d1;Nr1d2;Stmn1;Cyb561;G0s2;Fmo4;Tmem229b;Angptl2;Fkbp5;Ankrd12;Cpt1a;Selenbp1;Dnaja1;Apoc1;Sema3e;Tnnt2;Meox1;Csf2ra;Aldh3b1;Wee1,0.705995,0.475069,0.305124,0.634125,-0.230925,-0.441964,-0.085661,0.062776,-0.090572,0.222119,0.045244,-0.13271,0.22258
Pax2 (mouse),22,Rapgef5;F13a1;Sh3bp2;Gria4;Dbf4;Ccl2;A4galt;Pla2g2e;Wnt2;Gm6710;Fmo2;Fmo4;Adamtsl2;Dio2;Cacnb4;Sord;Tsc22d3;Svil;Hba-a1;Dbp;Lonrf1;Clock,0.702482,0.366301,0.085463,0.632906,-0.336181,-0.592389,-0.11303,-0.125294,-0.358512,0.137546,0.182494,-0.131606,0.494218
IRF2 (mouse),23,Dlx6;Enpp2;Rasgef1b;Gfod2;Ptx3;Cbs;Dio2;Mab21l2;Meox1;Cst6;Lmo2;Gsta3;Sh3bp2;Pabpc1l;Snx8;A4galt;Il6;Fmo3;Dhcr24;Smpdl3b;Sema3e;Tsc22d3;Fibin,0.702182,0.47608,0.195053,0.736307,-0.062624,-0.32446,0.210075,-0.226102,-0.450693,0.02754,-0.085657,-0.341221,0.185201
HMGA1 (human),35,Larp6;Mthfd2;Hpgd;F13a1;Has1;Ccl8;Enpp2;Enpp6;Klhl13;Mmp3;Vcan;Pik3r3;Pld1;Trdmt1;Ptx3;Plac8;Timp4;Fmo2;Fmo3;Fmo4;Angptl7;Angptl4;Dio2;Esrrg;Angpt2;Kcnj15;Tnmd;Slc24a5;Sema3e;Meox1;Npy1r;Gsta3;Hoxa10;Plcxd3;Clock,0.699509,0.373636,0.15591,0.556029,0.111337,-0.088773,0.273984,-0.049408,-0.247771,0.174458,-0.325874,-0.556073,-0.11038
