ZT,sample,log10_prop
0,0,-4.601081147254698
0,1,-4.320001129277181
0,2,-4.525992150733095
0,3,-4.7384768018319035
0,4,-4.407040800449029
0,5,-4.852745192823175
0,6,-4.98463462854884
0,7,-4.539215265657025
0,8,-4.659878402160873
0,9,-4.905837164215826
0,10,-4.528103049753731
0,11,-4.588436406145443
0,12,-4.52536272552745
0,13,-4.671955766515151
0,14,-4.646170790761177
0,15,-4.569412744560743
0,16,-4.731736498305148
0,17,-4.640760326795325
0,18,-4.609417365542925
0,19,-4.481511994673614
0,20,-4.5027570623178965
0,21,-4.788217843963906
0,22,-5.161592294807016
0,23,-4.674743118817878
0,24,-4.767272200327252
0,25,-4.841315447996891
0,26,-4.754265003282815
0,27,-4.686483150601006
0,28,-4.361962869258166
0,29,-4.699533531221342
0,30,-4.747712543840869
0,31,-4.463300148553012
0,32,-4.8877979629918284
0,33,-4.718543960571606
0,34,-4.489433453937838
0,35,-4.524980868275559
0,36,-4.396846973141245
0,37,-4.602348580736973
0,38,-4.6497822966925435
0,39,-4.740642239116097
0,40,-4.590969753191175
0,41,-4.5341461575768465
0,42,-4.592064452369856
0,43,-4.29962634926809
0,44,-4.48298649474343
0,45,-4.655966131117037
0,46,-4.223540643628231
0,47,-4.64970656897249
0,48,-4.648956176110135
0,49,-4.2658352458308935
0,50,-4.447328841587732
0,51,-4.494728046445379
0,52,-4.535100756003079
0,53,-4.497152406370985
0,54,-4.607421890945654
0,55,-4.566740190832455
0,56,-4.773317275104136
0,57,-4.724580273463525
0,58,-4.547417731089053
0,59,-4.5136827752412225
0,60,-4.9790706080786284
0,61,-4.668021054316967
0,62,-4.597874297357528
0,63,-4.427393765152698
0,64,-4.444389944437909
0,65,-4.721635386045411
0,66,-4.520914012546984
0,67,-4.558857534201649
0,68,-4.491427945058225
0,69,-4.367023573081337
0,70,-4.448639190424938
0,71,-4.657263068905827
0,72,-4.536718664883952
0,73,-4.748675635931097
0,74,-4.476829929450716
0,75,-4.621129591752339
0,76,-4.665483415735743
0,77,-4.826130475503718
0,78,-4.658149360392128
0,79,-4.968459116019682
0,80,-4.4130464467435715
0,81,-4.662995040405699
0,82,-4.61031089899537
0,83,-4.929242170614451
0,84,-4.481830104742036
0,85,-4.556533041883245
0,86,-4.623154660063114
0,87,-4.745237490152252
0,88,-4.780757814172172
0,89,-4.439412567928895
0,90,-4.426149488080687
0,91,-4.632334701517659
0,92,-4.983679583087661
0,93,-4.519397133564175
0,94,-4.355519575750324
0,95,-4.521631950672172
0,96,-4.852668660440216
0,97,-4.749364695598698
0,98,-4.865766203247479
0,99,-4.712493431968365
0,100,-4.480791374338743
0,101,-4.564313774546092
0,102,-4.7644202961781525
0,103,-4.874605961700223
0,104,-4.47822324797412
0,105,-4.571794904387334
0,106,-4.776150046157496
0,107,-4.795064228883629
0,108,-5.021651804385936
0,109,-4.493490832525533
0,110,-4.428273619335759
0,111,-4.523938293371721
0,112,-4.443941568385876
0,113,-4.7660491127117375
0,114,-4.7112475455705445
0,115,-4.259128112297219
0,116,-4.596839858489728
0,117,-4.36488719306871
0,118,-4.717118366125014
0,119,-4.463866810052072
0,120,-4.601025446700278
0,121,-4.818162658715472
0,122,-4.819655218997153
0,123,-4.8383047123310545
0,124,-4.74938803082294
0,125,-4.450360274971623
0,126,-4.686648374717488
0,127,-4.548725308309586
0,128,-4.5437955857259436
0,129,-4.9425870131545
0,130,-4.7784072150128525
0,131,-4.735165882199029
0,132,-4.902805104983008
0,133,-4.580568412260904
0,134,-5.059185484401015
0,135,-4.886363517253282
0,136,-4.737008113216403
0,137,-4.598886742105926
0,138,-4.704291145350316
0,139,-5.01357620747192
0,140,-4.596285445748222
0,141,-4.636727982164673
0,142,-5.062517548786892
0,143,-4.696600534932823
0,144,-4.435666683292403
0,145,-4.181354849731713
0,146,-5.156923461818554
0,147,-5.094015988793926
0,148,-4.684716557896697
0,149,-4.411882457148076
0,150,-4.756561600620514
0,151,-4.298902689095578
0,152,-4.5552564888880465
0,153,-4.905999706122625
0,154,-4.544571817208245
0,155,-4.677336547360511
0,156,-4.229034703129207
0,157,-4.932840578421864
0,158,-4.406957562541862
0,159,-4.781716346505939
0,160,-4.564500098712082
0,161,-4.924813082468166
0,162,-4.733271616313801
0,163,-4.885475705848161
0,164,-4.542193948917147
0,165,-4.58778757962309
0,166,-4.783926308470872
0,167,-4.843850940810369
0,168,-4.549831362175926
0,169,-4.972430038048591
0,170,-4.83320730693872
0,171,-4.700621256654847
0,172,-4.832793933723053
0,173,-4.773758230376046
0,174,-4.586282859990845
0,175,-4.738845158628389
0,176,-4.64099037097915
0,177,-4.749287000924875
0,178,-4.815752782722154
0,179,-4.59691281459311
0,180,-4.359076185790175
0,181,-4.992292203083738
0,182,-4.717419041830494
0,183,-4.277973228124012
0,184,-4.780679404242435
0,185,-5.051452539774021
0,186,-4.463506678698615
0,187,-4.941313455293448
0,188,-4.667219252435685
0,189,-4.781346738011601
0,190,-4.9895840206701605
0,191,-4.654749123176805
0,192,-4.578815856453936
0,193,-4.560285900264913
0,194,-4.491020875035314
0,195,-4.4435122360225945
0,196,-4.672174545418308
0,197,-4.742871960025695
0,198,-4.474818093374377
0,199,-5.077740206326112
0,200,-4.5367252810011705
0,201,-4.715703500517154
0,202,-4.614053207352285
0,203,-4.709411573042431
0,204,-4.515420757708912
0,205,-4.9232569538169955
0,206,-5.129719060700258
0,207,-4.295775947860945
0,208,-4.653413382754597
0,209,-4.224860290792338
0,210,-4.411564615300623
