ZT,sample,log10_prop
0,0,-4.652688297364943
0,1,-4.676144485869391
0,2,-4.88254254746904
0,3,-4.556162200959326
0,4,-4.955850367334661
0,5,-4.887231585758307
0,6,-4.7539020015482025
0,7,-4.709673264345788
0,8,-4.8439788598148015
0,9,-4.894744632807153
0,10,-4.754477156627996
0,11,-4.924593241317054
0,12,-4.829899853819126
0,13,-4.904779671848975
0,14,-4.678921019524449
0,15,-4.724081556235897
0,16,-5.014999161960644
0,17,-4.702615477621257
0,18,-4.7049395225682735
0,19,-4.83784786580862
0,20,-4.880703580072998
0,21,-4.913108468151362
0,22,-4.99997928164782
0,23,-4.707159408387673
0,24,-4.898935048388506
0,25,-4.832500613358394
0,26,-4.693928785191959
0,27,-4.777837813778059
0,28,-4.642216415835965
0,29,-4.713048645929412
0,30,-4.819683095097576
0,31,-4.799025613178358
0,32,-4.65631205152927
0,33,-4.745263052444353
0,34,-4.839921213593543
0,35,-4.849469252834397
0,36,-4.728769611048423
0,37,-4.760866626203227
0,38,-4.831309175989619
0,39,-4.928470955998116
0,40,-4.7019848008090595
0,41,-4.856806972802335
0,42,-4.855955773682612
0,43,-4.763035326528583
0,44,-4.881585982227517
0,45,-4.842796094922747
0,46,-4.734288971928402
0,47,-4.716359028641123
0,48,-4.797570559339388
0,49,-4.724973212012483
0,50,-4.805975485682261
0,51,-4.768442705170502
0,52,-4.690961099421154
0,53,-4.793118047206438
0,54,-4.669263903772272
0,55,-4.8024401550176865
0,56,-4.897225899922336
0,57,-4.681055342867343
0,58,-4.751663072042811
0,59,-4.7555271521599565
0,60,-4.750921709393712
0,61,-4.689833230412667
0,62,-4.582922156059226
0,63,-4.878461789544357
0,64,-4.7667155859020545
0,65,-4.9581383365666625
0,66,-4.783051134577494
0,67,-4.789762469268108
0,68,-4.767642289213428
0,69,-4.640541018503422
0,70,-4.729023705675623
0,71,-4.621482490951843
0,72,-4.683334952547042
0,73,-4.69141501864082
0,74,-5.089790198862834
0,75,-4.711593279166023
0,76,-4.793787660756899
0,77,-4.8833996474492105
0,78,-4.923943967853746
0,79,-4.7501374313958955
0,80,-4.797323974898213
0,81,-4.812143136548806
0,82,-4.85817619594387
0,83,-4.882675406236111
0,84,-4.627254337133445
0,85,-4.606375572947401
0,86,-4.698204047994007
0,87,-4.792683708114624
0,88,-4.570605450977245
0,89,-4.829029208682015
0,90,-4.893667591664803
0,91,-4.853512415125462
0,92,-4.812649492960187
0,93,-4.853924313066176
0,94,-4.772662356833169
0,95,-4.778068126149511
0,96,-4.694565809899487
0,97,-4.831424466285809
0,98,-5.016806300473053
0,99,-4.8669729930647225
0,100,-4.736384760864427
0,101,-5.018698196799181
0,102,-4.687443471337926
0,103,-4.9434124710960425
0,104,-4.653575929827587
0,105,-4.93789780408233
0,106,-4.61078628731884
0,107,-4.762998446150779
0,108,-4.9529379797788184
0,109,-4.689972615889022
0,110,-4.740006011633412
0,111,-4.838309205807335
0,112,-4.696592576649657
0,113,-4.827605983726675
0,114,-4.6560846001810665
0,115,-4.784053297377029
0,116,-4.943491819787682
0,117,-5.016229938399078
0,118,-4.937043118090524
0,119,-4.829026213548302
0,120,-4.866760159757176
0,121,-5.046311943821119
0,122,-4.765954777235569
0,123,-4.68606991195803
0,124,-4.8324956512711985
0,125,-4.911835893951418
0,126,-4.680518364566513
0,127,-4.662845466336658
0,128,-4.752334429029313
0,129,-4.867564151993309
0,130,-4.667439375602934
0,131,-4.90462008039593
0,132,-4.676445161531344
0,133,-4.92077426701955
0,134,-4.813532699777494
0,135,-4.8554377049573105
0,136,-4.653586569257791
0,137,-4.851486631852034
0,138,-4.758171631710732
0,139,-4.877323951657991
0,140,-4.854358026309154
0,141,-4.904287128815462
0,142,-4.591552700907284
0,143,-4.7954624322406065
0,144,-5.026257154330456
0,145,-4.635700435388995
0,146,-4.803196895666742
0,147,-4.846032001623039
0,148,-4.815201793918195
0,149,-4.77275136147827
0,150,-4.862683514553412
0,151,-4.821650763836283
0,152,-4.750687820743201
0,153,-4.693092472333822
0,154,-4.666751299511827
0,155,-4.729723225859721
0,156,-4.949285973009919
0,157,-4.676839178076759
0,158,-4.47438289125683
0,159,-4.88965469363528
0,160,-4.689252353286377
0,161,-4.553897075209821
0,162,-4.821634894097955
0,163,-4.793661641623529
0,164,-4.574590766954519
0,165,-4.673961078096401
0,166,-4.761825873654044
0,167,-4.664569411657439
0,168,-4.847234838381317
0,169,-4.70441461420927
0,170,-4.869700039958291
0,171,-4.859048897441441
0,172,-4.7620426408685566
0,173,-4.696900583683683
0,174,-4.7968903957657005
0,175,-4.748576296179313
0,176,-4.695472664862078
0,177,-4.898593692552248
0,178,-4.879389342222007
0,179,-4.631151140203989
0,180,-4.651909741413623
0,181,-4.767948195183506
0,182,-4.633078665210249
0,183,-4.753507806188836
0,184,-4.886792865724645
0,185,-4.82183833967297
0,186,-4.840925477457026
0,187,-4.790188180586689
0,188,-4.788724856602393
0,189,-4.858565339809066
0,190,-4.812648509483445
0,191,-4.732082765376407
0,192,-4.920784861746264
0,193,-4.744760942864357
0,194,-4.668732468703985
0,195,-4.7520344686231715
0,196,-4.710988530377009
0,197,-4.802979234382465
0,198,-4.710757323935792
0,199,-4.795896503111491
0,200,-4.902783214063837
0,201,-4.911520957876713
0,202,-4.9135760219349445
0,203,-4.873000364385147
0,204,-4.778723568694198
0,205,-4.813643698538813
0,206,-4.8613262719467265
0,207,-4.92424437529477
0,208,-4.8273027152624035
0,209,-4.865570421120954
0,210,-4.864832321826498
0,211,-4.8379535001513485
0,212,-4.842486746784074
0,213,-4.611322371549905
0,214,-4.769482105975746
0,215,-4.676039790299915
0,216,-4.818235506741143
0,217,-4.691185689746109
0,218,-4.859483102422789
0,219,-4.83863840229479
0,220,-4.8776928001395214
0,221,-4.636546672421521
0,222,-4.77413605202674
0,223,-4.764667629698455
0,224,-4.639742703610295
0,225,-4.810326655007352
0,226,-4.653278919851671
0,227,-4.795887294192911
0,228,-4.701602049542683
0,229,-4.742552054103066
0,230,-4.713581153881417
0,231,-4.721890906497812
0,232,-4.8229632582512325
0,233,-4.834824971229828
0,234,-4.759939654670925
0,235,-4.801484886177324
0,236,-4.876214858114568
0,237,-4.854332590024342
0,238,-4.783000843153216
0,239,-4.847706594292793
0,240,-4.711272665748311
0,241,-4.621909945706467
0,242,-4.7758756435684075
0,243,-4.586876626629609
0,244,-4.810147349315992
0,245,-4.682865655327418
0,246,-4.539874842644218
0,247,-4.81213307826395
0,248,-4.7003137844183644
0,249,-4.7740466003467565
0,250,-4.825835367964165
0,251,-4.65656230165648
0,252,-4.716534266315054
0,253,-4.866355772002488
0,254,-4.767594948219374
0,255,-4.746558917161675
0,256,-4.681077694611466
0,257,-4.719392160318724
0,258,-4.753105743015537
0,259,-4.784065903760715
0,260,-4.786879988345902
0,261,-4.766459390210908
0,262,-4.956209828083661
