bf_threshold,Aligned,Misaligned,Unique aligned,Unique misaligned,Shared
0.5,1184,608,1063,487,121
0.5095095095095095,1171,599,1054,482,117
0.519019019019019,1153,587,1041,475,112
0.5285285285285285,1139,579,1030,470,109
0.5380380380380381,1124,572,1017,465,107
0.5475475475475475,1110,562,1005,457,105
0.5570570570570571,1094,554,995,455,99
0.5665665665665666,1078,546,981,449,97
0.5760760760760761,1066,535,969,438,97
0.5855855855855856,1058,525,964,431,94
0.5950950950950951,1049,516,958,425,91
0.6046046046046046,1034,509,946,421,88
0.6141141141141141,1018,500,933,415,85
0.6236236236236237,1006,489,924,407,82
0.6331331331331331,995,479,913,397,82
0.6426426426426426,989,476,910,397,79
0.6521521521521522,981,471,905,395,76
0.6616616616616617,966,462,890,386,76
0.6711711711711712,953,453,879,379,74
0.6806806806806807,942,435,869,362,73
0.6901901901901902,935,428,865,358,70
0.6996996996996997,924,422,855,353,69
0.7092092092092093,909,416,841,348,68
0.7187187187187187,898,408,830,340,68
0.7282282282282282,888,399,820,331,68
0.7377377377377378,878,389,812,323,66
0.7472472472472473,866,382,802,318,64
0.7567567567567568,853,373,789,309,64
0.7662662662662663,841,367,779,305,62
0.7757757757757757,828,363,768,303,60
0.7852852852852853,822,358,763,299,59
0.7947947947947949,812,353,754,295,58
0.8043043043043043,810,348,753,291,57
0.8138138138138138,802,342,746,286,56
0.8233233233233234,794,336,739,281,55
0.8328328328328329,787,326,737,276,50
0.8423423423423424,773,319,724,270,49
0.8518518518518519,766,314,720,268,46
0.8613613613613613,759,307,714,262,45
0.8708708708708709,754,300,709,255,45
0.8803803803803805,747,299,703,255,44
0.8898898898898899,738,294,694,250,44
0.8993993993993994,729,288,686,245,43
0.908908908908909,720,282,677,239,43
0.9184184184184184,713,276,671,234,42
0.927927927927928,700,265,661,226,39
0.9374374374374375,692,262,653,223,39
0.9469469469469469,686,257,648,219,38
0.9564564564564565,682,254,646,218,36
0.9659659659659661,673,251,637,215,36
0.9754754754754755,666,249,630,213,36
0.984984984984985,660,245,625,210,35
0.9944944944944946,648,238,615,205,33
1.004004004004004,642,235,610,203,32
1.0135135135135136,636,235,604,203,32
1.023023023023023,631,232,600,201,31
1.0325325325325325,623,225,592,194,31
1.0420420420420422,619,222,588,191,31
1.0515515515515514,608,218,577,187,31
1.0610610610610611,604,214,573,183,31
1.0705705705705706,599,211,568,180,31
1.08008008008008,588,209,557,178,31
1.0895895895895897,585,203,554,172,31
1.0990990990990992,581,199,550,168,31
1.1086086086086087,576,199,545,168,31
1.1181181181181181,570,198,540,168,30
1.1276276276276276,567,198,537,168,30
1.1371371371371373,563,194,535,166,28
1.1466466466466467,561,187,533,159,28
1.1561561561561562,559,182,531,154,28
1.1656656656656659,555,180,527,152,28
1.1751751751751751,542,177,514,149,28
1.1846846846846848,533,174,505,146,28
1.1941941941941943,530,173,503,146,27
1.2037037037037037,522,170,495,143,27
1.2132132132132134,514,166,488,140,26
1.2227227227227226,513,165,487,139,26
1.2322322322322323,509,164,483,138,26
1.2417417417417418,506,158,481,133,25
1.2512512512512513,504,155,480,131,24
1.260760760760761,496,154,473,131,23
1.2702702702702702,489,151,467,129,22
1.2797797797797799,487,148,465,126,22
1.2892892892892893,482,145,460,123,22
1.2987987987987988,479,140,457,118,22
1.3083083083083085,475,139,453,117,22
1.317817817817818,474,137,452,115,22
