bf_threshold,Aligned,Misaligned,Unique aligned,Unique misaligned,Shared
0.5,770,466,553,249,217
0.5095095095095095,769,464,553,248,216
0.519019019019019,765,462,549,246,216
0.5285285285285285,763,461,547,245,216
0.5380380380380381,762,461,546,245,216
0.5475475475475475,756,460,541,245,215
0.5570570570570571,749,456,537,244,212
0.5665665665665666,746,454,534,242,212
0.5760760760760761,744,452,532,240,212
0.5855855855855856,742,451,530,239,212
0.5950950950950951,738,448,528,238,210
0.6046046046046046,735,448,526,239,209
0.6141141141141141,735,448,526,239,209
0.6236236236236237,734,447,526,239,208
0.6331331331331331,731,447,523,239,208
0.6426426426426426,730,446,522,238,208
0.6521521521521522,724,444,517,237,207
0.6616616616616617,723,442,516,235,207
0.6711711711711712,719,439,513,233,206
0.6806806806806807,719,439,513,233,206
0.6901901901901902,714,439,508,233,206
0.6996996996996997,710,437,504,231,206
0.7092092092092093,710,435,504,229,206
0.7187187187187187,710,433,504,227,206
0.7282282282282282,707,429,503,225,204
0.7377377377377378,704,427,500,223,204
0.7472472472472473,699,423,496,220,203
0.7567567567567568,695,423,492,220,203
0.7662662662662663,694,421,491,218,203
0.7757757757757757,694,419,491,216,203
0.7852852852852853,690,419,488,217,202
0.7947947947947949,688,419,486,217,202
0.8043043043043043,687,419,485,217,202
0.8138138138138138,684,419,482,217,202
0.8233233233233234,682,419,480,217,202
0.8328328328328329,680,418,478,216,202
0.8423423423423424,678,417,478,217,200
0.8518518518518519,673,417,474,218,199
0.8613613613613613,671,416,472,217,199
0.8708708708708709,671,415,472,216,199
0.8803803803803805,667,415,469,217,198
0.8898898898898899,665,413,468,216,197
0.8993993993993994,662,413,465,216,197
0.908908908908909,661,412,464,215,197
0.9184184184184184,660,412,463,215,197
0.927927927927928,659,411,463,215,196
0.9374374374374375,658,411,462,215,196
0.9469469469469469,656,409,461,214,195
0.9564564564564565,654,407,459,212,195
0.9659659659659661,652,406,458,212,194
0.9754754754754755,650,406,456,212,194
0.984984984984985,647,406,453,212,194
0.9944944944944946,645,404,452,211,193
1.004004004004004,644,403,451,210,193
1.0135135135135136,642,403,449,210,193
1.023023023023023,639,401,447,209,192
1.0325325325325325,637,400,447,210,190
1.0420420420420422,635,399,446,210,189
1.0515515515515514,631,397,443,209,188
1.0610610610610611,627,395,440,208,187
1.0705705705705706,626,393,439,206,187
1.08008008008008,625,392,439,206,186
1.0895895895895897,625,392,439,206,186
1.0990990990990992,624,391,438,205,186
1.1086086086086087,621,389,435,203,186
1.1181181181181181,617,387,431,201,186
1.1276276276276276,615,387,430,202,185
1.1371371371371373,611,386,426,201,185
1.1466466466466467,609,384,424,199,185
1.1561561561561562,606,384,421,199,185
1.1656656656656659,605,382,421,198,184
1.1751751751751751,603,380,420,197,183
1.1846846846846848,601,379,418,196,183
1.1941941941941943,600,379,417,196,183
1.2037037037037037,597,377,415,195,182
1.2132132132132134,595,376,413,194,182
1.2227227227227226,594,376,412,194,182
1.2322322322322323,592,376,410,194,182
1.2417417417417418,591,375,409,193,182
1.2512512512512513,590,375,408,193,182
1.260760760760761,590,374,408,192,182
1.2702702702702702,587,374,405,192,182
1.2797797797797799,585,374,403,192,182
1.2892892892892893,584,372,402,190,182
1.2987987987987988,583,371,402,190,181
1.3083083083083085,582,370,401,189,181
1.317817817817818,581,369,400,188,181
1.3273273273273274,581,369,400,188,181
1.3368368368368369,581,367,400,186,181
1.3463463463463463,578,365,399,186,179
1.355855855855856,577,363,398,184,179
1.3653653653653655,576,362,397,183,179
1.374874874874875,575,361,396,182,179
1.3843843843843846,574,359,395,180,179
1.3938938938938938,574,359,395,180,179
1.4034034034034035,574,359,395,180,179
1.412912912912913,573,359,394,180,179
1.4224224224224224,572,359,393,180,179
1.4319319319319321,571,359,392,180,179
1.4414414414414414,570,359,392,181,178
1.450950950950951,570,359,392,181,178
1.4604604604604605,568,356,392,180,176
1.46996996996997,568,356,392,180,176
1.4794794794794797,565,355,389,179,176
1.4889889889889891,563,354,387,178,176
1.4984984984984986,560,352,384,176,176
1.508008008008008,555,352,379,176,176
1.5175175175175175,554,352,378,176,176
1.5270270270270272,552,351,376,175,176
1.5365365365365367,550,350,375,175,175
1.5460460460460461,548,350,373,175,175
1.5555555555555556,546,348,372,174,174
1.565065065065065,545,347,371,173,174
1.5745745745745747,544,346,371,173,173
1.5840840840840842,543,346,370,173,173
1.5935935935935936,541,346,368,173,173
1.603103103103103,538,346,366,174,172
1.6126126126126128,538,346,366,174,172
1.6221221221221223,538,345,367,174,171
1.6316316316316317,534,344,364,174,170
1.6411411411411412,531,343,362,174,169
1.6506506506506506,528,342,359,173,169
1.6601601601601603,528,341,360,173,168
1.6696696696696698,526,339,358,171,168
