gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Antigen processing and presentation,6,Cd74;Hsp90aa1;Hspa1l;Hspa8;Hspa1a;Hspa1b,1.552233,-0.427367,-0.685563,-0.032776,0.003688,-0.345402,0.273908,1.124866,0.782296,1.438875,-0.350364,-0.552114,-0.082119
Spliceosome,5,Hspa1l;Hspa1a;Hspa1b;Hspa8;Rbm8a,1.361859,-0.543736,-0.793926,-0.200412,-0.117447,-0.481879,0.218146,0.818123,0.457175,1.122138,-0.277639,-0.480561,-0.013709
Inflammatory mediator regulation of TRP channels,7,Il1r1;Adcy5;Prkcd;Igf1;Pik3cb;Htr2a;Camk2b,0.838881,-0.3067,-0.622743,0.055585,0.139692,-0.089969,0.322475,0.532181,0.245309,0.837445,0.052543,-0.157589,0.374374
JAK-STAT signaling pathway,13,Cntfr;Il6ra;Ccnd1;Myc;Pdgfb;Pim1;Pik3cb;Il3ra;Ghr;Socs2;Il15ra;Cdkn1a;Fhl1,0.69308,-0.236088,-0.478232,0.05203,-0.330848,-0.543784,-0.141805,0.362232,0.149465,0.554738,0.0731,-0.17537,0.295051
Dopaminergic synapse,10,Adcy5;Arntl;Gng8;Ppp1r1b;Cacna1d;Gsk3b;Fos;Clock;Camk2b;Ppp2cb,0.6724,-0.279863,-0.471009,-0.042743,0.392536,0.14745,0.595588,0.267153,0.081545,0.472089,0.20541,-0.001466,0.455008
ErbB signaling pathway,9,Jun;Pik3cb;Gsk3b;Myc;Pak3;Pak6;Btc;Cdkn1a;Camk2b,0.671315,-0.316103,-0.539428,0.004994,0.046331,-0.19112,0.325554,0.355212,0.096113,0.596011,0.132493,-0.083764,0.356962
Oocyte meiosis,8,Cdc20;Adcy5;Igf1;Ar;Pgr;Ccne2;Camk2b;Ppp2cb,0.660275,-0.23798,-0.483103,0.087892,-0.059765,-0.316304,0.232354,0.422295,0.116201,0.723304,0.025013,-0.218573,0.215384
Longevity regulating pathway,14,Hspa1l;Trp53;Hspa1a;Hspa1b;Prkaa2;Adcy5;Foxo3;Ppargc1a;Igf1;Cryab;Irs2;Hspa8;Pik3cb;Pparg,0.648978,-0.253879,-0.425391,-0.071156,0.01327,-0.175635,0.204039,0.395099,0.209833,0.554347,0.035951,-0.090365,0.163389
HIF-1 signaling pathway,14,Serpine1;Il6ra;Igf1;Pfkfb3;Edn1;Angpt2;Angpt1;Pik3cb;Hk2;Mknk2;Egln3;Gapdh;Cdkn1a;Camk2b,0.64564,-0.258498,-0.446579,-0.050723,-0.249671,-0.442472,-0.022588,0.387142,0.178643,0.551138,0.138209,-0.037063,0.283623
Gastric acid secretion,5,Atp1b1;Adcy5;Ezr;Camk2b;Mylk4,0.63799,-0.232456,-0.581087,0.16898,0.055603,-0.240164,0.375311,0.277053,-0.097042,0.55801,0.405534,0.091131,0.742546
p53 signaling pathway,12,Trp53;Fas;Steap3;Cd82;Serpine1;Rchy1;Ccnd1;Gadd45g;Igf1;Ccne2;Cdkn1a;Thbs1,0.633102,-0.047138,-0.263733,0.173027,-0.374975,-0.573135,-0.159006,0.258127,0.005613,0.498708,0.038485,-0.122311,0.23424
Amphetamine addiction,7,Jun;Adcy5;Fos;Ppp1r1b;Fosb;Camk2b;Cacna1d,0.632624,-0.294699,-0.591306,-0.008915,0.000961,-0.205033,0.264131,0.195735,-0.070664,0.412623,0.337925,0.064449,0.586926
Salivary secretion,5,Atp1b1;Lyz2;Adcy5;Prkg2;Kcnma1,0.623161,0.453102,0.028885,0.876602,0.1839,-0.15034,0.464748,-0.027841,-0.375216,0.283374,0.59532,0.302443,0.897216
Prolactin signaling pathway,6,Pik3cb;Gsk3b;Foxo3;Socs2;Ccnd1;Fos,0.62281,-0.024348,-0.390983,0.324418,-0.322351,-0.595064,0.049606,0.250361,-0.023164,0.491187,0.300459,0.013092,0.589978
IL-17 signaling pathway,10,Jun;Hsp90aa1;Mmp3;Nfkbia;S100a8;Gsk3b;Cxcl2;Fos;Fosb;Ptgs2,0.617323,0.71334,0.418664,0.968834,0.244966,-0.046121,0.488443,0.096016,-0.143931,0.315946,0.187229,-0.065071,0.449727
Estrogen signaling pathway,15,Hspa1l;Hspa1a;Fkbp5;Fkbp4;Hspa1b;Adcy5;Prkcd;Pgr;Jun;Hsp90aa1;Hspa8;Pik3cb;Krt18;Rara;Fos,0.607767,-0.231656,-0.366855,-0.078338,-0.014288,-0.173607,0.136862,0.376111,0.178319,0.526755,0.068999,-0.072181,0.243503
Progesterone-mediated oocyte maturation,6,Hsp90aa1;Cdc25b;Pik3cb;Adcy5;Igf1;Pgr,0.602135,-0.185984,-0.502241,0.190428,-0.016354,-0.266142,0.282855,0.41615,0.100331,0.684987,0.28857,-0.026637,0.546654
Complement and coagulation cascades,9,Serpine1;Vwf;Plaur;F3;Cfh;Plau;C2;C3;Cd59b,0.590341,0.066703,-0.278056,0.384788,-0.106705,-0.368503,0.15026,0.209599,-0.056231,0.481134,-0.380742,-0.653022,-0.106473
Protein processing in endoplasmic reticulum,15,Hspa1l;Hspa1a;Hspa1b;Map3k5;Cryab;Hspa4l;Hsph1;Hsp90aa1;Hspa8;Dnajc1;Nfe2l2;Dnajb1;Dnaja1;Ddit3;Herpud1,0.586744,-0.149616,-0.299957,0.01013,-0.065843,-0.265466,0.116472,0.437128,0.268864,0.577892,-0.045966,-0.17299,0.0712
Circadian entrainment,10,Adcy5;Rasd1;Gng8;Cacna1d;Prkg2;Fos;Per3;Per2;Per1;Camk2b,0.550271,0.193323,-0.114827,0.479053,-0.20983,-0.441084,0.049268,0.030873,-0.229932,0.299286,0.340441,0.106588,0.571335
Sphingolipid signaling pathway,11,Trp53;Rock1;Adora1;S1pr3;Map3k5;Sphk2;Sphk1;Pik3cb;Abcc1;Pld1;Ppp2cb,0.520279,-0.17758,-0.393003,0.039284,0.184055,-0.043704,0.446124,0.187054,-0.030684,0.402202,0.342699,0.107718,0.54587
GABAergic synapse,7,Plcl1;Gabrq;Adcy5;Gng8;Cacna1d;Glul;Gabre,0.506978,0.398563,0.050004,0.71344,0.181602,-0.156557,0.459262,-0.108415,-0.340491,0.097691,0.269745,0.051199,0.541327
Endocytosis,13,Hspa1l;Hspa1a;Hspa1b;Vps37b;Ehd4;Ap2a1;Ldlr;Fgfr2;Sh3kbp1;Hspa8;Pld1;Agap1;Grk5,0.470595,-0.140364,-0.310497,0.032202,0.253325,0.042851,0.438643,0.330231,0.129167,0.501131,-0.038894,-0.178249,0.072768
GnRH signaling pathway,9,Map3k1;Jun;Mmp14;Adcy5;Pld1;Egr1;Prkcd;Camk2b;Cacna1d,0.463293,-0.180308,-0.45004,0.083924,0.238716,0.011668,0.422344,0.282985,0.067032,0.539213,0.261612,0.03762,0.49976
Natural killer cell mediated cytotoxicity,4,Fas;Nfatc1;Vav3;Pik3cb,0.461666,-0.080813,-0.381453,0.225147,0.380853,0.104264,0.681383,0.219752,-0.191799,0.499825,0.134828,-0.142956,0.413025
NOD-like receptor signaling pathway,7,Gbp3;Prkcd;Jun;Trp53bp1;Hsp90aa1;Nfkbia;Cxcl2,0.45285,0.581338,0.282086,0.855181,0.146993,-0.119672,0.386995,0.128488,-0.134291,0.413318,0.17473,-0.124851,0.470594
Metabolism of xenobiotics by cytochrome P450,6,Gsta4;Cyp1b1;Ephx1;Gsto1;Gstp1;Gstt1,0.42225,0.342107,0.095098,0.692273,-0.033131,-0.277204,0.284504,-0.080143,-0.371476,0.143412,0.030303,-0.160785,0.258668
Thyroid hormone signaling pathway,11,Trp53;Atp1b1;Ccnd1;Myc;Rcan1;Rcan2;Pik3cb;Gsk3b;Thra;Itgb3;Pln,0.408082,-0.097274,-0.302155,0.176625,-0.152007,-0.402314,0.091907,0.248423,0.005338,0.466638,0.256075,0.066622,0.473176
Glycerophospholipid metabolism,9,Dgkd;Plb1;Gpcpd1;Lpin1;Lpin3;Pld1;Mboat1;Lpcat3;Lpcat2,0.386686,-0.105945,-0.382878,0.227628,0.280741,0.030686,0.5305,0.138623,-0.101836,0.4274,0.034046,-0.23921,0.282798
cAMP signaling pathway,26,Adcy5;Ppp1r1b;Hhip;Sox9;Edn1;Jun;Nfatc1;Vav3;Rapgef4;Fos;Gli1;Npy1r;Atp1b1;Rock1;Adora1;Cacna1d;Htr1b;Nfkbia;Pik3cb;Pld1;Pde4a;Tiam1;Pde10a;Camk2b;Pln;Tnni3,0.334076,-0.011722,-0.17922,0.159482,-0.056413,-0.155097,0.099979,0.079335,-0.093188,0.235812,0.277662,0.117441,0.434909
cGMP-PKG signaling pathway,13,Atp1b1;Rock1;Adcy5;Adora1;Kcnma1;Irs2;Cacna1d;Agtr1a;Nfatc1;Prkg2;Slc8a1;Mylk4;Pln,0.32716,0.061584,-0.145045,0.28986,0.064116,-0.097679,0.276601,0.035284,-0.213481,0.209256,0.362444,0.162584,0.58579
