gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Complement and coagulation cascades,8,Serpina1b;Serpina1d;Serpina1e;C1s1;F3;Cfb;C3;C7,1.58797,-0.467141,-0.803777,-0.083773,-0.481239,-0.823529,-0.203799,-0.158352,-0.474293,0.268989,1.106731,0.790354,1.389119
cGMP-PKG signaling pathway,5,Atp1a2;Adra2c;Mrvi1;Prkg1;Atp2b2,1.45731,0.188353,-0.349953,0.732784,-0.908785,-1.257536,-0.368915,0.171906,-0.258834,0.600655,0.548525,0.158684,0.92018
Viral carcinogenesis,5,Egr3;C3;Cdkn1a;Gsn;Hdac9,1.217057,0.264705,-0.14521,0.660968,-0.116883,-0.543425,0.252785,-0.682439,-1.01554,-0.28433,0.534617,0.218503,0.851642
"Parathyroid hormone synthesis, secretion and action",5,Nr4a2;Fos;Pthlh;Cdkn1a;Sost,1.074585,0.243782,-0.095216,0.60777,-0.384567,-0.758468,-0.036701,-0.466899,-0.770145,-0.100981,0.607685,0.32338,0.86884
Protein digestion and absorption,6,Col1a1;Col5a2;Eln;Atp1a2;Col6a1;Col6a2,1.069335,0.184521,-0.161481,0.502704,-0.404611,-0.765758,-0.027789,-0.424622,-0.733849,-0.019364,0.644713,0.304556,0.954754
Cholesterol metabolism,5,Cd36;Cyp27a1;Nceh1;Angptl4;Apoe,1.014392,-0.150562,-0.573235,0.270479,0.449367,-0.022881,0.886022,0.266221,-0.13222,0.643163,-0.565025,-0.955821,-0.055521
Adrenergic signaling in cardiomyocytes,5,Tpm2;Cacna2d3;Atp1a2;Scn7a;Atp2b2,0.984012,-0.106638,-0.546416,0.450259,-0.542854,-0.902513,-0.044212,0.208333,-0.198481,0.650963,0.441158,0.118144,0.77443
Wnt signaling pathway,5,Dkk2;Sfrp2;Sfrp1;Wnt9b;Sost,0.979421,0.261305,-0.140956,0.695233,0.342793,-0.079799,0.74652,-0.636628,-0.961406,-0.195644,0.03253,-0.281619,0.39312
Relaxin signaling pathway,6,Col1a1;Gnb5;Edn1;Acta2;Gnao1;Fos,0.970396,-0.14197,-0.465604,0.375876,-0.353165,-0.68669,0.024647,-0.122096,-0.443986,0.317439,0.617232,0.329252,0.889723
MAPK signaling pathway,8,Cacna2d3;Kdr;Dusp1;Ptprr;Fos;Flnc;Mknk2;Flt4,0.922452,-0.196703,-0.485777,0.091451,-0.029279,-0.300931,0.279204,0.574217,0.318285,0.800305,-0.348235,-0.581196,-0.068678
cAMP signaling pathway,7,Plce1;Edn1;Fos;Npy1r;Atp1a2;Htr1b;Atp2b2,0.895039,0.112892,-0.245028,0.461802,-0.544936,-0.884512,-0.11492,0.081941,-0.3143,0.441257,0.350103,-0.023642,0.685281
Axon guidance,6,Sema4d;Pard6g;Sema6b;Enah;Sema3a;Sema3g,0.865415,-0.391065,-0.759643,-0.031634,0.145317,-0.170434,0.476233,0.47435,0.168418,0.816323,-0.228603,-0.559958,0.183617
Rap1 signaling pathway,8,Pard6g;Plce1;Kdr;Lpar1;Gnao1;P2ry1;Flt4;Thbs1,0.777317,0.158638,-0.156065,0.499724,0.106635,-0.13012,0.380813,0.256022,-0.026613,0.568444,-0.521295,-0.796179,-0.22457
Neuroactive ligand-receptor interaction,14,Vipr1;Lpar1;C3;Gabra3;Edn1;Penk;F2rl1;Npy1r;Adra2c;Nts;Htr1b;P2ry1;Tac2;Thra,0.701724,0.018534,-0.227516,0.289538,-0.319909,-0.565075,-0.055214,-0.080442,-0.355706,0.249768,0.381816,0.139388,0.576668
Vascular smooth muscle contraction,7,Ramp3;Myh11;Mrvi1;Edn1;Acta2;Prkg1;Ramp2,0.609401,0.074305,-0.204623,0.347811,-0.329304,-0.598965,0.022116,-0.025098,-0.347721,0.349865,0.280097,-0.004084,0.5393
