gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
MZF1 5-13 (human),5,Cd36;G0s2;Nrp2;Tnxb;Thbs1,1.529747,0.024153,-0.339149,0.42528,0.118146,-0.246194,0.485683,0.693724,0.357368,1.000272,-0.836023,-1.156961,-0.447436
MYC (human),19,Nr2f2;Ucp2;Me3;Crispld2;Klk10;Per3;Tcap;Pepd;Ern1;Tef;Nr1d1;Nr1d2;Sox18;G0s2;Hinfp;Fkbp5;Sema6b;Slco2b1;Tbcel,1.112586,-0.527451,-0.755892,-0.284244,0.203234,0.023876,0.40025,0.585135,0.414681,0.742609,-0.260919,-0.398555,-0.092055
MTF1 (human),20,Cacna2d3;Nr2f2;Zbtb16;Pfkfb3;Aph1b;Ntrk3;Flt4;Tspan4;Per3;Gnb5;Mknk2;Angptl4;Adra2c;Fn3k;Tppp3;Prox1;Tnxb;Tmem101;Dbp;Thra,0.943881,-0.398947,-0.612627,-0.132713,0.062714,-0.108318,0.223606,0.544935,0.372182,0.756924,-0.208701,-0.389976,-0.015362
USF1 (human),22,Nr2f2;Ucp2;Me3;Crispld2;Egr3;Cd36;Per3;Pepd;Ern1;Tef;Nr1d2;Sox18;Gabra3;G0s2;Hinfp;Fkbp5;Sema6b;Slco2b1;Tnxb;Tbcel;Cxcl2;Rbm3,0.903534,-0.37832,-0.561018,-0.198228,0.099516,-0.055191,0.313774,0.525214,0.362155,0.711213,-0.24641,-0.412188,-0.061401
FOXD1 (human),6,Tef;Tnxb;Clec3b;Pcdh11x;Ifit1;Fos,0.871806,-0.47187,-0.826226,-0.089089,-0.274515,-0.598847,0.079996,0.399937,0.039532,0.688961,0.346448,0.043663,0.740079
CREB1 (mouse),14,Fos;Fabp4;Pfkfb3;Bok;Rpa3;Gnb5;Mt1;Junb;Hinfp;Sema6b;Smpdl3b;Cebpb;Acsl3;Sele,0.836542,-0.548213,-0.817436,-0.264113,0.171064,-0.032235,0.385018,0.288329,0.100353,0.494863,0.08882,-0.145609,0.268302
PCBP1 (human),32,Cacna2d3;Samd5;Dusp1;Wnt9b;Spsb1;Flnc;Pfkfb3;Flt4;Igf2bp2;Itih5;Egr3;Lpar1;Tspan4;Enah;Per3;Ern1;Pthlh;Tef;Gpr161;Adarb1;Nr1d2;Sox18;Junb;Adra2c;Cebpb;Macf1;Glul;Zcchc24;Col6a1;Cdh11;Dock5;Dbp,0.833152,-0.452133,-0.597023,-0.288355,0.190268,0.055099,0.343309,0.381019,0.2383,0.513101,-0.119154,-0.288256,-0.005758
SP1 (human),31,Cacna2d3;Samd5;Dusp1;Wnt9b;Spsb1;Flnc;Pfkfb3;Aph1b;Flt4;Igf2bp2;Itih5;Egr3;Lpar1;Tspan4;Enah;Per3;Tef;Gpr161;Adarb1;Nr1d2;Sox18;Junb;Tpm2;Adra2c;Cebpb;Macf1;Glul;Zcchc24;Col6a1;Cdh11;Dbp,0.800519,-0.407988,-0.571875,-0.261484,0.128823,-0.010365,0.284033,0.392531,0.241307,0.535108,-0.113367,-0.286118,0.029391
MAX (human),26,Nr2f2;Phkg2;Crispld2;Egr3;Tef;Nr1d2;G0s2;Angptl4;Fkbp5;Slco2b1;Ucp2;Me3;Cd36;Per3;Pepd;Ern1;Slc6a6;Sox18;Hinfp;Sema6b;Fn3k;Cyp27a1;Tppp3;Tnxb;Tbcel;Cxcl2,0.794283,-0.28861,-0.468418,-0.090485,0.12064,-0.029375,0.365943,0.481127,0.332269,0.685547,-0.313157,-0.458578,-0.135822
XBP1 (human),10,Plce1;Fos;Lbh;Prkg1;Pi15;Tspan12;Slc12a8;Cxcl2;Thra;Rnd3,0.789761,0.378163,0.06252,0.690445,-0.411598,-0.670287,-0.115203,-0.167888,-0.404068,0.090835,0.201322,-0.084839,0.457996
