gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Chemokine signaling pathway,5,Prex1;Ccl11;Cxcl2;Ccl7;Ccl2,1.066444,0.083422,-0.276088,0.454695,0.37058,0.052877,0.70208,0.241862,-0.149415,0.513011,-0.695864,-1.03396,-0.218492
Circadian entrainment,6,Adcyap1r1;Gria4;Itpr3;Per3;Per2;Per1,0.998509,-0.605442,-0.836008,-0.281074,-0.032043,-0.240177,0.176477,0.393067,0.164665,0.578248,0.244418,-0.013141,0.517332
Cardiac muscle contraction,5,Atp1b1;Cox4i2;Cox6b2;Cacnb4;Tnnt2,0.970223,-0.590787,-0.880362,-0.226007,0.019401,-0.208695,0.275077,0.379436,0.157434,0.585531,0.19195,-0.040507,0.482615
Protein processing in endoplasmic reticulum,5,Pdia6;Hyou1;Hspa4l;Hsph1;Hspa5,0.945702,0.170144,-0.040632,0.407727,-0.171546,-0.425351,0.053038,-0.47215,-0.79614,-0.09865,0.473552,0.266825,0.698327
IL-17 signaling pathway,5,Mmp3;Cxcl2;Ccl11;Ccl7;Ccl2,0.945606,0.286517,-0.057993,0.614219,0.296479,-0.039421,0.606028,0.066131,-0.286569,0.358241,-0.649127,-0.913702,-0.263363
Drug metabolism,11,Gsta3;Hprt;Aldh3a1;Adh1;Aldh3b1;Gstm7;Fmo1;Fmo2;Fmo3;Fmo4;Cyp2e1,0.852952,-0.385346,-0.603024,-0.15573,-0.184619,-0.341188,-0.019817,0.467606,0.292109,0.628923,0.102358,-0.061868,0.300939
Chemical carcinogenesis,8,Gsta3;Gstm7;Cyp2b10;Cyp1b1;Aldh3a1;Cyp2e1;Adh1;Aldh3b1,0.809487,-0.372131,-0.591874,-0.058172,-0.081801,-0.2708,0.137107,0.437356,0.21082,0.665056,0.016577,-0.246084,0.276081
PI3K-Akt signaling pathway,5,Cdkn1a;Spp1;Pgf;Angpt2;Thbs1,0.745705,-0.345309,-0.58995,-0.047847,0.400396,0.178412,0.70734,0.204422,-0.041267,0.483971,-0.25951,-0.527071,0.027808
Metabolism of xenobiotics by cytochrome P450,7,Gsta3;Gstm7;Cyp1b1;Aldh3a1;Cyp2e1;Adh1;Aldh3b1,0.643581,-0.295041,-0.535452,0.036153,-0.017808,-0.260182,0.234832,0.34854,0.131511,0.577996,-0.035691,-0.282367,0.200852
MAPK signaling pathway,5,Cdc25b;Pgf;Cacnb4;Angpt2;Hspb1,0.631219,-0.400684,-0.64075,-0.049607,0.091993,-0.209524,0.380881,0.230535,-0.017179,0.504176,0.078156,-0.166594,0.28392
"Parathyroid hormone synthesis, secretion and action",5,Mmp14;Itpr3;Pld1;Cdkn1a;Sost,0.558777,0.016317,-0.266317,0.349882,0.28126,0.057221,0.520186,-0.277517,-0.638523,-0.014881,-0.020061,-0.332661,0.316135
PPAR signaling pathway,7,Hmgcs2;Dbi;Cpt1a;Sorbs1;Angptl4;Lpl;Scd2,0.478821,-0.085439,-0.271884,0.126053,0.287325,0.107728,0.46609,-0.010389,-0.224953,0.171098,-0.191496,-0.418532,0.017174
