gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
NR1H2 (human),7,Nr1d2;Pdk4;Socs2;A4galt;Plaur;Pik3ip1;Spata24,1.100607,-0.620886,-0.837573,-0.412113,0.234481,0.02918,0.493718,0.47972,0.268346,0.688525,-0.093314,-0.310589,0.203978
SP3 (human),23,Klf11;Bhlhe41;Tmem52;Sh3bp2;Lepr;Lingo1;Fndc5;Cpne7;Foxf1;Tspan4;Per3;Cbs;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Prdx6;Ankrd12;Glul;Atp1b1;Wee1;Nt5dc2,1.050122,-0.582321,-0.728528,-0.409214,0.116014,0.002154,0.25677,0.467801,0.35421,0.592702,-0.001493,-0.10934,0.125749
MZF1 5-13 (human),6,Fndc5;G0s2;Cdc25b;Csf2ra;Adamts14;Thbs1,1.03024,-0.57444,-0.9328,-0.224224,0.222502,-0.138624,0.510303,0.4558,0.175541,0.766138,-0.103862,-0.44432,0.187872
MYC (human),32,Larp6;Klf11;Bhlhe41;Myoc;Dgat2;Sh3bp2;Me3;Plekha6;Per3;Per1;Tcap;Cd55;Fam174b;Trdmt1;Cbs;Tef;Serpine1;Nr1d1;Nr1d2;Cyb561;G0s2;Fmo4;Tmem229b;Angptl2;Fkbp5;Ankrd12;Cpt1a;Sema3e;Tnnt2;Csf2ra;Aldh3b1;Wee1,1.007816,-0.578489,-0.714259,-0.453249,0.207791,0.086869,0.325617,0.429327,0.338695,0.528511,-0.05863,-0.153006,0.057523
MTF1 (human),23,Prex1;Bhlhe41;Smtnl2;Tmem52;Zbtb16;Kcnd3;Lingo1;Cox4i2;Nova1;Foxf1;Tspan4;Per3;Taf1c;Cyp1b1;St3gal4;Angptl4;Igfbp3;Pgf;Cacnb4;Svil;Aldh3a1;Csf2ra;Dbp,0.995787,-0.559053,-0.707711,-0.415462,0.153649,0.037563,0.265266,0.436734,0.310161,0.552748,-0.031331,-0.189217,0.112385
CREB1 (human),38,Ch25h;Dgat2;Mbd1;Cdc25b;Slc10a6;Vmo1;Pld1;Trdmt1;Tef;Nr1d2;Angptl4;Aifm3;Pgf;Magt1;Lonrf1;Rbm3;Smtnl2;Tmem52;Has1;Fam13a;Spon2;Tspan4;Ctsk;Acaa2;Sox12;Fmo4;Ccl11;Fam107a;Itpr3;Tnnt2;Ptgfr;Glul;Tsc22d3;Fam180a;Aldh3a1;Csf2ra;Aldh3b1;Nt5dc2,0.984947,-0.559834,-0.690247,-0.44709,0.032894,-0.069002,0.140081,0.425114,0.319017,0.508137,0.101825,0.009889,0.203386
PCBP1 (human),26,Klf11;Bhlhe41;Kcna2;Tmem52;Sh3bp2;Lepr;Lingo1;Egr3;Foxf1;Tspan4;Per3;Camkk2;Add2;Cbs;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Prdx6;Ankrd12;Glul;Atp1b1;Dbp;Wee1;Nt5dc2,0.936547,-0.51001,-0.661319,-0.340474,0.172439,0.066194,0.283394,0.426537,0.314746,0.544375,-0.088965,-0.216014,0.046595
IRF2 (mouse),17,Dlx6;Enpp2;Gfod2;Cbs;Mab21l2;Cst6;Lmo2;Gsta3;Sh3bp2;Pabpc1l;Snx8;A4galt;Fmo3;Smpdl3b;Sema3e;Tsc22d3;Fibin,0.887228,-0.499195,-0.687728,-0.274959,-0.065288,-0.267789,0.119866,0.388032,0.243848,0.521781,0.176451,0.002818,0.359304
SP1 (human),29,Klf11;Bhlhe41;Tmem52;Sh3bp2;Lepr;Lingo1;Lcn8;Fndc5;Cpne7;Egr3;Foxf1;Tspan4;Nfil3;Per3;Marveld1;Cbs;Sox12;Tef;Cyp1b1;St3gal4;Nr1d2;Prdx6;Ankrd12;Tnnt2;Glul;Atp1b1;Dbp;Wee1;Nt5dc2,0.872134,-0.475899,-0.619737,-0.323984,0.092042,-0.013228,0.218622,0.396235,0.308895,0.505074,-0.012378,-0.11024,0.096247
REL (human),9,Cadm1;Arntl;Nr1d1;Prg4;Cyb561;S100a4;Add2;Adamts4;Ccl7,0.84914,-0.127255,-0.322,0.153696,0.472492,0.278169,0.679956,0.031411,-0.150898,0.187128,-0.376648,-0.574517,-0.129166
