gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
TP53 (mouse),5,Cuedc1;Mfap4;Lyz1;Klf9;Ddit4,1.210775,-0.433072,-0.81467,-0.010025,-0.268103,-0.599977,0.174468,-0.076527,-0.467325,0.309982,0.777703,0.407001,1.095772
APEX1 (human),6,Amz1;Lars2;Il1b;Ccnb1ip1;Gramd3;Dnase1l3,1.206446,-0.181856,-0.565474,0.34363,0.60477,0.178095,1.031583,-0.601676,-0.981535,-0.224526,0.178763,-0.205582,0.587847
NRF1 (human),7,Acot13;Bccip;Cd7;Tef;Nr1d1;Gramd3;Hist1h2ae,1.198643,-0.63249,-1.008713,-0.206816,0.129791,-0.222771,0.425589,0.566152,0.208433,0.957072,-0.063453,-0.408866,0.292397
TEAD4 (human),10,Pdgfc;Fn1;Bhlhe41;Pim1;Tspan4;Inppl1;Tef;Nr1d2;Nfib;Dbp,1.153048,-0.166629,-0.496429,0.208516,-0.566709,-0.831497,-0.241336,0.586339,0.345059,0.83218,0.146999,-0.106476,0.412736
IRF2 (mouse),8,Crym;Hepacam2;Ctse;Gpr141;Rnf135;Ebf1;Adrb2;Vsig4,1.128442,-0.491624,-0.892698,-0.076729,0.636817,0.284611,0.935534,-0.09843,-0.442562,0.303994,-0.046763,-0.350233,0.319729
PCBP1 (human),11,Pdgfc;Bhlhe41;Snn;Pim1;Tspan4;Per3;Inppl1;Tef;Nr1d2;Nfib;Dbp,1.116612,-0.288164,-0.629628,0.00415,-0.453294,-0.721875,-0.179894,0.663319,0.434897,0.948587,0.078139,-0.205046,0.341992
SMAD4 (human),10,Mmp13;Acot13;Ifit2;Pim1;Gngt2;Cd69;Mmp9;Runx3;Gdf15;Vsig4,1.090195,-0.246452,-0.54128,0.050528,0.645721,0.401451,0.919827,-0.444474,-0.787984,-0.103443,0.045204,-0.247186,0.404427
SMAD4 (mouse),7,Pdgfc;Dusp2;Cuedc1;Nfib;Mfap4;Cdk14;Phlpp2,1.089855,-0.40752,-0.787997,0.036299,-0.162735,-0.480865,0.17298,-0.112081,-0.453007,0.232658,0.682335,0.326495,0.931725
NR3C1 (mouse),11,Pdgfc;Etfa;Il10;Hepacam2;Ccr2;Cd69;Samd9l;Filip1;Eln;Parp14;Bcl2a1d,1.071891,0.233627,-0.100073,0.561412,-0.159855,-0.399965,0.132535,-0.572831,-0.829798,-0.275996,0.499059,0.214409,0.812898
FOXO3A (mouse),6,Atad2;Ifi47;Ifit2;Cd79a;Socs3;Odf2l,1.066606,0.000371,-0.386065,0.405411,0.00601,-0.374587,0.36691,-0.536493,-0.903555,-0.124582,0.530113,0.112569,0.860232
ZFHX3 (human),8,Srbd1;Rgs1;Crym;Plac8;Tk1;Gramd3;Sema4b;Cd79a,1.05584,-0.316242,-0.684798,0.073199,0.739598,0.409674,1.113356,-0.230608,-0.602198,0.247894,-0.192748,-0.494374,0.169105
CREB1 (mouse),5,Cenpk;Acot13;Zfp202;Mkrn2;Cx3cr1,1.048848,0.703189,0.177705,1.188793,-0.063438,-0.483206,0.341599,-0.345659,-0.728747,0.047658,-0.294092,-0.768767,0.154706
MIR133B (human),8,Dusp2;Tspan4;Cuedc1;Cytip;Plac8;Runx3;Aqp1;Dnase1l3,1.018355,-0.635993,-0.991028,-0.256184,0.104013,-0.215616,0.435933,0.149618,-0.211737,0.482231,0.382362,0.068555,0.732147
