gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
African trypanosomiasis,6,Hbb-bs;Hbb-bt;Fas;Plcb1;Hba-a1;Hba-a2,1.619861,-0.585737,-0.707183,-0.464507,0.371899,0.197373,0.540103,-0.703012,-0.853209,-0.553787,0.916849,0.744424,1.070633
Glutathione metabolism,5,Gsta4;Chac1;Rrm2;Gstt1;Oplah,0.740178,-0.101146,-0.322515,0.135717,-0.393761,-0.635239,-0.112582,0.14849,-0.076459,0.358569,0.346417,0.126785,0.532612
Chemical carcinogenesis,6,Gsta4;Cyp2b10;Cyp1b1;Ephx1;Gstt1;Sult1a1,0.719472,-0.172823,-0.359859,0.08654,-0.402578,-0.574223,-0.18684,0.258508,0.077602,0.444177,0.316893,0.160659,0.477958
Glutamatergic synapse,6,Homer2;Adcy7;Gng2;Gng10;Glul;Plcb1,0.689995,-0.374829,-0.595398,-0.129173,-0.084965,-0.271507,0.128408,0.315165,0.157785,0.499227,0.144629,-0.007166,0.30549
ErbB signaling pathway,5,Ereg;Pik3r3;Pak4;Cdkn1a;Camk2b,0.646173,0.323787,0.153516,0.459535,0.169018,-0.007278,0.332673,-0.322386,-0.537134,-0.070024,-0.170419,-0.358589,0.08256
Mineral absorption,5,Mt1;Mt2;Atp1b1;Trf;Slc8a1,0.631272,-0.380782,-0.598971,-0.141102,0.227855,0.085585,0.406042,0.25049,0.07115,0.411421,-0.097563,-0.329957,0.10109
Circadian entrainment,10,Adcy7;Gng2;Rasd1;Gng10;Fos;Per3;Per2;Per1;Plcb1;Camk2b,0.62342,-0.294124,-0.452658,-0.141115,-0.019011,-0.139849,0.121514,0.329296,0.214647,0.446517,-0.016161,-0.148953,0.116235
Terpenoid backbone biosynthesis,5,Fdps;Idi1;Hmgcs2;Hmgcs1;Mvd,0.62192,0.1054,-0.046019,0.299356,-0.283497,-0.520647,-0.043819,-0.160325,-0.382186,0.045746,0.338423,0.204986,0.465338
GABAergic synapse,5,Gabrq;Adcy7;Gng2;Gng10;Glul,0.603369,-0.341371,-0.61219,-0.079754,-0.043438,-0.232612,0.174984,0.261998,0.093786,0.454318,0.122811,-0.106883,0.302296
Drug metabolism,9,Upb1;Gsta4;Gstt1;Rrm2;Fmo1;Fmo2;Fmo3;Fmo4;Upp2,0.597024,-0.154882,-0.314919,0.063413,-0.319349,-0.519904,-0.15137,0.277675,0.144844,0.432056,0.196556,0.044208,0.339881
Circadian rhythm,10,Nr1d1;Per3;Per2;Bhlhe40;Per1;Bhlhe41;Cry1;Clock;Npas2;Arntl,0.475401,-0.052233,-0.2041,0.131458,-0.017147,-0.166484,0.147207,0.272391,0.129136,0.399191,-0.203011,-0.366545,-0.063398
Gap junction,7,Adrb1;Htr2a;Adcy7;Drd1;Plcb1;Pdgfc;Pdgfb,0.419971,-0.276795,-0.430369,-0.11901,0.143176,-0.013631,0.344611,0.111545,-0.04685,0.242505,0.022073,-0.17069,0.187633
Endocytosis,7,Hspa1a;Hspa1b;Asap2;Ldlr;Fgfr2;Hspa8;Grk5,0.413425,0.13705,0.012185,0.251601,-0.02075,-0.150717,0.107468,-0.264863,-0.421294,-0.131944,0.148562,0.023572,0.24853
Amphetamine addiction,5,Creb3l1;Drd1;Fos;Ppp1r1b;Camk2b,0.412885,-0.138011,-0.350227,0.12446,0.253632,0.094472,0.450558,0.043632,-0.202489,0.279848,-0.159253,-0.369931,0.066863
Viral carcinogenesis,10,Cdc20;Hist1h4c;Hist1h4d;Creb3l1;Egr2;Cdkn2b;Cdkn1a;Nfkbia;Irf7;Pik3r3,0.386957,0.001284,-0.121226,0.147117,0.138187,-0.003876,0.262874,-0.248769,-0.410146,-0.125583,0.109299,-0.003618,0.232591
Aldosterone synthesis and secretion,10,Atp1b1;Adcy7;Creb3l1;Ldlr;Nr4a2;Nr4a1;Agtr1a;Kcnk3;Plcb1;Camk2b,0.376478,0.130815,-0.005258,0.277458,0.142001,-0.004724,0.275996,-0.038339,-0.128667,0.070637,-0.234477,-0.357945,-0.073092
"Parathyroid hormone synthesis, secretion and action",8,Adcy7;Creb3l1;Nr4a2;Mmp14;Pde4b;Fos;Plcb1;Cdkn1a,0.37579,0.22709,0.089523,0.354435,0.03032,-0.096033,0.132729,-0.108709,-0.269416,0.022978,-0.148701,-0.296178,-0.028366
Olfactory transduction,8,Rgs2;Slc8a1;Slc8a3;Olfr1034;Slc24a4;Olfr224;Ncald;Camk2b,0.375012,-0.043921,-0.226902,0.160776,0.114932,-0.042727,0.242285,0.152,0.052803,0.283686,-0.223012,-0.362354,-0.074228
cAMP signaling pathway,17,Adcy7;Creb3l1;Ppp1r1b;Hhip;Sox9;Adrb1;Fos;Npy1r;Atp1b1;Bdnf;Nfkbia;Pik3r3;Pde4b;Drd1;Tshr;Camk2b;Tnni3,0.347988,-0.176331,-0.282566,-0.073306,0.171656,0.074437,0.287084,0.144577,0.055047,0.241996,-0.139902,-0.254239,-0.019952
Arrhythmogenic right ventricular cardiomyopathy (ARVC),6,Itga1;Itga4;Actn2;Lama2;Itgb3;Slc8a1,0.347953,0.177836,0.026469,0.304649,0.020513,-0.114777,0.140248,-0.170116,-0.361429,-0.025368,-0.028233,-0.147062,0.109261
Thyroid hormone signaling pathway,7,Atp1b1;Rcan1;Pik3r3;Wnt4;Plcb1;Thra;Itgb3,0.338413,0.175709,0.01836,0.328382,0.118158,0.011931,0.259403,-0.162704,-0.320108,0.007971,-0.131163,-0.280133,0.031395
Bile secretion,5,Atp1b1;Adcy7;Abcb1b;Ldlr;Ephx1,0.33336,-0.147264,-0.33671,0.031017,-0.142809,-0.3557,0.064335,0.186095,0.032908,0.35982,0.103978,-0.071416,0.276306
Phospholipase D signaling pathway,9,Dgkg;Adcy7;Kitl;Pdgfc;Pdgfb;Sphk1;Agtr1a;Pik3r3;Plcb1,0.331972,-0.086432,-0.260407,0.066949,0.179219,0.051612,0.351238,0.059967,-0.090632,0.202658,-0.152753,-0.315245,0.010137
Adrenergic signaling in cardiomyocytes,11,Atp1b1;Mapk12;Adcy7;Creb3l1;Tnnc1;Agtr1a;Adrb1;Plcb1;Camk2b;Slc8a1;Tnni3,0.32821,-0.096942,-0.255767,0.042876,0.133387,0.002835,0.301222,0.145882,0.024693,0.285575,-0.182327,-0.372505,0.002475
Protein processing in endoplasmic reticulum,14,Hspa1a;Hspa1b;Hsp90b1;Pdia6;Hyou1;Hsph1;Hspa5;Hspa8;Ube2g1;Dnajc1;Dnajb2;Dnaja1;Ddit3;Herpud1,0.312274,0.006395,-0.074858,0.089054,-0.047105,-0.141348,0.050639,-0.135782,-0.229595,-0.050135,0.176492,0.083139,0.270291
IL-17 signaling pathway,6,Mmp3;Nfkbia;Mapk12;Hsp90b1;Fos;Cebpb,0.307668,0.052742,-0.12176,0.266743,-0.157192,-0.316726,-0.013379,0.150476,0.033842,0.317734,-0.046025,-0.219069,0.127821
Dopaminergic synapse,11,Mapk12;Arntl;Gng2;Creb3l1;Ppp1r1b;Gng10;Drd1;Fos;Clock;Plcb1;Camk2b,0.281582,0.036119,-0.086642,0.204525,0.167687,0.041786,0.28763,-0.08991,-0.22105,0.035098,-0.113896,-0.262901,0.008753
Alcoholism,13,Hist1h4c;Hist1h4d;Gng2;Creb3l1;Ppp1r1b;Gng10;Hist1h3e;Hist3h2a;Hist2h2aa1;Hist2h3c2;Hat1;Bdnf;Drd1,0.280314,-0.16526,-0.295514,-0.038324,0.115054,-0.024638,0.243091,-0.026028,-0.123911,0.098192,0.076234,-0.037955,0.180757
Apelin signaling pathway,12,Serpine1;Adcy7;Gng2;Ccn2;Gng10;Sphk1;Agtr1a;Klf2;Plcb1;Slc8a1;Mylk4;Slc8a3,0.274039,-0.130838,-0.277015,0.025116,0.143202,0.022041,0.268094,0.03743,-0.086426,0.17892,-0.049794,-0.159249,0.086202
Rap1 signaling pathway,15,Mapk12;Pfn1;Adcy7;Kitl;Pdgfc;Pdgfb;Vegfd;Id1;Rapgef5;Plcb1;Csf1;Fgfr2;Angpt4;Pik3r3;Itgb3,0.265675,-0.108673,-0.218349,0.021814,-0.062404,-0.185612,0.048952,0.157002,0.05749,0.26926,0.014075,-0.092187,0.106898
Signaling pathways regulating pluripotency of stem cells,15,Wnt5a;Mapk12;Fzd4;Inhbb;Fgfr2;Axin2;Wnt16;Id1;Id3;Id2;Id4;Dlx5;Pik3r3;Wnt4;Klf4,0.210431,-0.000628,-0.107165,0.1069,-0.059157,-0.169781,0.05862,0.135108,0.025354,0.255056,-0.075323,-0.187084,0.037335
MAPK signaling pathway,28,Ereg;Mapk12;Hspa1a;Hspa1b;Kitl;Pdgfc;Pdgfb;Cd14;Dusp1;Vegfd;Dusp8;Mecom;Fos;Tgfb3;Tgfb2;Cdc25b;Fas;Mapkapk3;Csf1;Map3k6;Fgfr2;Nr4a1;Angpt4;Bdnf;Hspa8;Hspb1;Mknk2;Ddit3,0.163932,-0.087306,-0.159735,-0.020477,-0.037329,-0.11959,0.037135,0.048008,-0.024457,0.134336,0.076627,0.007149,0.151903
