gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Pax6 (human),9,Hat1;Hfe;Pkig;Lxn;Sult1a1;Banp;Gnl1;Tfap4;Smpdl3b,0.641048,-0.300549,-0.465,-0.058892,-0.209578,-0.335643,-0.055685,0.340499,0.239268,0.488728,0.169628,0.06332,0.274793
FEV (human),7,Cd74;Rfx2;Hes6;Ank3;Ccnb1ip1;Gnl1;Fhl3,0.62332,0.013227,-0.194349,0.219215,0.364859,0.199637,0.505284,-0.119624,-0.320939,0.100621,-0.258461,-0.476155,-0.016756
MYC (human),66,Haghl;Upb1;Ngef;Atf3;Psmd9;Hes1;Klf11;Klf15;Pdgfb;Bhlhe40;Bhlhe41;Egln3;Dgat2;Fabp3;Mapkapk3;Hsp90b1;Has3;Pcyt2;Unc5b;Unc5d;Hnrnpa1;Actn2;Crispld2;Epb41;Ppp1r3b;C4b;Commd8;Ppp1r1b;Ccdc107;Per3;Per1;Tcap;Herpud1;Stbd1;Rgs2;Prr7;Tef;Asb2;Serpine1;Fam120c;Mthfr;Nr1d1;Nr1d2;Bloc1s1;Cyb561;Rnf145;Fmo4;Tmem229b;Angptl2;Tmem38b;Snrpn;Ankrd23;Enkur;Fkbp5;Sbsn;Rbbp4;Selenbp1;Dnaja1;Slc24a4;Eif5a2;Rpusd4;Aldoa;Gdf15;Cdh16;Axin2;Wee1,0.541489,-0.26974,-0.329002,-0.193113,0.056301,-0.010064,0.101833,0.271749,0.214543,0.326593,-0.05831,-0.118221,-0.004159
ATF1 (human),8,Kcnc4;Phgdh;Dpy19l3;Mnt;Fam107a;Abhd11;Trim58;Prc1,0.538019,-0.268812,-0.445268,-0.146633,-0.096289,-0.27534,0.070967,0.269208,0.134198,0.43643,0.095893,-0.032459,0.22502
Sox5 (mouse),18,Prex2;Gbp5;Pawr;Peli1;Rspo3;Snrpn;Csf1;Ppef1;Mylk4;Rhebl1;Rin3;Apcdd1;Tmem50b;Capsl;Cd74;Pde7a;Hba-a1;Hba-a2,0.506891,-0.261842,-0.367237,-0.165183,-0.042999,-0.147481,0.043953,0.059792,-0.022577,0.151795,0.245049,0.142393,0.334098
CRX (human),35,Psmd9;Sult1a1;Tmc7;Mbd2;Hat1;Has3;Synpo2l;Aph1a;Tspan15;Rsad1;Scn2b;Tspan9;Cd14;Id1;Socs2;Pnpla2;Fdps;Rbm14;Trib3;Hnrnpm;Nr1d1;Slc16a11;Bloc1s1;Gramd1c;Fkbp5;Cys1;Smpdl3b;Rhebl1;Dpf1;Aldoa;Nqo1;Gdf15;Cdk2ap1;Hspb1;Wee1,0.499163,-0.283811,-0.354694,-0.198321,-0.015659,-0.101719,0.06412,0.215351,0.146571,0.289841,0.084119,0.008671,0.149228
USF1 (human),60,Upb1;Ngef;Atf3;Hes1;Klf11;Klf15;Pdgfb;Hsph1;Bhlhe40;Bhlhe41;Fabp3;Hsp90b1;Has3;Fam13a;Unc5d;Upp2;Hnrnpa1;Actn2;Tm4sf1;Crispld2;Epb41;Ppp1r3b;Commd8;Ppp1r1b;Ccdc107;Per3;Per1;Herpud1;Prr7;Tef;Asb2;Serpine1;Fam120c;Mthfr;Nr1d2;Gnl1;Cyb561;Rnf145;Tmem229b;Angptl2;Slc8a3;Tmem38b;Snrpn;Ankrd23;Enkur;Fkbp5;Sbsn;Rhobtb1;Selenbp1;Dnaja1;Slc24a4;Rhebl1;Pfn1;Eif5a2;Rpusd4;Tgfb3;Cdh16;Axin2;Wee1;Rbm3,0.484683,-0.246522,-0.302138,-0.178848,0.017435,-0.043926,0.064798,0.238161,0.191009,0.289335,-0.009074,-0.068899,0.051969
SOX10 (mouse),10,Tob2;Slc37a2;Lingo1;Serinc3;Unc5d;Dclk1;Mapk12;Lman2l;Hist3h2a;Ddit3,0.480598,-0.248907,-0.408534,-0.078705,-0.007061,-0.12855,0.118216,0.231691,0.08314,0.362749,0.024278,-0.12547,0.185734
Nr2e3 (mouse),6,Nr4a2;Caprin2;Sphk1;Marcksl1;Gpr146;Zdhhc23,0.47806,-0.190904,-0.371074,-0.026391,0.241003,0.055648,0.413756,0.186958,0.052034,0.34953,-0.237057,-0.447385,-0.008027
SMAD3 (human),6,Tgfb3;Foxf1;Serpine1;Eln;Npas4;Ankrd1,0.476484,0.161852,0.020429,0.303291,0.130574,-0.018304,0.246231,-0.314632,-0.470848,-0.145459,0.022206,-0.095447,0.144096
