gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
ECM-receptor interaction,3,Comp;Spp1;Thbs1,1.920196,-0.21018,-0.720538,0.502938,-1.025814,-1.743373,-0.380708,0.894382,0.462058,1.401607,-0.1344,-0.836908,0.425779
Cholesterol metabolism,3,Apoc1;Angptl4;Lpl,1.544126,-0.522609,-1.390651,0.257661,-0.246908,-0.893448,0.297598,-1.408678,-2.167169,-0.501531,0.135448,-0.692138,0.865268
Phagosome,3,Comp;Tlr4;Thbs1,1.50931,-0.329692,-0.948147,0.441286,-0.799369,-1.318839,-0.289215,0.709941,0.187815,1.193997,0.290663,-0.293662,0.966295
Arachidonic acid metabolism,3,Pla2g2e;Cyp2b10;Cyp2e1,1.499762,-0.837732,-1.669259,-0.15894,0.341968,-0.561242,1.07189,-1.157794,-2.128501,-0.247446,-0.663097,-1.350232,0.004766
Ether lipid metabolism,4,Pla2g2e;Pld1;Enpp2;Enpp6,1.353172,-0.943768,-1.504111,-0.327583,0.409404,-0.146885,0.88403,-0.159371,-0.769558,0.370204,0.083624,-0.602008,0.694937
Focal adhesion,5,Comp;Spp1;Pgf;Pik3r3;Thbs1,1.206642,-0.288037,-0.795113,0.154512,-0.677616,-1.14576,-0.223105,0.529026,0.084971,0.930001,0.178157,-0.481589,0.709126
Steroid hormone biosynthesis,4,Hsd11b2;Cyp2b10;Cyp1b1;Cyp2e1,1.201878,-0.931132,-1.567951,-0.218036,0.270746,-0.541068,0.741411,-0.614215,-1.237168,-0.030426,-0.550759,-1.117806,0.156934
TNF signaling pathway,7,Creb3l1;Mmp3;Il6;Mmp14;Pik3r3;Cxcl2;Ccl2,0.904087,0.735967,0.312899,1.20454,-0.168119,-0.625328,0.232559,-0.06593,-0.578427,0.393487,0.02538,-0.43634,0.567124
PI3K-Akt signaling pathway,11,Creb3l1;Tlr4;Cdkn1a;Comp;Spp1;Pgf;Hsp90aa1;Angpt2;Il6;Pik3r3;Thbs1,0.59011,0.10026,-0.219876,0.369455,-0.411473,-0.746679,-0.152523,0.178637,-0.122156,0.427012,0.006399,-0.320535,0.390643
Drug metabolism,13,Gsta4;Gsta3;Hprt;Aldh3a1;Adh1;Aldh3b1;Nme3;Gstm7;Fmo1;Fmo2;Fmo3;Fmo4;Cyp2e1,0.585621,-0.543921,-0.962484,-0.204719,-0.025761,-0.363393,0.30756,0.0417,-0.25889,0.284346,-0.112273,-0.49071,0.191039
Metabolism of xenobiotics by cytochrome P450,8,Gsta4;Gsta3;Gstm7;Cyp1b1;Aldh3a1;Cyp2e1;Adh1;Aldh3b1,0.563995,-0.574837,-1.061784,-0.113792,-0.010843,-0.384881,0.42921,-0.094919,-0.464415,0.258858,-0.089198,-0.471365,0.296595
