gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Pax6 (human),3,Ezr;Ptx3;Smpdl3b,1.331322,0.167878,-0.473237,0.796222,-0.808682,-1.442436,-0.171977,0.52264,-0.475486,1.127328,-0.195026,-0.819416,0.280073
NFIA (human),30,Hsph1;Cyp2e1;Hp;Sh3bp2;Slc25a47;Osgin1;Tmem86a;Ppp1r1b;Herpud1;Enpp2;Rarres1;Chchd10;Cytl1;Tnfaip2;Marveld1;Gfod2;Tef;Cntfr;Cyb561;Ahsg;Angptl7;Fkbp5;Notch4;Kcnj15;Sema3e;Tnnt2;Cst6;Usp54;Cabp1;Aldh3b1,0.968845,-0.61921,-0.860015,-0.385666,0.349636,0.125591,0.582754,-0.138738,-0.328026,0.071603,0.069837,-0.161356,0.294038
NKX3-1 (human),5,Rnf144a;Emb;Dhcr24;Dtx4;Hspb1,0.936472,0.573676,0.103919,1.068298,-0.362796,-0.752081,-0.012834,-0.272933,-0.864379,0.300673,0.184606,-0.335761,0.668324
FOXO3A (mouse),9,Cacnb4;Sord;Socs2;Magt1;Taf1c;Chchd10;Isg15;Lox;Gfod2,0.74555,-0.446682,-0.772882,-0.111268,0.298868,-0.111557,0.657754,-0.164117,-0.478123,0.163867,0.142655,-0.306797,0.502283
KLF5 (human),37,Klf11;Rapgef5;Hsd11b2;Zbtb16;Cdc25b;Cxcl12;Trim67;Tnfrsf25;Cox4i2;Nova1;Ece1;Cpne7;Egr3;Ppp1r1b;Adcyap1r1;Socs2;Vmo1;Taf1c;Rasgef1b;Cbs;Sox12;Tef;St3gal4;Angptl4;Fkbp4;Cys1;Erf;Ankrd12;Cdc14a;Itpr3;Cpt1a;Smpdl3b;Ezr;Atp1b1;Aldh3b1;Hspa8;Nt5dc2,0.708722,-0.505988,-0.66647,-0.340672,0.202734,-0.012713,0.410272,0.092372,-0.118118,0.306098,0.05458,-0.179775,0.25962
IRF2 (mouse),23,Dlx6;Enpp2;Rasgef1b;Gfod2;Ptx3;Cbs;Dio2;Mab21l2;Meox1;Cst6;Lmo2;Gsta3;Sh3bp2;Pabpc1l;Snx8;A4galt;Il6;Fmo3;Dhcr24;Smpdl3b;Sema3e;Tsc22d3;Fibin,0.701759,-0.465405,-0.708228,-0.20173,0.07422,-0.205923,0.317178,0.236354,-0.004123,0.459349,0.091747,-0.15754,0.316557
IKZF1 (human),17,Cox4i2;Pnpla2;Vmo1;Rarres1;Spata24;Fam107a;Rhobtb1;Klf2;Smpdl3b;Adamts4;Ifit3;Cst6;Cabp1;Aldh3b1;Agap2;Hspb1;Pik3ip1,0.700192,-0.489378,-0.825398,-0.153304,0.210814,-0.116704,0.495637,0.101231,-0.281979,0.391941,0.190761,-0.092938,0.530271
HMGA1 (human),35,Larp6;Mthfd2;Hpgd;F13a1;Has1;Ccl8;Enpp2;Enpp6;Klhl13;Mmp3;Vcan;Pik3r3;Pld1;Trdmt1;Ptx3;Plac8;Timp4;Fmo2;Fmo3;Fmo4;Angptl7;Angptl4;Dio2;Esrrg;Angpt2;Kcnj15;Tnmd;Slc24a5;Sema3e;Meox1;Npy1r;Gsta3;Hoxa10;Plcxd3;Clock,0.694192,-0.373338,-0.573367,-0.167683,-0.109132,-0.296989,0.070302,0.061636,-0.134758,0.22545,0.320854,0.096384,0.49946
MYC (human),45,Larp6;Klf11;Klf15;Cilp;Bhlhe41;Myoc;Dgat2;Tmem51;Slc27a1;Sh3bp2;Me3;Plekha6;Ppp1r1b;Per3;Per1;Tcap;Herpud1;Stbd1;Cd55;Fam174b;Rgs7;Trdmt1;Cbs;Tef;Serpine1;Nr1d1;Nr1d2;Stmn1;Cyb561;G0s2;Fmo4;Tmem229b;Angptl2;Fkbp5;Ankrd12;Cpt1a;Selenbp1;Dnaja1;Apoc1;Sema3e;Tnnt2;Meox1;Csf2ra;Aldh3b1;Wee1,0.682897,-0.455214,-0.616499,-0.240914,0.227683,0.065188,0.418954,-0.058685,-0.233405,0.108057,-0.01895,-0.206335,0.137506
Nkx2-5 (mouse),7,Tspyl5;Hsph1;Ccl11;Hsp90aa1;Ctsk;Arap2;Trdmt1,0.680577,-0.203971,-0.621769,0.314872,0.00523,-0.400859,0.338093,0.476606,0.065737,0.854159,-0.058039,-0.459442,0.339423
