gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Cholesterol metabolism,5,Stard3;Ldlr;Nceh1;Angptl4;Lpl,0.745777,-0.456779,-0.839156,-0.086812,-0.034791,-0.357083,0.400925,0.288998,0.050294,0.613534,0.153639,-0.193216,0.456417
Endocytosis,8,Hspa1a;Hspa1b;Asap2;Ldlr;Fgfr2;Hspa8;Cav1;Grk5,0.681437,0.658738,0.411018,0.866868,0.188336,0.033128,0.333909,0.153461,-0.085728,0.380045,-0.022699,-0.247739,0.179484
Steroid biosynthesis,5,Hsd17b7;Dhcr24;Msmo1;Cyp51;Sqle,0.56981,0.550008,0.213409,0.849213,0.041001,-0.360685,0.405799,0.149924,-0.245709,0.541929,-0.019802,-0.266346,0.216443
Glutamatergic synapse,8,Homer2;Adcy7;Gng2;Cacna1d;Gng10;Glul;Plcb1;Gnai1,0.564814,-0.342168,-0.568759,-0.118413,0.172815,-0.081975,0.465313,0.222645,-0.003339,0.461699,0.144941,-0.144421,0.415048
Antigen processing and presentation,8,Cd74;Hsp90aa1;Hspa5;Hspa8;Hspa1a;Hspa1b;Hsp90ab1;Ifi30,0.521328,0.54207,0.314643,0.759208,0.388949,0.205191,0.5776,0.280268,0.052193,0.487851,0.020742,-0.237154,0.245493
Gap junction,8,Adrb1;Htr2a;Adcy7;Drd1;Plcb1;Pdgfc;Pdgfb;Gnai1,0.48038,-0.129987,-0.463954,0.164293,0.350394,0.085096,0.649021,-0.064801,-0.334169,0.153154,0.101013,-0.169968,0.334305
ErbB signaling pathway,11,Jun;Ereg;Pik3r3;Myc;Pak4;Pak3;Pak6;Hbegf;Cdkn1a;Eif4ebp1;Camk2b,0.464367,0.357539,0.177549,0.559981,-0.054441,-0.21434,0.168413,-0.106828,-0.338219,0.139055,0.033086,-0.242204,0.269447
Thyroid hormone signaling pathway,9,Atp1b1;Myc;Slc16a10;Rcan1;Pik3r3;Wnt4;Plcb1;Thra;Itgb3,0.433415,0.408708,0.123567,0.660027,0.0548,-0.147653,0.307052,0.033221,-0.231215,0.301429,-0.024707,-0.272001,0.305395
Protein processing in endoplasmic reticulum,21,Hspa1a;Hspa1b;Hsp90b1;Xbp1;Pdia6;Hyou1;Cryab;Atf4;Hspa4l;Hsph1;Hsp90aa1;Hspa5;Hspa8;Ube2g1;Dnajc1;Dnajb2;Dnajb1;Dnaja1;Ddit3;Hsp90ab1;Herpud1,0.428597,0.392762,0.264261,0.503428,0.172397,0.073134,0.300274,0.139381,-0.002903,0.305011,-0.035835,-0.141635,0.073888
Spliceosome,8,Hnrnpm;Hspa1a;Srsf5;Hspa1b;Hspa8;Bcas2;Cdc40;Hnrnpa1,0.425482,0.443416,0.194316,0.652071,0.231572,0.068942,0.394779,0.239416,0.045312,0.434576,0.017934,-0.208878,0.262989
Longevity regulating pathway,11,Hspa1a;Hspa1b;Foxo3;Adcy7;Creb3l1;Cryab;Atf4;Irs2;Eif4ebp1;Hspa8;Pik3r3,0.379881,0.403954,0.245633,0.568361,0.257417,0.111353,0.434973,0.18031,0.005951,0.376328,0.024073,-0.151657,0.187278
TGF-beta signaling pathway,17,Tgfb3;Tgfb2;Bmp2;Id1;Bambi;Id3;Id2;Id4;Myc;Lefty1;Cdkn2b;Inhbb;Smad7;Smad6;Dcn;Fmod;Thbs1,0.345568,0.333356,0.128232,0.52198,-0.012212,-0.199349,0.135547,0.181136,-0.026791,0.363724,0.03406,-0.135636,0.195081
Estrogen signaling pathway,19,Hspa1a;Fkbp5;Fkbp4;Hspa1b;Adcy7;Hsp90b1;Creb3l1;Atf4;Jun;Hsp90aa1;Hspa8;Krt18;Rara;Pik3r3;Fos;Hbegf;Plcb1;Hsp90ab1;Gnai1,0.331774,0.287839,0.157818,0.407313,0.161194,0.01871,0.301303,0.125373,0.010364,0.282659,-0.043935,-0.179061,0.092658
cAMP signaling pathway,22,Adcy7;Creb3l1;Ppp1r1b;Hhip;Sox9;Jun;Adrb1;Fos;Ptger3;Gnai1;Npy1r;Atp1b1;Cacna1d;Bdnf;Htr1b;Nfkbia;Pik3r3;Pde4b;Drd1;Tshr;Camk2b;Tnni3,0.289093,-0.057005,-0.260871,0.131213,0.232088,0.06332,0.360026,0.076855,-0.08822,0.217988,0.011298,-0.139609,0.141619
Aldosterone synthesis and secretion,12,Atp1b1;Adcy7;Creb3l1;Ldlr;Nr4a2;Atf4;Cacna1d;Nr4a1;Agtr1a;Kcnk3;Plcb1;Camk2b,0.288735,0.252027,0.034301,0.466947,0.064147,-0.137031,0.208337,-0.036708,-0.262697,0.158754,0.066671,-0.156099,0.34168
Focal adhesion,19,Pdgfc;Pdgfb;Jun;Vegfd;Tnc;Tnr;Pak4;Pak3;Pak6;Col6a6;Itga1;Itga4;Cav1;Pik3r3;Vwf;Lama2;Itgb3;Thbs1;Mylk4,0.283209,0.190448,0.036914,0.364675,-0.024132,-0.174936,0.125362,-0.092761,-0.231118,0.0529,0.139265,-0.034125,0.28357
Hippo signaling pathway,18,Tgfb3;Tgfb2;Wnt5a;Serpine1;Myc;Ccn2;Fzd4;Smad7;Rassf2;Rassf4;Axin2;Wnt16;Bmp2;Id1;Id2;Limd1;Wnt4;Wtip,0.250768,0.241864,0.055541,0.459884,0.082337,-0.07838,0.254872,0.115419,-0.06969,0.269043,-0.008904,-0.161661,0.157786
Oxytocin signaling pathway,14,Adcy7;Cacnb2;Rcan1;Cacna1d;Eef2k;Rgs2;Jun;Fos;Plcb1;Cdkn1a;Camk2b;Gnai1;Mylk4;Ptgs2,0.249189,0.229286,0.038484,0.38849,0.009521,-0.1422,0.190224,0.001814,-0.182475,0.19756,-0.019903,-0.164861,0.145921
MAPK signaling pathway,38,Ereg;Mapk12;Hspa1a;Hspa1b;Myc;Kitl;Atf4;Pdgfc;Pdgfb;Cd14;Jun;Dusp1;Vegfd;Dusp8;Mecom;Fos;Kit;Tgfb3;Tgfb2;Cdc25b;Fas;Mapkapk3;Csf1;Map3k6;Cacnb2;Efna1;Fgfr2;Cacna1d;Nr4a1;Angpt4;Angpt2;Bdnf;Hspa8;Dusp16;Hspb1;Dusp10;Mknk2;Ddit3,0.192669,0.219903,0.091907,0.365096,0.103184,-0.005133,0.2137,0.104952,-0.009653,0.183015,0.027233,-0.089926,0.134962
