gene_set,num_genes,member_genes,max_amplitude,mean_ZT0,ci_lo_ZT0,ci_hi_ZT0,mean_ZT6,ci_lo_ZT6,ci_hi_ZT6,mean_ZT12,ci_lo_ZT12,ci_hi_ZT12,mean_ZT18,ci_lo_ZT18,ci_hi_ZT18
Pax6 (human),10,Prrx2;Hat1;Hfe;Pkig;Lxn;Sult1a1;Banp;Gnl1;Tfap4;Smpdl3b,0.611507,-0.269639,-0.524029,0.00138,0.173341,-0.095252,0.445354,0.341869,0.137676,0.531828,0.021655,-0.175865,0.178511
SMAD3 (human),6,Tgfb3;Foxf1;Serpine1;Eln;Npas4;Ankrd1,0.516193,0.447785,0.163577,0.764663,0.11356,-0.131538,0.388279,-0.068408,-0.369444,0.210178,0.010664,-0.233731,0.263695
NR1H2 (human),22,Psmd9;Nr1d2;Lxn;Tmc7;Mrpl27;Timp1;Kank4;Col14a1;Dnajb1;Xirp1;Bcas2;Aimp2;Pdk4;Ide;Sec14l1;Socs2;Elmo1;Plaur;Pik3ip1;Camk2b;Samhd1;Spata24,0.355372,-0.107973,-0.295203,0.069256,0.247399,0.089719,0.393454,-0.036379,-0.150593,0.105081,0.099245,-0.056722,0.238892
CRX (human),45,Psmd9;Baz1a;Sult1a1;Tmc7;Mbd2;Cenpa;Prrx2;Hat1;Rnft1;Has3;Fbxo31;Synpo2l;Aph1a;Tspan15;Rsad1;Scn2b;Tspan9;Cd14;Id1;Socs2;Spc24;Pnpla2;Fdps;Gpcpd1;Rbm14;Trib3;Hnrnpm;Serpinf1;Nr1d1;Slc16a11;Bloc1s1;Gramd1c;Fkbp5;Cys1;Efhb;Smpdl3b;Rhebl1;Por;Dpf1;Aldoa;Nqo1;Gdf15;Cdk2ap1;Hspb1;Wee1,0.329019,-0.162807,-0.2845,-0.017507,0.166213,0.063122,0.276493,0.056221,-0.035879,0.144945,0.101115,-0.002553,0.195153
MYC (human),79,Haghl;Upb1;Ngef;Atf3;Psmd9;Hes1;Klf11;Klf15;Pdgfb;Bhlhe40;Bhlhe41;Egln3;Dgat2;Fabp3;Tmem51;Bik;Mapkapk3;Foxo3;Hsp90b1;Has3;Pcyt2;Me3;Unc5b;Unc5d;Hnrnpa1;Actn2;Crispld2;Epb41;Ppp1r3b;C4b;Commd8;Ppp1r1b;Il16;Ccdc107;Per3;Per1;Tcap;Herpud1;Stbd1;Rgs2;Prr7;Tef;Asb2;Serpine1;Fam120c;Mthfr;Nr1d1;Nr1d2;Bloc1s1;Cyb561;Rnf145;G0s2;Fmo4;Tmem229b;Angptl2;Tmem38b;Snrpn;Ankrd23;Enkur;Fkbp5;Sbsn;Grb14;Rbbp4;Ankrd12;Cpt1a;Selenbp1;Dnaja1;Asph;Slc24a4;Lsp1;Eif5a2;Tnnt2;Rpusd4;Aldoa;Gdf15;Efna1;Cdh16;Axin2;Wee1,0.294672,-0.100545,-0.173078,-0.016433,0.194127,0.109074,0.278016,0.046956,-0.013972,0.104235,0.035108,-0.038495,0.113018
Sox5 (mouse),22,Prex2;Gbp5;Pawr;Peli1;Rspo3;Snrpn;Csf1;Ppef1;Hsp90aa1;Plekhg3;Fhl2;Mylk4;Rhebl1;Rin3;Apcdd1;Tmem50b;Capsl;Cd74;Pde7a;Pak3;Hba-a1;Hba-a2,0.275716,0.045124,-0.15546,0.231753,0.264739,0.058709,0.4902,0.117739,0.015322,0.227503,-0.010977,-0.159509,0.145665
KLF11 (human),83,Ngef;Hes1;Hes6;Gbp5;Klf12;Cryab;Pdgfb;Dusp8;Bhlhe40;Lag3;Prrx2;Rasl10b;Zbtb16;Cdc25b;Ly6e;Slc25a34;Hr;Kcnd3;Pim3;Marcksl1;Ntrk3;Cirbp;Mfsd10;Mapk12;Ppp1r1b;Wnk4;Rcor2;Ifi30;Tspan4;Rrad;Tcap;Nxph3;Asb10;Inhbb;Irf7;Rbm24;Prr7;Cck;Asb2;Serpine1;Flrt1;Mthfr;Nr1d1;Nr1d2;Pax1;Cyb561;Rnf152;Timp1;Dhrs3;Gpr146;Adamtsl5;Sbsn;Igfbp6;Mamstr;Fam107a;Abhd11;Ccdc42;Phactr3;Selenbp1;Cebpb;Lsp1;Haus8;Tnni3;Hsbp1l1;Pfn1;Cbfa2t3;Dpf1;Igsf8;Acvrl1;Adrb1;Mapre2;Tgfbi;Nol3;Ephx1;Nr4a2;Efna1;Espn;Nr4a1;Hspb7;Dbp;Cldn7;Thra;Camk2b,0.263855,-0.027161,-0.132257,0.050474,0.236694,0.160149,0.321839,0.032234,-0.043564,0.104438,0.140504,0.041794,0.244425
NR1I2 (human),63,Rfx2;Psmd9;Pkig;Tmc7;Mrpl27;Prrx2;Rnft1;Fam13a;Hsp90aa1;Prc1;Tspan15;Rsad1;Epb41;Herc3;Aimp2;Cd14;Ide;Socs2;Bbs5;Lax1;Plvap;Nexn;Myocd;Rbm14;Spata24;Hnrnpm;Tef;Parl;Serpinf1;Cyp1b1;Nr1d1;Gipc2;Angptl4;Adamtsl5;Sema4a;Rbbp4;Usp2;Efhb;Dnajb1;Xirp1;Selenbp1;P2rx5;Uba52;Cebpd;Lsp1;Prr5l;Adamts8;Arrdc2;Dpf1;Pdk4;Krt18;Nqo1;Faim2;Gdf15;Cdk2ap1;Hist1h2ae;Manba;Stil;Axin2;Idi1;Cldn7;Palld;Ddit3,0.252825,-0.140488,-0.236124,-0.044151,0.067681,-0.017647,0.163763,0.023082,-0.06864,0.098545,0.112336,0.024803,0.196105
USF1 (human),75,Upb1;Ngef;Atf3;Hes1;Klf11;Klf15;Pdgfb;Hsph1;Bhlhe40;Bhlhe41;Fabp3;Tmem51;Bik;Foxo3;Hsp90b1;Has3;Fam13a;Me3;Unc5d;Upp2;Hnrnpa1;Actn2;Tm4sf1;Crispld2;Epb41;Ppp1r3b;Commd8;Ppp1r1b;Il16;Ccdc107;Per3;Per1;Herpud1;Capn3;Cacna1d;Prr7;Tef;Asb2;Serpine1;Fam120c;Mthfr;Nr1d2;Gnl1;Cyb561;Rnf145;G0s2;Tmem229b;Angptl2;Slc8a3;Tmem38b;Snrpn;Ckm;Ankrd23;Enkur;Fkbp5;Sbsn;Ankrd12;Rhobtb1;Cpt1a;Selenbp1;Dnaja1;Asph;Slc24a4;Lsp1;Rhebl1;Pfn1;Eif5a2;Tnnt2;Rpusd4;Tgfb3;Efna1;Cdh16;Axin2;Wee1;Rbm3,0.251477,-0.103964,-0.187672,-0.010793,0.147513,0.060673,0.236224,0.061706,0.000623,0.135179,0.045104,-0.0259,0.125823
FOXF1 (mouse),15,Gbp5;Ndfip1;Slc16a10;Cbfa2t3;Vasn;Slc22a4;Pdgfc;Prdm16;Tmem38b;Rab36;Efna1;Axin2;Cpt1a;Apobr;Itgb3,0.247711,0.029483,-0.16364,0.235115,-0.042108,-0.219886,0.14676,0.045392,-0.153354,0.207896,0.205602,0.014242,0.389224
