gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
AC149090.1,15.66,4.1008,4.15,-9.1228
AW112010,6.27,1.6424,2.55,-10.1429
Acot13,8.97,2.3475,2.57,-10.6469
Aldh9a1,5.4,1.4129,3.92,-9.9477
Anp32e,9.56,2.5021,3.45,-9.6023
Api5,11.33,2.9657,3.17,-10.0048
Arid5b,13.59,3.5573,3.2,-10.3074
Basp1,12.27,3.2132,6.47,-9.4016
Ccl12,23.31,6.1031,16.95,-7.9865
Ccl7,18.43,4.8251,12.38,-8.2512
Ccr5,21.41,5.6041,2.05,-9.9227
Cd300a,5.4,1.4125,2.61,-9.1433
Cd9,6.23,1.6319,9.24,-9.8518
Cmc1,8.51,2.229,7.55,-10.5816
Dbp,12.91,3.379,18.24,-9.9234
Ddit4,8.99,2.3533,3.22,-10.2439
Etv3,19.98,5.2296,3.33,-9.5048
Fdx2,10.95,2.8674,2.33,-10.3981
Fkbp5,11.54,3.0201,5.69,-9.2279
G530011O06Rik,16.3,4.2665,3.11,-9.992
Gpr65,11.02,2.885,2.17,-9.194
H2-Aa,4.32,1.1314,6.43,-5.8423
H2-Q4,6.97,1.8246,2.6,-9.9775
Hax1,11.88,3.111,2.73,-10.7769
Hmbs,11.58,3.0319,2.17,-10.6805
Hmgb2,8.5,2.2263,11.86,-8.3745
Hspa1a,0.48,0.1253,7.94,-8.3475
Man1c1,3.05,0.7982,5.47,-9.5228
Mid1,18.37,4.8087,2.66,-10.331
Mir99ahg,18.54,4.8533,2.87,-10.0023
Mmp9,2.1,0.551,16.83,-9.0183
Mpeg1,6.55,1.7141,8.84,-9.105
Ndufb11,7.2,1.8859,2.7,-8.7676
Neat1,17.15,4.4901,4.16,-7.2203
Nmi,6.17,1.6165,3.15,-10.6485
Nr1d2,12.58,3.2924,5.2,-10.3172
Pdgfc,18.68,4.8915,3.96,-10.4305
Phf3,11.6,3.0369,2.27,-9.6417
Plk2,6.21,1.6267,3.0,-9.3763
Rab7b,15.14,3.963,2.24,-8.863
Rbbp7,9.99,2.6158,2.52,-9.8205
Retnla,23.97,6.2747,4.53,-6.0008
Sbno2,15.97,4.1818,5.39,-9.3802
Sf3a3,5.77,1.5116,2.55,-10.2052
Siglech,2.65,0.6928,2.3,-9.5315
Sin3b,11.46,2.9998,2.34,-9.4392
Slc7a8,4.64,1.215,2.32,-9.6273
Smc4,9.99,2.6148,6.7,-9.6835
Smu1,11.58,3.0309,2.59,-10.4348
Socs3,13.82,3.6175,2.47,-9.051
Stmn1,9.49,2.4847,22.67,-9.1946
Tagln,6.86,1.7966,13.05,-9.3382
Thra,9.51,2.4887,3.62,-10.6038
Tmbim1,19.77,5.177,2.41,-9.8436
Tmsb10,7.16,1.8733,2.69,-7.6567
Tppp3,18.85,4.9356,12.41,-9.9389
Tspan4,13.91,3.6409,4.23,-9.7584
Ulk2,17.39,4.5516,2.46,-9.6998
Zeb2,18.62,4.8745,3.06,-7.587
Zfp800,7.7,2.0165,2.39,-10.4802
