pathway,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
Metabolism of xenobiotics by cytochrome P450,6,Cyp1b1;Cbr2;Ephx1;Gsto1;Gstt2;Gstt1,8.0,5,12.833640996601755,4.278356098509536,11.0
Legionellosis,7,Hspa1l;Hspa8;Hspa2;Tlr2;Hspa1a;Hspa1b;Casp3,6.857142857142857,10,20.336529999833633,4.7242061603621766,21.0
Antigen processing and presentation,9,Hsp90aa1;Hspa5;Hspa1l;Hspa8;Hspa2;Tap2;Hspa1a;Hspa1b;Ifi30,6.666666666666667,10,20.93032600421941,4.222757067123254,21.0
Cortisol synthesis and secretion,6,Orai1;Adcy7;Ldlr;Nceh1;Creb5;Nr4a1,6.0,7,14.684909546501377,2.877550681016175,15.0
"Parathyroid hormone synthesis, secretion and action",6,Adcy7;Nr4a2;Creb5;Mmp14;Cdkn1a;Sost,6.0,7,20.05477466047798,7.01627347987104,15.0
Protein processing in endoplasmic reticulum,16,Hspa1l;Hspa1a;Hspa1b;Hsp90b1;Pdia6;Dnajc10;Hspa4l;Hsph1;Hsp90aa1;Hspa5;Hspa8;Hspa2;Nfe2l2;Dnajb2;Dnajb1;Dnaja1,6.0,10,20.415877565571588,2.5604776202103405,21.0
Gap junction,6,Htr2a;Adcy7;Csnk1d;Tubb4a;Pdgfb;Tuba1b,6.0,7,14.572182051573396,4.6194849422457205,15.0
Chemical carcinogenesis,6,Cyp1b1;Ephx1;Gsto1;Gstt2;Gstt1;Ptgs2,6.0,5,14.075735981844474,4.082800070520243,11.0
Terpenoid backbone biosynthesis,6,Fdps;Idi1;Hmgcs2;Hmgcs1;Pmvk;Mvd,6.0,9,17.013786437672515,2.42911943739304,19.0
Aldosterone synthesis and secretion,9,Atp1b1;Orai1;Adcy7;Ldlr;Nr4a2;Creb5;Nr4a1;Camk1d;Camk2b,5.333333333333333,7,14.738970904482613,3.795825169938138,15.0
JAK-STAT signaling pathway,7,Cntfr;Il6ra;Pdgfb;Pim1;Ghr;Il15ra;Cdkn1a,5.142857142857143,1,2.796971269628721,4.450572880849691,3.0
mTOR signaling pathway,7,Wnt5a;Wnt5b;Fzd4;Fzd8;Igf1;Tnfrsf1a;Wnt16,5.142857142857143,6,9.650404208743108,7.510255014090979,13.0
Arginine and proline metabolism,7,Ckm;Pycr1;P4ha1;Odc1;L3hypdh;Ckb;Prodh,5.142857142857143,3,10.045740869973969,4.24871065947743,7.0
Relaxin signaling pathway,7,Adcy7;Gnb2;Creb5;Gng11;Edn1;Vegfd;Col4a3,5.142857142857143,7,12.975661509636858,5.467179267615829,15.0
Longevity regulating pathway,10,Hspa1l;Trp53;Hspa1a;Hspa1b;Adcy7;Igf1;Creb5;Irs2;Hspa8;Hspa2,4.800000000000001,10,19.21929511985983,4.1405040310772225,21.0
Spliceosome,10,Hspa1l;Alyref;Hnrnpk;Hspa1a;Hspa1b;Lsm6;Lsm8;Hspa8;Hspa2;Alyref2,4.800000000000001,10,0.5035211808800373,5.102682147273273,21.0
Estrogen signaling pathway,13,Hspa1l;Hspa1a;Fkbp5;Fkbp4;Hspa1b;Adcy7;Hsp90b1;Prkcd;Creb5;Hsp90aa1;Hspa8;Hspa2;Krt18,4.615384615384616,10,20.147480999039775,4.264025378667943,21.0
Viral carcinogenesis,8,Hnrnpk;Cdkn2b;Cdkn1a;Trp53;Creb5;Casp3;Hdac5;Hdac4,4.5,2,0.47490696402586574,6.305306736725225,5.0
Melanogenesis,8,Wnt5a;Wnt5b;Adcy7;Fzd4;Fzd8;Edn1;Wnt16;Camk2b,4.5,6,15.988340174562639,7.367845592633034,13.0
Retrograde endocannabinoid signaling,8,Gabrq;Adcy7;Gnb2;Gng11;Gabra3;Ndufs3;Ptgs2;Gabre,4.5,7,12.791767512482842,4.561779614791476,15.0
TGF-beta signaling pathway,8,Tgfb3;Tgfb2;Bmp2;Rock1;Lefty1;Cdkn2b;Inhbb;Thbs1,4.5,9,20.780224218383342,3.649375306156694,19.0
Oxytocin signaling pathway,11,Rock1;Adcy7;Pla2g4a;Cacnb2;Rcan1;Camk1d;Cdkn1a;Camk2b;Mylk4;Ptgs2;Cacng7,4.363636363636364,8,18.6107513025931,4.4044092971262,17.0
Purine metabolism,6,Pde7a;Adcy7;Pnp;Nme3;Gmpr;Enpp4,4.0,5,13.556366842471572,4.4247101190296805,11.0
HIF-1 signaling pathway,9,Il6ra;Igf1;Edn1;Angpt2;Hk2;Mknk2;Egln3;Cdkn1a;Camk2b,4.0,1,3.6183647210578136,5.646798239801583,3.0
Bile secretion,6,Atp1b1;Adcy7;Aqp1;Ldlr;Ephx1;Nceh1,4.0,4,12.541200570813228,3.435726989548872,9.0
Glutamatergic synapse,6,Homer1;Adcy7;Pla2g4a;Gnb2;Gng11;Glul,4.0,8,12.802842623996845,4.301902714292428,17.0
Wnt signaling pathway,9,Wnt5a;Wnt5b;Trp53;Fzd4;Fzd8;Wnt16;Camk2b;Rspo3;Sost,4.0,6,7.275151118270907,6.99235563851504,13.0
Platelet activation,6,Orai1;Rock1;Adcy7;Pla2g4a;Myl12a;Mylk4,4.0,8,17.437163448019877,3.3348162525224563,17.0
Signaling pathways regulating pluripotency of stem cells,9,Pcgf5;Wnt5a;Wnt5b;Fzd4;Fzd8;Igf1;Inhbb;Fgfr2;Wnt16,4.0,6,19.736864949750014,5.656690974014928,13.0
Vascular smooth muscle contraction,6,Rock1;Adcy7;Prkcd;Pla2g4a;Edn1;Mylk4,4.0,8,18.927682233491616,2.8881758925169736,17.0
Insulin secretion,6,Cck;Atp1b1;Adcy7;Creb5;Rab3a;Camk2b,4.0,4,9.033378509379279,5.0007032832643254,9.0
cGMP-PKG signaling pathway,9,Atp1b1;Gtf2ird1;Rock1;Adcy7;Adora1;Creb5;Irs2;Mylk4;Pln,4.0,7,14.471256312097156,5.683518681647496,15.0
