gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
Chemical carcinogenesis,0.0,1.5,1.5,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Metabolism of xenobiotics by cytochrome P450,0.0,2.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxidative phosphorylation,0.0,5.454545454545455,3.2727272727272725,3.2727272727272725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cytokine-cytokine receptor interaction,0.0,0.0,5.142857142857143,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0
Ribosome,3.4285714285714284,5.142857142857143,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non-alcoholic fatty liver disease (NAFLD),0.0,4.5,3.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retrograde endocannabinoid signaling,0.0,4.5,1.5,3.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0
Thermogenesis,0.0,4.2857142857142865,2.5714285714285716,3.4285714285714284,0.0,0.0,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.0
cAMP signaling pathway,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0
Salivary secretion,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0
Adrenergic signaling in cardiomyocytes,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0
Aldosterone synthesis and secretion,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0
MAPK signaling pathway,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0
Circadian entrainment,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0
Spliceosome,0.0,3.4285714285714284,1.7142857142857142,0.0,3.4285714285714284,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,0.0,0.0
Drug metabolism,0.0,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.0,3.4285714285714284,1.7142857142857142,1.7142857142857142,0.0,0.0,0.0,0.0
cGMP-PKG signaling pathway,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142,3.4285714285714284,1.7142857142857142,1.7142857142857142,0.0,0.0
Fluid shear stress and atherosclerosis,1.2000000000000002,2.4000000000000004,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.0,1.2000000000000002,0.0,2.4000000000000004,0.0,0.0
TNF signaling pathway,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
