gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
Metabolism of xenobiotics by cytochrome P450,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,2.0,0.0
Legionellosis,0.0,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,6.857142857142857,0.0
Antigen processing and presentation,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,0.0,6.666666666666667,1.3333333333333333
Cortisol synthesis and secretion,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0
"Parathyroid hormone synthesis, secretion and action",0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0
Protein processing in endoplasmic reticulum,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,2.25,6.0,1.5
Gap junction,0.0,0.0,0.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0
Chemical carcinogenesis,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,2.0,0.0
Terpenoid backbone biosynthesis,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,6.0,0.0,0.0
Aldosterone synthesis and secretion,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,5.333333333333333,2.6666666666666665,0.0,0.0,0.0
JAK-STAT signaling pathway,0.0,5.142857142857143,0.0,3.4285714285714284,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142
mTOR signaling pathway,3.4285714285714284,0.0,0.0,0.0,1.7142857142857142,0.0,5.142857142857143,0.0,0.0,0.0,1.7142857142857142,0.0
Arginine and proline metabolism,0.0,0.0,0.0,5.142857142857143,0.0,3.4285714285714284,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0
Relaxin signaling pathway,0.0,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,0.0,5.142857142857143,0.0,0.0,1.7142857142857142,0.0
Longevity regulating pathway,1.2000000000000002,0.0,1.2000000000000002,0.0,0.0,0.0,0.0,3.6,1.2000000000000002,0.0,4.800000000000001,0.0
Spliceosome,0.0,2.4000000000000004,3.6,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,4.800000000000001,0.0
Estrogen signaling pathway,0.9230769230769231,0.0,0.9230769230769231,0.0,0.0,0.9230769230769231,0.0,1.8461538461538463,0.9230769230769231,0.9230769230769231,4.615384615384616,0.9230769230769231
Viral carcinogenesis,0.0,1.5,4.5,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,1.5
Melanogenesis,1.5,1.5,0.0,0.0,0.0,0.0,4.5,1.5,0.0,0.0,3.0,0.0
Retrograde endocannabinoid signaling,0.0,0.0,0.0,1.5,3.0,0.0,1.5,4.5,0.0,1.5,0.0,0.0
TGF-beta signaling pathway,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,4.5,3.0,1.5
Oxytocin signaling pathway,0.0,2.181818181818182,0.0,0.0,0.0,0.0,0.0,2.181818181818182,4.363636363636364,0.0,2.181818181818182,1.090909090909091
Purine metabolism,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,2.0,0.0
HIF-1 signaling pathway,1.3333333333333333,4.0,1.3333333333333333,1.3333333333333333,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,1.3333333333333333,0.0
Bile secretion,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
Glutamatergic synapse,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0
Wnt signaling pathway,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,1.3333333333333333,4.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333
Platelet activation,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0
