pathway,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
REACTOME_COLLAGEN_FORMATION,6,Col5a3;Lox;Mmp3;Plod2;Col27a1;Col6a6,6.0,1,2.583595796628507,6.188070676587081,3.0
REACTOME_FATTY_ACID_METABOLISM,8,Ptgs2;Cpt1a;Scp2;Pla2g4a;Ephx2;Hpgd;Acaa2;Eci2,6.0,4,9.367160695447698,3.3779353245333423,9.0
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,7,Dbp;Serpine1;Bhlhe41;Arntl;Bhlhe40;Clock;Npas2,5.142857142857143,5,8.594329004948737,6.782188471627174,11.0
REACTOME_RHO_GTPASE_CYCLE,14,Vim;Elmo2;Rhobtb1;Stbd1;Mospd2;Arhgap20;Fam13a;Fgd4;Iqgap2;Arhgap18;Tiam2;Rhoc;Cdc42ep3;Ckb,5.142857142857143,0,0.1373750216989182,8.004068980233956,1.0
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,7,Fmo3;Fmo1;Fmo2;Aldh3a1;Por;Fdx1;Ephx1,5.142857142857143,7,14.479879610238777,3.6938006331815374,15.0
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,8,Klhl13;Hspa5;Lnx1;Zbtb16;Lonrf1;Fbxo32;Klhl11;Hmgb1,4.5,3,6.254411550498037,5.969592629093599,7.0
REACTOME_GPCR_LIGAND_BINDING,8,Ece1;Lpar4;Adm;P2ry6;Penk;Ptch1;Nmb;S1pr3,4.5,1,7.5755876756523275,4.750031222084475,3.0
REACTOME_APOPTOSIS,6,Vim;E2f1;Tfdp2;Nmt1;Hmgb1;Dapk1,4.0,7,13.543097517810098,5.817287082487118,15.0
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,6,Slco2b1;Slc39a8;Slc10a6;Runx1;Emb;Slco3a1,4.0,3,9.655329940226874,4.532181010785823,7.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,6,Klhl13;Lnx1;Zbtb16;Lonrf1;Fbxo32;Klhl11,4.0,3,6.994682003192882,5.540510981049255,7.0
REACTOME_METABOLISM_OF_STEROIDS,6,Sqle;Scp2;Hsd11b1;Fdx1;Fdps;Insig1,4.0,9,21.60617509235765,4.210466205823741,19.0
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,6,Glul;Hnmt;Ckb;Papss2;Dio2;Inmt,4.0,6,10.545720707726769,5.612731254281012,13.0
REACTOME_PROGRAMMED_CELL_DEATH,6,Vim;E2f1;Tfdp2;Nmt1;Hmgb1;Dapk1,4.0,7,13.543097517810098,5.817287082487118,15.0
REACTOME_ION_CHANNEL_TRANSPORT,6,Fkbp1b;Atp1b2;Ano1;Ano4;Tsc22d3;Atp10a,4.0,1,9.115512423221709,7.7740584349497865,3.0
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,6,Eln;Col5a3;Mmp3;Mmp14;Fbn1;Col6a6,4.0,1,3.00648452230124,4.15926026986566,3.0
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,9,Cpt1a;G0s2;Nr1d1;Arntl;Hmgcs2;Clock;Tiam2;Abca1;Npas2,4.0,4,9.104111381057171,6.094945229426171,9.0
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,6,Ece1;Lpar4;P2ry6;Penk;Nmb;S1pr3,4.0,1,9.410444797491387,4.852241571824663,3.0
