pathway,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
REACTOME_ATTENUATION_PHASE,10,Fkbp4;Hsp90aa1;Hspa8;Hsph1;Hspa2;Dnajb1;Tnfrsf21;Hspa1b;Hspa1a;Hspa1l,8.4,10,19.74504605182007,2.420456579715176,21.0
REACTOME_HEME_SIGNALING,6,Crtc1;Nfe2l2;Nr1d1;Arntl;Clock;Npas2,8.0,0,1.8973180701340135,4.937899272689999,1.0
REACTOME_HSF1_ACTIVATION,9,Fkbp4;Hsp90aa1;Hsph1;Dnajb1;Rpa1;Tnfrsf21;Hspa1b;Hspa1a;Hspa1l,8.0,10,19.35511607096116,3.1883155035887016,21.0
REACTOME_HSF1_DEPENDENT_TRANSACTIVATION,11,Fkbp4;Camk2b;Hsp90aa1;Hspa8;Hsph1;Hspa2;Dnajb1;Tnfrsf21;Hspa1b;Hspa1a;Hspa1l,7.636363636363637,10,20.17801557331732,3.1971085772905754,21.0
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,7,Pcsk5;Ldlr;Pcsk6;Nceh1;Vldlr;Lpl;Ap2a2,6.857142857142857,8,18.381361268883815,5.297235277904639,17.0
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,7,Idi1;Sqle;Hmgcs1;Fdps;Pmvk;Mvd;Srebf2,6.857142857142857,8,17.628999069348,0.5954115478381191,17.0
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,7,Nr4a3;Nr4a1;Thra;Nr1d1;Nr3c2;Nr4a2;Nr1d2,6.857142857142857,7,12.72325104631733,4.016386089417595,15.0
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,7,Idi1;Sqle;Hmgcs1;Fdps;Pmvk;Mvd;Srebf2,6.857142857142857,8,17.628999069348,0.5954115478381191,17.0
REACTOME_DNA_REPAIR,9,Apex1;Mpg;Usp10;Rpa1;Rev1;Xpa;Ubc;Polr2h;Fen1,6.666666666666667,4,10.109622996522438,5.192798007556784,9.0
REACTOME_CHOLESTEROL_BIOSYNTHESIS,8,Msmo1;Idi1;Sqle;Hmgcs1;Dhcr24;Fdps;Pmvk;Mvd,6.0,8,17.740572384104556,0.7818380113711821,17.0
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,6,Eln;Tgfb2;Mfap2;Tgfb3;Bmp2;Fbln5,6.0,9,22.75232434912127,4.418016782961848,19.0
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,6,Cx3cl1;Xk;Edn1;Cxcl12;Nln;Cck,6.0,3,5.429600425938567,5.039004637148161,7.0
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,6,Gsto1;N6amt1;Oplah;As3mt;Gstt1;Gstt2,6.0,8,13.89838296073837,4.144927137859483,17.0
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,15,Fkbp4;Hsp90aa1;Dnaja1;Fkbp5;Tubb4a;Hspa8;Tuba1b;Hspa2;Dnajb1;Dnaja4;Nr3c2;Stip1;Hspa1b;Hspa1a;Hspa1l,5.6000000000000005,10,18.515403442331092,3.1549508279930953,21.0
REACTOME_METABOLISM_OF_STEROIDS,11,Msmo1;Idi1;Tspo;Sqle;Hmgcs1;Dhcr24;Stard3;Fdps;Pmvk;Mvd;Srebf2,5.454545454545455,8,17.262033866023064,3.557879011002824,17.0
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,16,Fkbp4;Hspa5;Camk2b;Hsp90aa1;Aaas;St13;Hspa8;Hsph1;Hspa2;Dnajb1;Rpa1;Tnfrsf21;Hspa4l;Hspa1b;Hspa1a;Hspa1l,5.25,10,19.463690963730706,3.4922568417126,21.0
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,14,Fkbp4;Hspa5;Aaas;St13;Hspa8;Hsph1;Hspa2;Dnajb1;Rpa1;Tnfrsf21;Hspa4l;Hspa1b;Hspa1a;Hspa1l,5.142857142857143,10,19.076918774337123,3.0639902800733756,21.0
REACTOME_MRNA_SPLICING,7,Hnrnpl;Hspa8;Lsm8;Polr2h;Lsm6;Hnrnpk;Alyref,5.142857142857143,1,4.394585933157993,3.2658576100662735,3.0
REACTOME_PCP_CE_PATHWAY,7,Pfn1;Wnt5b;Wnt5a;Ubc;Fzd4;Fzd8;Ap2a2,5.142857142857143,6,14.045582630107333,5.837263158012759,13.0
REACTOME_PEPTIDE_HORMONE_METABOLISM,7,Igf1;Spcs1;Spcs3;Enpep;Aopep;Inhbb;Kif5c,5.142857142857143,10,23.142765108077004,4.611558413421548,21.0
REACTOME_ELASTIC_FIBRE_FORMATION,7,Eln;Tgfb2;Lox;Mfap2;Tgfb3;Bmp2;Fbln5,5.142857142857143,9,22.880361171048573,3.9809737520395823,19.0
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES,7,Ppfia4;Cask;Homer1;Ptprd;Epb41;Pdlim5;Ppfibp2,5.142857142857143,8,16.022254701046066,4.8111464114501,17.0
REACTOME_VISUAL_PHOTOTRANSDUCTION,7,Dhrs9;Ppef1;Ldlr;Nmt1;Nmt2;Plb1;Lpl,5.142857142857143,8,18.836647729605126,3.7291446027313233,17.0
REACTOME_RHOB_GTPASE_CYCLE,7,Anln;Rock1;Myo9b;Arhgef2;Prex1;Arhgef3;Net1,5.142857142857143,11,20.961431535669938,4.31669167856557,23.0
REACTOME_RAC3_GTPASE_CYCLE,7,Fermt2;Arhgdib;Wasf1;Stbd1;Prex1;Dock10;Esyt1,5.142857142857143,7,13.378491126578187,4.402903799641049,15.0
REACTOME_POTASSIUM_CHANNELS,7,Gng11;Kcna5;Kcnk1;Kcnd3;Gnb2;Kcna2;Kcnq3,5.142857142857143,2,5.986418632124552,3.7973271245124782,5.0
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,7,Tubb4a;Dock8;Tuba1b;Kif3a;Dock10;Dock5;Wee1,5.142857142857143,7,15.507719051984864,2.5287500347118033,15.0
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,7,Wnt5a;Rspo3;Ubc;Leo1;Sost;Fzd4;Fzd8,5.142857142857143,11,20.53734194637588,7.017834083594458,23.0
REACTOME_CELL_CYCLE_CHECKPOINTS,8,Dbf4;Rangap1;Cdkn1a;Rpa1;Ubc;Ahctf1;Pmf1;Wee1,4.5,6,15.562991528973907,4.549182995674265,13.0
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,8,Dbp;Bhlhe41;Arntl;Bhlhe40;Clock;Noct;Klf15;Npas2,4.5,0,5.647622823433224,6.911449056920091,1.0
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,8,Aaas;Hnrnpl;Hspa8;Lsm8;Polr2h;Lsm6;Hnrnpk;Alyref,4.5,1,4.872466876905784,4.47832615520829,3.0
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,11,Cx3cl1;Xk;Edn1;Htr2a;Cxcl12;Nln;Htr1b;Adora1;Cmklr1;Cck;S1pr3,4.363636363636364,3,5.777607453394657,5.6391349445040815,7.0
REACTOME_SENSORY_PERCEPTION,11,Dhrs9;Ppef1;Ezr;Rab3a;Ldlr;Nmt1;Cask;Nmt2;Plb1;Cacnb2;Lpl,4.363636363636364,8,18.283637214537443,4.7954863090087265,17.0
REACTOME_BIOLOGICAL_OXIDATIONS,14,Fmo3;Fmo1;Fmo2;Por;Cyp1b1;Ephx1;Gsto1;N6amt1;Cmbl;Oplah;As3mt;Acy1;Gstt1;Gstt2,4.2857142857142865,5,13.638346723413207,4.111065464255688,11.0
REACTOME_REGULATION_OF_TP53_ACTIVITY,9,Usp2;Nuak1;Tpx2;Ppp1r13l;Rpa1;Pip4k2a;Ubc;Meaf6;Banp,4.0,10,18.990503826111155,3.621963989636595,21.0
REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS,6,Fkbp4;Rock1;Hsp90aa1;Nfe2l2;Atp1b1;Ap2a2,4.0,10,17.18905753193247,4.592958934729094,21.0
REACTOME_SELECTIVE_AUTOPHAGY,6,Hsp90aa1;Tubb4a;Hspa8;Epas1;Tuba1b;Ubc,4.0,7,17.65692465502405,3.785572842995419,15.0
REACTOME_INTERFERON_SIGNALING,12,Camk2b;Aaas;Samhd1;Trim2;Trim62;Ifit3;Bst2;Ifitm3;Ubc;Vcam1;Prkcd;Ifi30,4.0,7,10.532961436466708,6.794568467728259,15.0
REACTOME_RHOC_GTPASE_CYCLE,6,Anln;Rock1;Myo9b;Prex1;Rhoc;Maco1,4.0,10,21.714077502296924,6.500923664335847,21.0
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,6,Fstl3;Bmp2;Cdkn2b;Ubc;Inhbb;Grem2,4.0,9,21.66555996091505,2.1701171123610274,19.0
REACTOME_L1CAM_INTERACTIONS,9,Ezr;Dpysl2;Tubb4a;Hspa8;Tuba1b;Itga10;Alcam;Ap2a2;Kcnq3,4.0,7,16.978985221926017,3.958908134365932,15.0
REACTOME_SPHINGOLIPID_METABOLISM,6,Sphk2;Esyt1;Plpp3;Smpd1;Sphk1;Gba,4.0,7,16.84878189782018,7.373024151697491,15.0
