gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
REACTOME_COLLAGEN_FORMATION,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
REACTOME_FATTY_ACID_METABOLISM,0.0,0.0,1.5,1.5,6.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,5.142857142857143,0.0,0.0,0.0,0.0,0.0,3.4285714285714284
REACTOME_RHO_GTPASE_CYCLE,5.142857142857143,0.8571428571428571,0.0,0.8571428571428571,0.0,0.8571428571428571,1.7142857142857142,2.5714285714285716,0.0,0.0,0.0,0.0
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,5.142857142857143,1.7142857142857142,0.0,0.0,0.0
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,1.5,1.5,0.0,4.5,0.0,1.5,0.0,1.5,0.0,0.0,1.5,0.0
REACTOME_GPCR_LIGAND_BINDING,0.0,4.5,0.0,1.5,1.5,3.0,0.0,1.5,0.0,0.0,0.0,0.0
REACTOME_APOPTOSIS,0.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,0.0,2.0,0.0,4.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,2.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
REACTOME_METABOLISM_OF_STEROIDS,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,2.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0
REACTOME_PROGRAMMED_CELL_DEATH,0.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
REACTOME_ION_CHANNEL_TRANSPORT,0.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,1.3333333333333333,0.0,0.0,0.0,4.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,2.6666666666666665
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,0.0,4.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
REACTOME_BIOLOGICAL_OXIDATIONS,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0
