tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
HNF4A (mouse),7,Nr1d2;Eln;Il4ra;Cdc42ep3;Lingo1;Akr1c14;Plat,6.857142857142857,0,1.8966441160175727,4.741912386065136,1.0
CREM (human),8,Tmco6;Tcf21;Peg3;Ccdc85b;Tgfb3;Rasd2;Lnx1;Clmp,4.5,2,5.438394297420761,3.1064943439908603,5.0
FOXF2 (human),9,Dhdh;Cox4i2;Ech1;Il34;Nr1d1;Sord;Smpdl3b;Tulp1;Hebp2,4.0,5,10.006136011773409,3.9112616530381468,11.0
LOC135440 (human),6,Il34;Fmo4;Shisa3;Fam13a;Gpx3;Ece1,4.0,5,10.895295155140595,4.598180167563331,11.0
AHR (mouse),9,Serpine1;Ptp4a3;Il20rb;Ptgs2;Pitpnm2;Glul;Fkbp1b;Aldh3a1;Pkd1,4.0,5,13.261456147694325,2.9107392449657787,11.0
NR1H3 (human),15,Fam13a;Ece1;Tspan4;Fdps;Rere;Sytl2;Nr1d2;Larp1b;Sord;Mcm6;Tulp1;Pdk4;Acyp2;Tiam2;Pik3ip1,4.0,5,11.002802776976976,5.887242997645009,11.0
REL (human),6,Arntl;Nr1d1;Prg4;Grap;Sult1a1;Ogfrl1,4.0,4,8.81654780140524,5.199881386875111,9.0
SPIB (human),9,Il20rb;Ckb;Zbtb16;Tceal1;P2ry6;Dbf4;Cd200;Hsf2bp;Aff2,4.0,1,7.824384282581349,5.48044378866088,3.0
SP1 (human),28,Klf13;Sirt5;Bhlhe40;Bhlhe41;Tmem52;Foxo3;Lingo1;Celf4;Trim24;Eci2;Tspan4;Nfil3;Per3;Ccne2;Tef;Nr1d2;Prdx6;Tmem141;Zfp28;Ankrd37;Runx1;Glul;Gabre;Rasd2;S1pr3;Dbp;Wee1;Pkd1,3.8571428571428577,5,11.24080906596601,3.3316455591382175,11.0
LTF (human),19,Upb1;Bhlhe40;Bhlhe41;Tmem52;Rasl11a;E2f1;Scml2;Aff2;Hist4h4;Hnrnpl;Serpine1;Nr1d2;Cdkn1a;Slco2b1;P2ry6;Lbp;Eif5a2;Vgll3;Hlf,3.789473684210526,5,9.276587009468717,5.640908548608605,11.0
TFAP2D (human),16,Sdf2l1;S100a6;Hnmt;Ech1;Spata24;Homer2;Sytl2;Nr1d1;Nfatc2;Tmem141;Fgd4;Cys1;Sord;Cstb;Acyp2;Pik3ip1,3.75,2,7.208192118362295,5.099483301566941,5.0
SNAI1 (human),26,S100a6;Lrrc55;Cox4i2;Ttc39b;Eci2;Creld2;Il34;Tcap;Lnx1;Hnrnpl;Tef;Nr1d1;Ptp4a3;Plac8;Nfatc2;Cdkn1a;Slco2b1;Smpdl3b;Tulp1;Ppl;Tsc22d3;Cstb;Rasd2;Dbp;Lonrf1;Pik3ip1,3.6923076923076925,4,10.159865016529405,4.047140127823837,9.0
TCF3 (human),26,S100a6;Lrrc55;Cox4i2;Ttc39b;Eci2;Creld2;Il34;Tcap;Lnx1;Hnrnpl;Tef;Nr1d1;Ptp4a3;Plac8;Nfatc2;Cdkn1a;Slco2b1;Smpdl3b;Tulp1;Ppl;Tsc22d3;Cstb;Rasd2;Dbp;Lonrf1;Pik3ip1,3.6923076923076925,4,10.159865016529405,4.047140127823837,9.0
SP3 (human),26,Klf13;Bhlhe40;Bhlhe41;Tmem52;Foxo3;Lingo1;Celf4;Trim24;Eci2;Tspan4;Per3;Ccne2;Hnrnpl;Tef;Nr1d2;Prdx6;Tmem141;Zfp28;Cdh4;Larp1b;Runx1;Glul;Cstb;Rasd2;Wee1;Pkd1,3.6923076923076925,5,11.405258129614761,3.453089643578312,11.0
SNAI2 (human),26,S100a6;Lrrc55;Cox4i2;Ttc39b;Eci2;Creld2;Il34;Tcap;Lnx1;Hnrnpl;Tef;Nr1d1;Ptp4a3;Plac8;Nfatc2;Cdkn1a;Slco2b1;Smpdl3b;Tulp1;Ppl;Tsc22d3;Cstb;Rasd2;Dbp;Lonrf1;Pik3ip1,3.6923076923076925,4,10.159865016529405,4.047140127823837,9.0
ZNF148 (human),20,Bhlhe40;Cdc25b;Cirbp;Eci2;Tmem176b;Tcap;Nr1d1;Nr1d2;Cdkn1a;Cstb;Zbtb16;Lingo1;Tspan4;Serpine1;Zfp28;Eif5a2;Stc1;Ephx1;Cmtm3;Hebp2,3.6,5,9.513155006358707,3.7736822430120087,11.0
Nkx3-2 (mouse),10,Dhdh;Hsph1;Ptch1;Lix1;Sfi1;Angptl7;Fmod;Epyc;Col27a1;Col6a6,3.6,5,13.058204170598941,4.947977902515536,11.0
POU1F1 (human),20,As3mt;Fam13a;Pla2g4a;Ano4;Mid1;Ccnb1ip1;Nav3;Chd2;Aff2;Sytl2;Fmo2;Dio2;Tceal1;Epyc;Cldn10;Fibin;Col6a6;Lpl;Nfkbiz;Aldh1a2,3.6,1,5.112975804750958,6.374916018133419,3.0
PITX1 (human),10,Nmt1;Ech1;Ttc39b;Fdps;Chd2;Fkbp5;Slco2b1;Smpdl3b;Acyp2;Pkd1,3.6,8,10.813625690049651,6.91115953429542,17.0
CREB1 (mouse),10,Cdc25b;Cirbp;Osr2;Smc2;Tfdp2;Hmgcs2;Smpdl3b;Cebpd;Car11;Col6a6,3.6,3,9.78422012444132,4.246618407494937,7.0
NR1H2 (human),10,Sytl2;Nr1d2;Sord;Mcm6;Pdk4;Acyp2;Elmo1;Tiam2;Pik3ip1;Spata24,3.6,5,10.596719923235469,5.167919228430556,11.0
IRF2 (mouse),17,Nmt1;Bicd1;Rere;Dio2;Tceal1;Tfdp2;Larp1b;Mcm6;Lmo2;Gsta3;Ptgs2;Chd2;Hist4h4;Fmo3;Smpdl3b;Tsc22d3;Fibin,3.5294117647058827,8,13.68485925833863,5.691661044334519,17.0
PCBP1 (human),24,Klf13;Bhlhe40;Bhlhe41;Tmem52;Foxo3;Lingo1;Celf4;Eci2;Tspan4;Per3;Ccne2;Tef;Nr1d2;Prdx6;Mgmt;Zfp28;Cdh4;Larp1b;Runx1;Glul;S1pr3;Dbp;Wee1;Pkd1,3.5000000000000004,5,11.602452195448864,3.126926357955915,11.0
Nkx2-5 (mouse),7,Dhdh;Hsph1;Ptch1;Mgmt;Epyc;Akr1c14;Sfi1,3.4285714285714284,3,8.514158920300058,5.295753964470021,7.0
RXRA (mouse),7,Sirt5;Ccdc85b;Penk;Il33;Tcap;Col6a6;Nfkbiz,3.4285714285714284,4,10.90754211053283,2.1526598714740373,9.0
NKX2-8 (human),7,Ech1;Fgd4;Hmgcs2;Nfkbiz;Mcm6;P2ry6;Dync2li1,3.4285714285714284,2,8.827565789418662,4.327933805949272,5.0
APEX1 (human),14,Scp2;As3mt;Lix1;Ucp2;Fbxo32;Ccnb1ip1;Hnrnpl;Vim;Larp1b;Slco2b1;Tulp1;Mthfd1l;Lmo2;Aldh1a2,3.4285714285714284,4,8.680935524723782,4.8517257716998925,9.0
MTF1 (human),21,Ptch1;Bhlhe41;Tmem52;Zbtb16;Lrrc55;Lingo1;Cox4i2;Cd200;Grap;Tspan4;Per3;Ankrd37;Cdh4;Pgf;P2ry6;Tppp3;Efnb2;Rasd2;Aldh3a1;Cmtm3;Dbp,3.4285714285714284,5,9.971191910556321,4.448703744894399,11.0
SREBF2 (human),18,Dhdh;Zbtb16;Ucp2;Rftn1;Fbn1;Serpine1;Nr1d1;Plac8;Fmo4;Tfdp2;Larp1b;Limch1;Stc1;Stc2;Cstb;Hspa8;Cmtm3;Hebp2,3.3333333333333335,4,7.488606191992234,5.350771270761824,9.0
KLF11 (human),18,Bhlhe40;Zbtb16;Cdc25b;Cirbp;Tspan4;Tmem176b;Tcap;Col5a3;Hhipl1;Serpine1;Nr1d1;Nr1d2;Fam107a;Cstb;Ephx1;Cmtm3;Hebp2;Dbp,3.3333333333333335,5,9.52664092524073,3.2940094430804945,11.0
MYC (mouse),36,Hpgd;Bhlhe40;Bhlhe41;Ccdc85b;Akr1c14;Eci2;Hhipl1;Homer2;Tef;Fkbp5;Fgd4;Pgf;Slco2b1;Wee1;Tiam2;Foxo3;Hnmt;Cox4i2;Ccne2;Per1;Taf4b;Acaa2;Lnx1;Ptp4a3;Prdx6;Agtr1a;Nmnat3;Olfr1034;Efhd1;Inmt;Sord;Klf9;Eif5a2;Manf;Elmo1;Hspa8,3.3333333333333335,4,10.764700910857204,4.032026705285759,9.0
TFAP2C (human),22,Iqgap2;Cdc25b;Ucp2;Tspan4;Creld2;Per2;Tcap;Derl2;Klhl24;Homer2;Ckb;Insig1;Larp1b;Slco2b1;Cpt1a;Tulp1;Runx1;Gdf6;Cc2d2a;Lmo2;Aldh3a1;Aldh1a2,3.2727272727272725,4,11.596458935625247,7.269527909743434,9.0
RUNX2 (mouse),30,Sult1a1;E2f1;Akr1c14;Grap;Lgals3;Plac8;Cdkn1a;Deptor;Tceal1;Lbp;Tulp1;Ppl;Cldn10;Rab6b;Atp1b2;Shisa2;Rbm3;As3mt;Sirt5;Iqgap2;Ucp2;Lrrc55;Tmem86a;Pik3r6;Serpine1;Anxa3;Rhobtb1;Elmo1;Hebp2;Pik3ip1,3.2,1,9.065013606139946,5.75611848237975,3.0
Sox2 (mouse),19,Cdc25b;Ech1;Akr1c14;Dio2;Papss2;Tfdp2;Pdk4;Lmo2;Rbm3;Ptgs2;Ucp2;Chd2;Sytl2;Agtr1a;Olfr1034;Runx1;Cc2d2a;Ephx1;Nfkbiz,3.1578947368421053,4,8.829487466406416,4.198931126055642,9.0
Pax2 (mouse),23,Pcdh9;Gria4;Dync2li1;Dbf4;Hist4h4;Rere;Fdx1;Nfatc2;Fmo2;Fmo4;Dio2;Cyp51;Ankrd37;Sord;Slc46a3;Nmb;Tsc22d3;Stc2;Col6a6;Dbp;Mlana;Lonrf1;Clock,3.130434782608696,7,12.052014268467332,6.209772664842941,15.0
ZFHX3 (human),23,As3mt;S100a6;Fam13a;Cox4i2;Dbf4;Ece1;Slc10a6;Derl2;Col5a3;Aff2;Plac8;Fmo4;Tmem141;Pgf;Hopx;Larp1b;Slco2b1;Efhd1;Limch1;Ppl;Cldn10;Hspa5;Pkd1,3.130434782608696,1,7.073651987282102,6.781889173880113,3.0
TEAD4 (human),27,Ptch1;Bhlhe40;Bhlhe41;Tcp11l2;Tmem52;Zbtb16;Ucp2;Foxo3;Trim24;Eci2;Tspan4;Rere;Homer2;Tef;Nr1d2;Prdx6;Nfatc2;Adm;Tmem141;Zfp28;Lbh;Runx1;Arntl;Stc1;Stc2;Cstb;Dbp,3.111111111111111,5,9.460151295105357,4.406790653993381,11.0
SPI1 (human),27,Hpgd;Mrvi1;Epb41l5;Mbd1;Pcdh9;Bicd1;Nav3;Cry1;Rere;Tef;Plac8;Cdkn1a;Ckb;Fkbp4;Papss2;Slco2b1;Tmco6;Iqgap2;Ucp2;Peg3;Dbf4;Ccnl1;Tnfrsf12a;Ccne2;Aff2;Anxa3;Nuak1,3.111111111111111,6,9.263398558481898,7.6820685421053305,13.0
RELB (human),27,Mrvi1;Nmt1;Hsph1;Iqgap2;Pdcd4;Me3;Ece1;Ccnl1;Eci2;Tspan4;Slc10a6;Creld2;Tmem176b;Tcap;Osr2;Dapk1;Fdx1;Eln;Anxa8;Tmem14a;Tfdp2;Gpx3;P2ry6;Cc2d2a;Lox;Aldh3a1;Arhgap20,3.111111111111111,4,7.399772266411537,7.132300644121274,9.0
POU1F1 (mouse),31,Gria4;Bicd1;E2f1;Akr1c14;Eci2;Il33;Homer2;Plac8;Cdkn1a;Dio2;Tfdp2;Mthfd1l;Cldn10;Lmo2;Shisa2;Col6a6;Tiam2;Rbm3;Iqgap2;Ucp2;Dync2li1;Hist4h4;Hspa4l;Prdx6;Eln;Tmem141;Zfp28;Ildr2;Limch1;Stc2;Cc2d2a,3.096774193548387,4,9.555620195440639,6.057314798241771,9.0
KLF4 (human),20,Bhlhe40;Zbtb16;Cdc25b;Cirbp;Tspan4;Tmem176b;Tcap;Col5a3;Hhipl1;Serpine1;Nr1d1;Nr1d2;Tmem141;Fam107a;Cstb;Ephx1;Cmtm3;Hebp2;Dbp;Lonrf1,3.0,5,9.53196697146188,3.6862097117553585,11.0
MAX (human),48,Bhlhe40;Bhlhe41;Mbd1;Ece1;E2f1;Nfil3;Il34;Hnrnpl;Tef;Nr1d2;G0s2;Fkbp5;Tceal1;Slc39a8;Pgf;Insig1;Slco2b1;Cpt1a;Shisa3;Efnb2;Rasd2;Wee1;Clock;Upb1;Abca1;Hsph1;Sirt5;Myoc;S100a6;Ucp2;Foxo3;Lingo1;Me3;Per3;Ccne2;Per1;Tmem151a;Scml2;Klhl24;Taf4b;Aff2;Hist4h4;Serpine1;Ankrd37;Eif5a2;Hsf2bp;Tppp3;Pkd1,3.0,5,9.791664122710628,5.427589919163435,11.0
RARA (human),20,Dhdh;Sdf2l1;Fam13a;Ech1;Tspan4;Il34;Ccnb1ip1;Klhl13;Rere;Sytl2;Tef;Nr1d2;Hspa4l;Mcm6;Tulp1;Por;Ppl;Acyp2;Cmtm3;Pik3ip1,3.0,5,10.031592202885923,5.42672611979348,11.0
