tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
Nobox (mouse),7,Asb4;Nuak1;Gabrq;Dennd4a;Stox2;Nap1l5;Ghr,5.142857142857143,10,23.08919566474006,4.110885071128843,21.0
GABPA (human),7,Tgfb3;Tob2;Frzb;Jdp2;Pcsk5;Ralgapa2;Lnx1,5.142857142857143,9,17.033427124254448,6.64424687913799,19.0
Arnt::Ahr (mouse),7,Eml4;Tagln2;Ifi30;Banp;Ldlr;Uba2;Ptpn21,5.142857142857143,10,20.838811513769446,4.535899432860976,21.0
SMAD3 (human),7,Tgfb3;Foxf1;Eln;Npas4;Amdhd2;Pip4k2a;Ankrd1,5.142857142857143,9,20.016758946779518,5.6580669009056255,19.0
NKX2-8 (human),15,Rsad1;Rfx2;Tor1aip2;Xk;Cd81;Ect2l;Hmgcs2;Lancl3;Gmpr;Pdlim4;Ccdc85a;Phactr3;Unc5b;Prr5l;Arhgdib,4.800000000000001,5,9.404264833290796,5.106949023518617,11.0
RXRA (mouse),16,Abtb2;Fat1;Tead1;Atp6ap1l;Ky;Lancl3;Pomt2;Dusp18;Ccdc85b;Nrgn;Tpx2;Tagln2;Il33;Tcap;Pdlim5;Ddx17,4.5,10,22.029663910659373,6.882042317384145,21.0
SOX10 (mouse),8,Tob2;Prrx2;Il6ra;Unc5d;Opa3;Cela1;Lman2l;Capn3,4.5,1,4.1564675364202195,5.79189398115215,3.0
MIR210 (human),6,Ndrg2;Mknk2;Hes1;Ptgr1;Ap2a2;Nrgn,4.0,6,12.035285902526812,4.077521505543615,13.0
CEBPE (human),6,Rfx2;Mpg;Dpysl2;Sugp2;Nfil3;Gfod1,4.0,10,17.445227481671868,6.172612764961519,21.0
Arnt (mouse),6,Morc4;Prex1;Capn3;Lsm6;Anxa3;Tead1,4.0,3,3.4919669715347226,6.769611197861796,7.0
E2F4 (human),9,Pdxk;Dpysl2;Vps13a;Nmt1;Mybpc2;Sphk1;Tesc;Gprasp1;Myocd,4.0,7,16.115864184517033,3.9002004530106844,15.0
