gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
NRF1 (human),0.0,0.0,0.0,1.7142857142857142,6.857142857142857,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,0.0,0.0
PITX2 (human),0.0,0.0,0.0,0.0,0.0,6.857142857142857,0.0,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.0,0.0
STAT1 (human),0.0,0.0,0.0,0.0,6.666666666666667,4.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
TCF4 (human),0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,2.6666666666666665,0.0,0.0,0.0,6.666666666666667,0.0,0.0
RELA (mouse),0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
CPEB1 (mouse),0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,2.0
SREBF1 (human),0.0,0.0,0.0,0.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
THRB (human),0.0,0.0,0.0,1.2000000000000002,6.0,3.6,0.0,0.0,1.2000000000000002,0.0,0.0,0.0
KLF4 (human),0.0,0.0,2.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
Stat3 (mouse),0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0
SRF (mouse),0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0
MYC (mouse),0.0,2.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
KLF11 (human),0.0,0.0,2.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
NFYB (mouse),0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,2.0
TEAD2 (mouse),0.0,1.090909090909091,0.0,1.090909090909091,3.2727272727272725,0.0,5.454545454545455,0.0,0.0,1.090909090909091,0.0,0.0
