gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
4930428N03Rik,1.89,0.4951,2.35,-11.1708
Abcg2,12.56,3.2877,7.28,-9.4288
Acta2,20.8,5.4454,23.56,-7.5922
Adamtsl5,16.87,4.4162,4.37,-11.0166
Anxa3,20.76,5.4346,7.35,-7.4708
Aqp1,9.71,2.5414,24.47,-8.5055
Arhgef3,11.91,3.1184,2.23,-10.9681
Ass1,15.56,4.0741,2.63,-8.8185
Atp2b2,14.11,3.693,21.61,-9.6889
Bcl2l1,15.28,3.9992,2.3,-9.6816
Bgn,17.51,4.5847,3.93,-5.7265
Bhlhe40,9.73,2.546,3.21,-9.8576
Cald1,20.6,5.3937,3.5,-7.8187
Car8,7.86,2.0579,3.7,-8.8709
Ccdc3,17.93,4.6936,4.14,-9.314
Ccdc82,19.5,5.1061,3.07,-9.7679
Cd302,12.86,3.368,3.8,-10.2005
Cd40,11.66,3.0527,2.33,-11.5021
Cd74,12.42,3.2517,16.89,-9.7486
Cd9,10.51,2.751,3.55,-7.0814
Cdkn1a,21.55,5.6407,20.78,-10.0342
Cebpb,10.24,2.68,4.87,-10.7064
Cfap97,4.35,1.138,2.42,-10.3252
Chmp2b,21.62,5.6612,2.99,-9.5143
Clec3b,15.93,4.171,26.17,-10.695
Clip1,20.31,5.3167,3.26,-9.0715
Col1a1,19.15,5.0133,14.41,-10.6869
Crybg3,22.34,5.8474,2.64,-10.3371
Ctla2b,6.48,1.6953,5.12,-11.1444
Cyth1,12.92,3.3833,2.69,-10.94
Cytl1,15.36,4.02,7.85,-5.0083
Dbp,8.97,2.3482,83.79,-9.6971
Dgcr2,11.87,3.1077,2.5,-9.8278
Dusp1,15.23,3.9878,25.14,-8.6023
Edc3,11.81,3.0922,2.28,-10.9722
Edn1,21.84,5.7184,14.19,-7.4465
Efemp1,10.58,2.7708,4.95,-9.592
Egr1,13.95,3.6519,6.57,-8.5539
Eln,19.97,5.2286,16.65,-6.2616
Enah,15.06,3.9421,8.12,-10.8298
Ephx1,9.63,2.5209,2.84,-8.3388
Errfi1,11.09,2.9033,2.1,-10.9063
F2rl1,17.54,4.5908,6.34,-10.0307
Fam107a,13.97,3.6561,29.81,-9.5001
Fam135a,12.17,3.1873,5.37,-9.139
Fkbp5,14.34,3.7536,14.06,-10.8246
Flt4,6.53,1.7091,11.86,-9.5528
Fndc1,10.99,2.8762,7.79,-9.3015
Fos,17.23,4.5116,15.94,-8.2371
Foxo3,11.67,3.0559,2.17,-11.1018
Frzb,1.28,0.3342,4.91,-9.8287
Fundc1,19.05,4.9866,2.1,-10.7261
Fus,8.31,2.1753,3.22,-8.5462
Fxyd6,10.25,2.6841,4.56,-8.9519
Gbp3,12.16,3.1833,2.6,-10.0477
Gkn3,14.2,3.7174,96.58,-7.3803
Glul,12.3,3.2193,15.05,-9.5016
Gm1673,7.05,1.845,2.37,-10.6115
Gm28875,11.31,2.96,4.19,-11.2943
Gngt2,5.72,1.4964,3.18,-9.4347
Gpm6a,6.98,1.8281,5.67,-10.3275
Gprin3,23.98,6.2769,4.4,-10.6663
Grn,13.41,3.5105,5.46,-8.1578
Gsn,17.95,4.6999,6.21,-8.4493
H2-Aa,12.15,3.1797,3.17,-10.3756
H2-Ab1,12.63,3.3064,5.86,-10.3261
H2-Eb1,12.21,3.1974,3.86,-10.4349
H2-Q4,11.06,2.8943,4.16,-8.7438
Heg1,21.79,5.7035,14.28,-6.8864
Hlf,9.7,2.5387,21.83,-10.7892
Hmcn1,7.64,2.0014,3.96,-11.0513
Hnrnpa1,13.03,3.411,2.9,-8.6596
Ier2,14.64,3.8337,2.62,-8.6234
Igfbp5,6.78,1.7744,194.75,-7.7463
Itga8,19.17,5.0193,7.49,-10.8695
Junb,12.85,3.3635,12.04,-8.5032
Kctd12,16.23,4.2487,3.49,-7.7238
Kdr,7.16,1.8743,5.24,-9.8692
Kif26a,19.13,5.0092,3.05,-9.7855
Klf9,11.81,3.0914,3.38,-8.1207
Klk10,16.44,4.3044,37.49,-8.2948
Klk11,14.9,3.9015,3.29,-10.5961
Lars2,2.14,0.5606,17.69,-6.3535
Lefty1,9.51,2.4906,3.55,-11.1232
Leo1,22.98,6.0166,2.78,-11.1005
Lhfp,0.25,0.0665,2.74,-9.4888
Lmo2,8.12,2.1254,8.41,-7.4976
Lox,19.5,5.1058,2.23,-8.4747
Lpar1,0.83,0.2183,4.06,-10.5159
Lrrc8a,11.79,3.0856,3.81,-9.1823
Ly6e,13.93,3.6457,5.69,-6.882
Macf1,23.74,6.2139,4.51,-7.9109
Maf,7.61,1.9911,18.93,-9.3738
Mall,20.87,5.4635,3.29,-8.443
Map4k4,23.45,6.1388,2.61,-8.8874
Mettl7a1,13.65,3.5744,6.51,-8.9436
Mfsd11,11.76,3.0783,2.2,-11.3228
Mgp,14.59,3.8206,57.74,-4.7354
Mknk2,12.61,3.3022,8.55,-9.0372
Mlxip,12.99,3.4018,2.36,-10.6764
Myh11,19.12,5.0045,12.46,-9.573
Myh9,22.47,5.8815,2.45,-7.6669
Mylk,20.03,5.244,3.78,-9.4657
Myo18a,20.07,5.2556,3.1,-9.7063
Ncam1,10.85,2.8414,7.09,-9.1314
Nfil3,19.75,5.1717,3.28,-11.3896
Nqo1,9.66,2.5297,3.73,-11.3891
Nr1d1,8.02,2.0985,64.13,-10.1165
Nr1d2,8.88,2.3253,22.71,-10.4207
Nr2f2,8.12,2.1258,8.89,-9.7609
Nsg1,7.32,1.9159,20.08,-10.6344
Nt5e,16.76,4.3865,2.33,-9.0259
Ntn1,10.23,2.679,6.0,-8.7357
Ogn,18.71,4.8989,23.5,-11.1845
Pcgf2,17.81,4.6629,2.46,-10.7748
Per2,12.96,3.3924,2.36,-11.3444
Per3,10.44,2.7339,11.21,-10.4153
Pes1,10.53,2.7563,2.01,-10.8115
Pfkfb3,11.76,3.079,3.76,-10.0355
Phf23,13.07,3.4219,2.27,-10.8428
Phkg2,12.84,3.3603,3.6,-11.2326
Pitpnm3,19.42,5.085,2.01,-11.0464
Plaur,7.0,1.8336,2.36,-10.6686
Plscr2,7.9,2.0682,2.7,-10.42
Postn,17.33,4.5368,6.72,-10.7889
Prelp,6.36,1.6639,7.68,-9.4944
Prmt5,17.98,4.7078,3.32,-10.9079
Psma3,7.47,1.9566,2.37,-8.6388
Pthlh,12.29,3.2188,4.6,-10.1229
Ptpn18,6.15,1.609,2.37,-10.1886
Qsox1,11.13,2.9131,3.67,-9.425
Rab27b,10.42,2.728,4.74,-10.6347
Rab43,18.71,4.8995,2.12,-11.1066
Ramp2,12.56,3.2882,12.28,-6.5464
Rbm3,10.25,2.6826,42.87,-8.6734
Rnaseh2b,10.67,2.7934,5.9,-10.9638
Rpa3,12.75,3.339,3.45,-10.6195
S100a4,1.66,0.4354,2.47,-9.1802
Selenoo,17.11,4.4794,2.19,-11.1747
Selp,4.57,1.1953,2.67,-8.6524
Sema3g,21.04,5.5083,3.24,-10.1093
Serinc3,15.78,4.1321,7.05,-6.9094
Serpinb6b,21.94,5.7445,3.21,-7.9376
Sfrp2,1.66,0.4345,4.72,-9.9765
Slc4a4,13.45,3.5203,2.73,-9.2788
Slc52a3,14.83,3.8829,6.72,-11.3653
Slc7a2,10.72,2.8063,2.42,-11.2372
Slco2a1,6.1,1.5958,4.4,-8.2034
Smagp,7.53,1.9723,2.76,-10.4796
Smpd3,19.11,5.0029,15.06,-9.5173
Sost,21.78,5.7024,6.07,-9.7846
Sox18,13.46,3.5226,13.64,-8.6847
Spsb1,13.79,3.609,6.32,-10.5437
Tagln,21.17,5.542,5.3,-7.9916
Tcim,12.74,3.3351,4.03,-10.9906
Tef,11.26,2.9479,28.86,-9.064
Tent5a,15.69,4.1065,3.43,-10.9296
Thra,1.38,0.3622,2.84,-8.934
Timp4,16.96,4.4397,10.78,-11.5841
Tmem101,14.59,3.8187,3.13,-10.9189
Tns2,10.82,2.8335,2.09,-8.8968
Tnxb,8.62,2.2567,3.35,-10.8116
Tpm2,20.63,5.4008,3.45,-9.4543
Tpt1,15.02,3.9319,7.86,-5.0085
Tsc22d3,12.7,3.3244,40.93,-8.8233
Tspan4,10.51,2.7528,20.03,-8.9248
Ttyh3,12.56,3.288,2.53,-11.1741
Uaca,20.1,5.261,2.42,-9.2817
Ubl5,4.61,1.2078,2.81,-8.1275
Vipr1,15.46,4.0485,16.38,-10.5507
Wipf3,10.77,2.8183,3.01,-10.4357
Xxylt1,7.96,2.0847,2.36,-11.097
Zbtb16,13.37,3.5007,8.38,-10.8886
Zcchc24,10.39,2.7203,3.2,-10.2742
Zfp398,21.15,5.5362,2.0,-11.1234
Zfp423,13.82,3.6184,3.56,-10.75
