gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
1110038B12Rik,7.0,1.832,4.18,-10.4171
1500009L16Rik,12.96,3.3928,5.89,-9.9516
1700023F06Rik,3.13,0.8185,2.12,-13.156
1700037C18Rik,7.99,2.0914,3.48,-13.4539
1700096K18Rik,5.72,1.4969,2.01,-11.8221
5930430L01Rik,4.45,1.1662,3.62,-11.3385
A4galt,13.01,3.4058,18.3,-10.9481
AI507597,15.55,4.0701,16.88,-9.7974
Acaa2,9.48,2.4807,17.73,-9.3838
Acsf3,12.18,3.1885,3.4,-12.9855
Adamts14,11.48,3.0054,4.26,-13.3676
Adamts4,1.17,0.3069,3.94,-12.1236
Adamtsl2,15.26,3.9949,18.89,-9.3089
Add2,11.72,3.0672,3.59,-13.4167
Adh1,13.27,3.4729,5.55,-10.3775
Adm,1.77,0.4632,5.3,-10.019
Agtr1a,2.26,0.5915,2.34,-13.0091
Aifm3,17.42,4.5599,7.22,-12.355
Aldh3a1,15.87,4.1538,18.81,-10.1006
Aldh3b1,10.25,2.6841,3.67,-12.7564
Angpt2,22.21,5.8151,5.84,-9.8499
Angptl2,15.87,4.1548,13.41,-9.5868
Angptl7,16.58,4.3404,104.25,-8.7246
Ankrd12,10.53,2.7576,40.05,-8.685
Anxa3,3.1,0.8108,17.61,-9.1013
Aox1,13.28,3.4757,2.05,-11.2315
Apod,7.9,2.069,8.46,-9.4901
Aqp1,8.79,2.3009,46.96,-10.254
Arhgap10,0.21,0.0553,5.44,-9.6294
Arhgap18,0.21,0.0558,5.53,-11.9365
Arhgap20,0.6,0.1581,57.08,-10.5875
Arl4d,10.06,2.6339,2.97,-11.984
Arntl,0.35,0.0906,51.3,-11.9464
Arrdc3,18.27,4.7835,12.39,-10.0125
Arrdc4,9.48,2.482,6.02,-11.7354
Aspa,14.48,3.7896,3.17,-10.2457
Asphd2,8.87,2.3227,2.18,-13.1861
Atp1b1,11.88,3.1102,25.85,-9.7217
B130024G19Rik,18.83,4.9297,2.08,-11.2432
BC028528,13.62,3.5658,4.29,-11.5492
Bgn,15.92,4.1686,57.41,-5.6621
Bhlhe40,10.84,2.8384,6.47,-9.4553
Bhlhe41,11.35,2.9705,152.03,-10.2156
Bok,10.6,2.7761,19.1,-10.0091
Btc,4.75,1.2431,2.96,-13.253
Cacnb4,12.32,3.2243,5.73,-11.7252
Cadm1,7.52,1.9679,9.38,-13.3328
Camkk2,13.13,3.4368,6.67,-9.974
Ccdc71l,12.4,3.2466,9.27,-10.7178
Ccdc74a,5.87,1.5355,3.36,-12.0256
Ccl11,9.75,2.5538,25.04,-10.3524
Ccl2,6.2,1.6221,13.79,-11.9035
Ccl7,6.65,1.7419,10.44,-12.0026
Ccn2,16.84,4.4077,36.58,-6.9925
Cd55,5.72,1.4986,15.58,-9.9436
Cdc14a,12.14,3.1793,11.62,-11.2168
Cdc25b,9.69,2.538,7.7,-11.6998
Cdc42ep3,22.82,5.9754,7.17,-9.4964
Cdkn1a,1.76,0.4602,49.27,-8.9294
Cebpd,12.95,3.3899,15.67,-7.3864
Cgrrf1,13.83,3.6199,2.36,-10.1544
Ciart,10.99,2.8766,46.68,-12.4179
Cirbp,10.32,2.7014,17.82,-9.8159
Ckb,2.26,0.5929,11.17,-8.3216
Cldn10,3.43,0.899,10.95,-10.5459
Clmp,2.41,0.6304,21.6,-9.8424
Clock,0.16,0.042,17.28,-9.8454
Cntfr,16.2,4.2415,13.37,-10.4659
Col27a1,15.53,4.0668,10.35,-10.4947
Col4a3,12.43,3.2531,8.81,-9.0841
Col5a3,3.68,0.9626,15.37,-11.391
Col8a1,12.5,3.2718,2.82,-10.2361
Coq10b,9.55,2.499,9.78,-9.5229
Cpeb1,11.15,2.9187,6.6,-10.4027
Cpt1a,7.37,1.9306,15.59,-10.2177
Creb3l1,0.37,0.0965,13.47,-9.2375
Creld2,20.87,5.4631,77.56,-9.9114
Crlf1,11.53,3.0198,2.96,-11.9281
Crnde,12.69,3.3214,3.47,-13.4258
Crybg3,1.32,0.346,2.51,-10.944
Ctla2a,17.14,4.487,10.2,-11.6029
Ctsk,15.46,4.0462,16.61,-8.1931
Cutc,15.77,4.129,6.25,-11.5051
Cxcl5,9.74,2.5498,2.2,-12.258
Cyb561,13.29,3.4785,11.07,-10.4196
Cyb5r2,6.77,1.7712,2.44,-13.3891
Cyp1b1,22.78,5.9632,11.68,-9.066
Cyp2b10,13.62,3.5665,7.3,-13.4397
Cyp51,21.99,5.756,5.51,-10.8363
Cys1,16.18,4.2367,53.25,-9.5362
Cytl1,10.25,2.6825,14.35,-8.4861
Dbi,3.19,0.8355,30.69,-8.0022
Dbp,9.9,2.5919,717.13,-9.1101
Dchs2,4.83,1.265,3.81,-12.5778
Deptor,14.4,3.7704,16.85,-9.9936
Dgat2,10.58,2.7691,10.97,-12.8317
Dhrs3,22.89,5.9926,3.67,-10.2206
Dio2,22.71,5.9453,24.19,-8.894
Dlx6,12.0,3.1411,5.43,-12.3311
Dnajb11,21.4,5.6026,4.97,-9.2293
Dock10,14.24,3.7289,6.21,-10.3475
Dpp4,7.5,1.9647,21.25,-11.9414
Dpy19l3,1.82,0.4778,3.88,-12.1916
Dsp,5.38,1.4077,8.86,-11.2932
Dtx4,23.41,6.1297,21.77,-10.5764
Ece1,0.26,0.067,10.38,-9.6449
Ech1,6.61,1.7309,15.33,-9.1735
Eci2,10.71,2.8032,2.03,-9.6314
Ecrg4,9.06,2.3722,6.18,-10.0215
Efhd1,4.31,1.1289,8.36,-11.186
Egr3,7.73,2.0246,4.82,-10.6827
Eln,1.38,0.36,86.3,-6.8847
Enpp2,8.18,2.1406,3.02,-12.235
Ephb2,22.58,5.911,6.82,-10.9561
Epyc,10.62,2.7808,2.09,-11.8946
Erf,8.48,2.2209,6.85,-10.7895
Ern1,11.23,2.9389,3.37,-11.4986
Erp29,23.39,6.1241,2.96,-8.6662
Esrrg,12.45,3.2583,3.51,-12.813
Etfbkmt,11.84,3.0987,3.76,-11.0241
Ethe1,13.23,3.4634,2.48,-10.5526
Eva1c,11.17,2.9232,3.13,-12.0401
Fabp3,8.98,2.351,2.39,-12.7318
Fam107a,12.66,3.3131,24.89,-11.6023
Fam13a,14.81,3.8776,21.67,-10.9369
Fam174b,19.54,5.115,12.64,-10.983
Fam180a,12.34,3.2316,8.85,-11.1007
Fam214a,11.84,3.0989,2.4,-11.3066
Fastkd3,13.35,3.4942,5.17,-12.6035
Fbn1,4.15,1.0863,120.27,-8.0105
Fbxl13,13.09,3.4282,2.07,-12.3384
Fdps,21.81,5.7098,19.45,-10.3573
Fibin,17.66,4.6229,18.42,-8.7329
Fkbp4,18.64,4.8791,13.77,-9.4493
Fkbp5,12.28,3.2152,105.69,-9.746
Fmo1,15.72,4.1163,76.81,-8.1282
Fmo2,16.71,4.3753,277.49,-6.0299
Fmo3,15.65,4.0969,92.39,-9.527
Fmo4,11.66,3.0522,3.14,-12.8228
Fndc5,13.82,3.618,3.99,-13.0668
Foxf1,7.23,1.8934,8.34,-12.501
Foxs1,22.72,5.9491,13.38,-10.6574
Fst,22.17,5.8037,5.47,-8.9658
Fxyd6,7.32,1.9176,11.9,-9.5674
Fzd1,11.23,2.9396,4.45,-9.4091
G0s2,13.42,3.5124,109.56,-8.4127
G530011O06Rik,16.28,4.2621,8.26,-11.7616
Gabra3,23.58,6.1721,4.42,-9.1979
Gap43,8.18,2.1405,2.57,-13.1175
Gcat,21.77,5.6986,3.41,-11.209
Gjb5,6.03,1.5777,2.19,-12.9848
Glul,12.32,3.2262,64.96,-8.2357
Gm10076,23.98,6.278,25.36,-6.5792
Gm12022,23.25,6.0877,2.41,-11.1621
Gm17167,13.81,3.6152,12.48,-9.3
Gm19277,7.38,1.932,4.75,-13.4519
Gm19522,18.8,4.922,11.43,-12.0769
