gene,acrophase_hour,acrophase_rad,bf_log10,expected_mesor
1810058I24Rik,11.78,3.0847,2.05,-9.4005
Acot13,7.74,2.0261,2.89,-10.34
Adrb2,9.82,2.5701,7.4,-9.0754
Ahnak,20.08,5.2575,7.25,-6.932
Arhgap19,10.68,2.7956,2.78,-10.7669
Arl4d,8.38,2.1939,4.5,-11.0726
B3galnt1,10.0,2.6177,4.42,-10.5123
Bccip,11.48,3.005,4.69,-10.3329
Bcl2l1,14.37,3.7612,2.57,-10.4929
Ccl12,15.84,4.1461,6.33,-8.227
Ccn2,20.59,5.3909,3.43,-10.0778
Ccnd1,17.65,4.6214,4.71,-8.3706
Ccnd2,20.12,5.2667,2.08,-9.6249
Cd163,14.18,3.7134,5.69,-7.1411
Clec4n,10.6,2.774,4.18,-9.7601
Csrnp1,20.84,5.4554,3.83,-9.4261
Cx3cr1,1.74,0.4543,17.25,-9.3973
Dbp,12.42,3.252,40.32,-9.9331
Ddit4,13.14,3.4402,7.5,-10.0693
Dock4,15.82,4.1425,3.76,-10.7836
Egr1,19.22,5.0314,5.73,-6.39
Emp1,13.07,3.4229,3.21,-9.157
Epb41l1,14.6,3.8217,2.84,-10.8321
Fam118a,11.2,2.9313,3.17,-10.2748
Fkbp5,12.34,3.2316,8.07,-9.3121
Frmd4b,13.25,3.4687,2.16,-8.3625
Glcci1,14.45,3.7821,2.12,-10.3255
Glul,12.68,3.319,3.21,-7.5161
Gm47283,16.15,4.2276,2.84,-9.9741
Gpr146,11.71,3.0646,2.03,-10.2249
Hexb,12.34,3.2318,2.06,-8.7224
Hsp90b1,21.18,5.544,3.02,-7.3056
Ifi204,22.78,5.9634,2.37,-8.7635
Ifi30,9.11,2.3839,2.07,-8.5017
Jagn1,11.91,3.1183,2.1,-10.8011
Klf9,15.34,4.0167,2.46,-8.4511
Ldlr,23.04,6.0326,3.84,-10.4099
Lpl,22.31,5.8414,10.54,-9.8297
Maco1,20.34,5.3241,2.42,-10.2706
Mgp,17.16,4.4933,4.68,-8.452
Mmp9,5.93,1.553,16.51,-9.5764
Nfkbiz,20.89,5.47,2.09,-7.4335
Nr1d2,11.16,2.9216,4.89,-10.3941
Oard1,11.78,3.0844,2.58,-10.9041
Parp14,22.13,5.7947,8.38,-9.1541
Pdgfc,15.48,4.0519,9.43,-10.6385
Per3,14.77,3.866,4.07,-10.7905
Pmf1,6.04,1.5819,2.45,-10.7289
Polr2l,14.22,3.7229,5.56,-9.0547
Prxl2b,11.04,2.8895,3.31,-9.4393
Prxl2c,12.81,3.3539,3.55,-10.0849
Psmc1,16.28,4.2629,3.13,-9.6758
Rbm3,9.13,2.3891,8.87,-8.3184
Retnla,2.79,0.7307,12.31,-6.5048
Rnf169,12.87,3.3695,4.33,-9.8547
Rrad,5.98,1.565,2.18,-10.8986
Rsrp1,6.27,1.6414,6.24,-7.4156
Samd9l,21.94,5.7429,4.78,-9.5088
Sap18,9.33,2.4423,2.2,-9.1265
Sgk1,12.28,3.2157,7.47,-9.9802
Slfn8,21.51,5.6322,4.05,-10.2842
Snhg3,4.73,1.238,2.42,-10.3722
Socs3,19.23,5.0333,4.68,-8.8485
Stap1,23.92,6.2632,2.5,-10.0798
Tef,14.82,3.8808,7.8,-10.352
Tlr13,13.86,3.6274,2.8,-10.3374
Tnfsf9,3.93,1.0284,2.73,-9.9303
Tpst2,12.57,3.291,2.32,-9.7731
Trpv4,11.6,3.0357,2.0,-10.0313
Tsc22d3,12.26,3.2087,4.75,-7.6047
Tusc2,9.89,2.5904,2.74,-10.8834
Ybx3,20.38,5.3349,3.57,-9.9389
