pathway,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
Terpenoid backbone biosynthesis,7,Fdps;Idi1;Hmgcs2;Hmgcs1;Hmgcr;Pmvk;Mvd,8.571428571428573,10,19.729870209396587,2.002391331866926,21.0
Oocyte meiosis,6,Mapk12;Adcy7;Cdk2;Itpr2;Camk2b;Fbxo5,8.0,5,10.832890727848202,3.12196656291802,11.0
Th17 cell differentiation,7,Tgfb1;Mapk12;Il4ra;Nfatc1;Tgfbr2;Nfkbia;Rara,6.857142857142857,5,9.626688478514453,3.6687489930632733,11.0
Salivary secretion,6,Atp1b2;Atp1b1;Itpr2;Adrb1;Adcy7;Plcb1,6.0,5,12.01072517726571,3.107822928445421,11.0
Osteoclast differentiation,10,Tgfb1;Tgfb2;Mapk12;Csf1;Pik3r1;Nfatc1;Tgfbr2;Nfkbia;Pik3r3;Itgb3,6.0,5,11.453741108604218,5.768084763314674,11.0
Th1 and Th2 cell differentiation,6,Nfatc1;Nfkbia;Mapk12;Maml3;Il4ra;Notch3,6.0,5,10.84118259003305,4.628576331867633,11.0
Glycerophospholipid metabolism,6,Dgkh;Dgkg;Pcyt2;Gpcpd1;Agpat4;Lpcat4,6.0,5,10.132457413690917,4.220626936537879,11.0
Tight junction,8,Jam2;Myh10;Bves;Slc9a3r1;Actr3b;Cgnl1;Hcls1;Tuba1b,6.0,8,16.350299458274748,3.9791125591445344,17.0
Glycerolipid metabolism,8,Gk;Dgkh;Dgkg;Agpat4;Dgat2;Pnpla2;Lpl;Akr1b8,6.0,5,9.813447865816077,4.105825316768127,11.0
C-type lectin receptor signaling pathway,9,Mapk12;Plk3;Pik3r1;Nfatc1;Nfkbia;Itpr2;Pik3r3;Lsp1;Ptgs2,5.333333333333333,5,9.526946003663138,4.6033779282370375,11.0
Dopaminergic synapse,9,Mapk12;Arntl;Creb3l1;Ppp1r1b;Gng10;Itpr2;Clock;Plcb1;Camk2b,5.333333333333333,5,6.414680900863113,7.16763105736655,11.0
NOD-like receptor signaling pathway,9,Mapk12;Antxr1;Gbp5;Plcb1;Nampt;Trp53bp1;Nfkbia;Itpr2;Txnip,5.333333333333333,5,12.559031706404223,5.551403618198383,11.0
ErbB signaling pathway,9,Gab1;Ereg;Pik3r3;Myc;Btc;Pik3r1;Hbegf;Cdkn1a;Camk2b,5.333333333333333,1,0.7269152722558638,4.507810315380228,3.0
Purine metabolism,9,Adcy7;Papss2;Nt5c;Hprt;Adssl1;Ak4;Pde3a;Pde4b;Enpp4,5.333333333333333,5,11.547550030922007,3.842959671737474,11.0
