gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
Chemokine signaling pathway,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Cytokine-cytokine receptor interaction,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Wnt signaling pathway,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0
Drug metabolism,0.0,0.0,0.0,1.090909090909091,0.0,3.2727272727272725,2.181818181818182,4.363636363636364,1.090909090909091,0.0,0.0,0.0
Protein processing in endoplasmic reticulum,0.0,0.0,0.0,0.0,0.0,2.181818181818182,0.0,0.0,0.0,2.181818181818182,4.363636363636364,3.2727272727272725
AMPK signaling pathway,2.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
cAMP signaling pathway,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0
mTOR signaling pathway,0.0,0.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0
Hippo signaling pathway,0.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
Circadian rhythm,4.0,0.0,0.0,0.0,1.3333333333333333,4.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0
MAPK signaling pathway,1.2000000000000002,0.0,1.2000000000000002,0.0,1.2000000000000002,1.2000000000000002,3.6,0.0,0.0,2.4000000000000004,0.0,1.2000000000000002
Metabolism of xenobiotics by cytochrome P450,0.0,0.0,0.0,1.7142857142857142,0.0,3.4285714285714284,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0,1.7142857142857142
IL-17 signaling pathway,1.7142857142857142,1.7142857142857142,0.0,3.4285714285714284,3.4285714285714284,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0
"Parathyroid hormone synthesis, secretion and action",3.4285714285714284,1.7142857142857142,3.4285714285714284,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,1.7142857142857142
Thyroid hormone signaling pathway,0.0,0.0,0.0,3.4285714285714284,0.0,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142
PPAR signaling pathway,0.0,3.0,0.0,1.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5
Neuroactive ligand-receptor interaction,1.5,1.5,0.0,0.0,1.5,0.0,0.0,3.0,0.0,1.5,0.0,3.0
PI3K-Akt signaling pathway,2.6666666666666665,0.0,1.3333333333333333,0.0,2.6666666666666665,1.3333333333333333,2.6666666666666665,0.0,0.0,0.0,0.0,1.3333333333333333
Protein digestion and absorption,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Rap1 signaling pathway,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0
HIF-1 signaling pathway,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142
